"gene","rank_metric"
"DDX3Y",262.437009632619
"PMEL",162.037219865141
"RPS4Y1",130.69593102184
"CCL17",127.984892223017
"TYR",122.560389979037
"MLANA",116.442460578664
"MS4A1",115.317354960266
"SGO1-AS1",104.927266189796
"USP9Y",98.319000936984
"TRIM72",98.057715860324
"ZNF671",97.8760721719204
"TTTY14",92.4888868252146
"JCHAIN",91.563160904056
"PLP1",90.8166208247174
"OCA2",89.5277516921764
"NKX3-1",89.0086344916953
"DCT",88.7403877865266
"C9orf152",88.1892264394909
"ZBTB9",86.1603670424159
"PPIL1",85.4947263154444
"IGKV1-37",83.4004536039063
"BCL2L14",83.3921957180532
"FCRL4",82.9284436131205
"IDO2",82.8037522425329
"BACH1-IT1",79.99524890379
"DNAJC16",79.0432769489952
"HDHD3",78.6192315977292
"NPHS1",77.6585706485621
"SLC6A12",77.6384433764869
"PFKM",77.4540923726982
"SIGLEC6",76.0684237006225
"HYAL3",75.4915726438058
"LINC00278",75.2813434924784
"TYRP1",74.5431104455566
"THAP8",73.7125449932012
"BATF2",73.3906396659216
"TMEM229B",73.2712217351618
"LAD1",72.9570283617801
"PAXIP1",72.8767370707757
"IGKV3-11",71.6955846020703
"PARM1",71.6700911841781
"CSNK1G2",70.0652816057556
"SWT1",69.3008555470498
"XCR1",68.8677185345044
"FBXO41",68.6845449665138
"ZDHHC15",68.4654072200382
"PAWR",68.3016195254622
"AICDA",68.1617434231578
"EIF1AY",67.8440258980937
"ART3",67.7809134451619
"TCHH",67.0863148940352
"SSX2IP",66.7379075640383
"SSBP3-AS1",65.9654465177229
"LINC-ROR",65.7926021857279
"TACSTD2",65.5727959981467
"WDR89",65.569680928283
"CLUAP1",64.3041736837925
"PTCD2",64.2894827459965
"FCRL2",64.2729460058543
"NAV2",64.1540905949171
"DERL3",63.4216561039592
"RHEBL1",63.1897364107651
"CD19",63.1895409022151
"DBN1",63.1187150639189
"CCSER1",62.524907752629
"IL17A",61.6744225774928
"PANO1",61.6137816225112
"GHRLOS",60.888102767895
"ZFY",60.4193181784309
"TMEM201",60.4144297182638
"ZFAND2A-DT",60.0990586641213
"DIAPH3",59.6885369087258
"F8",59.6115206539674
"TSPAN13",59.4172725998983
"SLC45A2",59.1042645169966
"ZNF66",59.0899245700106
"NAALADL1",58.8290372190592
"LINC01093",58.1077141931631
"GCSAM",58.0125539997493
"SBSPON",57.4750629676577
"TCFL5",57.3735879562906
"ASB16",57.3564137021588
"CAB39P1",57.2716238659126
"TOP3B",57.0046433310867
"AIRIM",56.9547004148179
"FBXL14",56.802802633151
"DHCR24",56.7642813731661
"GPT",56.7179552504797
"FCRL5",56.6746445582762
"GLB1L2",56.2621858222899
"WASF1",56.1563615703998
"OR2W6P",55.8811080054974
"TRMT13",55.3753884377222
"LINGO3",55.3403530660888
"PPM1J",55.1508084784685
"MPIG6B",54.5387898117702
"INKA1",53.8691740025724
"GPATCH1",53.6948695098154
"TRPM1",53.4756528640527
"SIRT5",53.4727814290204
"LAMP5",53.3041141868108
"TIFAB",53.2592133988107
"CFL1",53.158078244163
"KIAA1328",52.9894502790691
"SIMALR",52.7971549411169
"SLC25A22",52.6453292330747
"LPCAT4",52.5202186096175
"DUX4L50",52.2869871293699
"CHST13",52.2485858976676
"CDH13",51.884604043386
"RORC",51.8032866857764
"RELL2",51.798848343822
"ASAP2",51.7093652091353
"ITGA10",51.665281099874
"THBS4-AS1",51.6132569703933
"IGKV1-17",51.3703936138086
"IGLV3-1",51.365123549312
"ZNF837",51.274689190219
"GCNT1",51.1059649219216
"IDO1",50.9486761090645
"GPR143",50.9344938960397
"HACE1",50.5745432381497
"LINC00539",50.3605039779549
"COL9A3",50.2475313242563
"LYRM9",49.9114820062771
"FANCE",49.898181499466
"ZNF555",49.784762740926
"HTT-AS",49.4975301780908
"FZD6",49.3374457525803
"TPT1P12",49.2099801033886
"CCDC144A",49.1773524139453
"ZNF839P1",49.058184627097
"DNASE1L3",49.0273650954365
"EPB41L5",49.009110596735
"IGHV1-3",49.0035139055678
"MEX3B",48.747899279896
"GAPDHP33",48.4657188336377
"ZNF248-AS1",48.1649387349169
"LINC02857",48.1507102775544
"BCAR3-AS1",48.131322925844
"LCA5",47.9637823624192
"VIPR2",47.8751177871674
"GPSM1",47.8388190318578
"NODAL",47.6685915415882
"RGS20",47.661543034694
"CICP14",47.5825866457955
"POC5",47.5751824222036
"NSG1",47.5552398405413
"PI3",47.4465007327421
"CTU2",47.3070450087659
"LINC02367",47.268654344579
"NCALD",47.2426568381318
"MCOLN3",47.2254621816126
"SLC38A2-AS1",47.1983922183195
"LILRA4",46.9236621053166
"ADAD2",46.6986980718266
"SERPINF2",46.67752744953
"TCL1A",46.3195707500933
"QRSL1",46.1633176200741
"GEN1",45.8883494498025
"HCG11",45.6399940787909
"PM20D1",45.6049194656186
"ASB2",45.4416564848193
"CXCL11",45.4282501246622
"CLEC4C",45.4020388083715
"MSMO1",45.3685542559604
"CD200",45.3000984034647
"KARS1P1",44.9289700632925
"MANEAL",44.6747568980442
"FAM161A",44.4066796336145
"ZIK1",44.4034335104413
"ZNF793",44.35602242592
"GHRL",44.3345897491321
"ZNF790",44.1975264850556
"OPRL1",44.1780784403027
"LINC01095",44.1570384087083
"DHX16",44.1384426900901
"MIR3978",43.9675970124289
"SCN9A",43.9393303989989
"POU6F1",43.8811939823247
"WDR4",43.726254187507
"SLC22A13",43.7041307071897
"PDXP",43.684024596625
"LRFN4",43.627098491228
"BMP10",43.4876674831374
"RGMA",43.4713775793506
"TRBV19",43.4028477653649
"CIB2",43.22981602601
"FSD1",43.1336553302992
"ZNF81",43.0907940291227
"SLCO5A1",43.0328796612799
"SDCBPP1",43.0033222583314
"PROC",42.9831418545086
"CHAC2",42.9604654013529
"IGSF21",42.8137678887839
"PTK2",42.7204814242583
"SEMA7A",42.5641941192728
"LDHC",42.5166755873602
"MACROD2",42.3370851668437
"LINC00622",42.2962340387598
"CYYR1-AS1",42.2268938878907
"SLPI",42.1719740002382
"RPL38P5",42.1635633396828
"SNHG11",42.1374514154731
"RNU6-613P",42.099572731081
"SCMH1",42.0616403926043
"FUT2",42.0500361351599
"PTCHD3P1",41.953806454686
"DAB1",41.9178205360316
"SHCBP1",41.9013451704182
"KEL",41.8871340005815
"NDUFB8P2",41.7908486746211
"PAX5",41.637870072594
"MYO7B",41.6204043938739
"OR4F3",41.5197053033777
"LAMP3",41.5027074941923
"RHO",41.4986308513867
"INSYN2A",41.3759481821055
"HSALR1",41.3181614314238
"ADCY2",41.1949023878319
"HLA-DPA2",41.0724042753423
