"gene","rank_metric"
"IGLV3-19",229.222472381708
"IGLV1-40",224.148872920535
"IGLV2-11",183.470780478874
"IGLV2-8",181.654148241317
"IGKV2-30",178.982534243941
"IGLV3-25",178.366199262917
"SDC1",178.186665743509
"IGLV1-47",170.442550238476
"IGLV3-27",168.025580122737
"IGHV5-51",159.271811647945
"IGHV3-49",148.951893641374
"IGLC3",141.934285646782
"IGLV1-51",141.639708255982
"IGHV1-46",133.876500315929
"IGLV1-44",130.462685332693
"SPAG4",129.536433837973
"EIF1AY",127.433120891792
"IGLJ3",126.501345931939
"IGHV3-74",123.826387992276
"IGKV1-8",122.720988503042
"IGHV3-30",121.019149649866
"IGHA2",114.886881762693
"AMPD1",113.699382077938
"IGHV3-7",113.312993973797
"IGKV2-24",112.877906662004
"HSPA6",107.628741257116
"IGHV4-55",102.043304099855
"IGLV6-57",101.747261230273
"IGKV1-27",101.459157870675
"HSPA1L",101.370711625027
"IGHG2",99.7423438848323
"IGHV1-24",99.0114840241826
"IGHV5-10-1",96.3310827047884
"ITGA6",95.2577590772651
"DNAAF1",94.1390202684985
"IGHV6-1",94.103703686127
"IGLV2-5",93.4153259128463
"IGKV4-1",92.4865357013633
"IGHV3-43",90.295147783148
"SMPDL3B",90.1528975655947
"IGHV2-70",87.1928935600277
"RPS4Y1",85.2729380374543
"IGKV1-5",84.8954168962562
"CFL2",84.437148845809
"IGKJ4",82.6928060359903
"WNT10A",82.5191879119156
"LINC00582",80.7988249170702
"IGLV2-28",80.119295051001
"IGKV1-6",79.2280623345681
"IGHJ5",79.0034945338075
"IGKV1D-39",78.8074431782882
"IGHG1",78.1347541108544
"CIBAR2",78.037578127819
"IGHV4-28",75.142657366531
"IRF2-DT",74.4571551670426
"IGHV4-4",74.3548304495193
"IGHV3-71",74.1193923280788
"DDX3Y",72.418702940906
"IGHV1-18",71.1457308012403
"IGHV3-41",70.6930293535802
"IGHV3-38",69.5922304806728
"IGHV3-22",69.3966801924733
"IDUA",68.4974546178327
"IGKV1D-8",67.7976643606437
"FOSL1",67.2570390696582
"RCN3",67.051581854013
"IGHV3-66",66.8022508447753
"IGKV1-37",66.5524962773405
"IGHV4OR15-8",66.5125513842924
"IGLV3-16",66.3600411021398
"IGHGP",66.2345254960792
"IGLC6",66.2054525653143
"PLA2G2D",64.9018726247998
"IGLV1-36",64.2522484479333
"IGKV1-13",63.15794224501
"IGKV1-17",62.8299204550362
"IGHV2-26",62.829724779606
"IGHV4-39",61.8553438828412
"RILP",61.832779434469
"C16orf74",61.7765587587447
"CCL19",61.6415816189551
"IGHV1-12",60.8660958356627
"IGHV3-23",60.2977364740175
"IGHA1",59.9506910488224
"IGLV2-18",58.62035918703
"IGKV1-16",56.4817495894721
"SERPINI1",56.4242315892907
"IGHV1OR15-1",55.6850051956474
"DHRS1",55.5217167345018
"ASS1",55.253728894846
"IGKV3-11",54.6696753975525
"PYCR1",54.5708249689411
"LINC03034",53.8354680820618
"USP9Y",53.7666946935661
"ZP3",52.4423875786555
"IGHV3-53",51.5582477987901
"PYCR3",50.5664442942766
"LINC00309",50.5044338936775
"IGHJ3",50.0210366869779
"IGHV7-56",49.5127249934628
"IGKV1-12",49.4158243855623
"IGLV3-21",49.3463038772951
"DERL3",48.8785597515342
"IGKV3-20",48.7722009574267
"PCAT6",48.5870795491262
"COPZ2",48.289442734238
"EPN2-AS1",48.2211713007398
"PICK1",48.1969426578876
"KDM5D",47.8209516613084
"IGLV5-48",47.7972086764841
"IGHV1-67",47.7720018468587
"SSR4",47.6192735262281
"APOL3",46.8295565788851
"IGLV3-6",46.6615420647931
"IGLV3-31",46.6418290647154
"TECPR1",46.4596936271586
"PYCR1-AS1",46.1515950216762
"H2BC3",45.3552157611642
"SLC22A17",45.1091128775512
"PAFAH2",44.8635272686575
"DUSP26",44.378219140028
"IGHV3OR16-13",44.3396248927907
"IGLV1-50",44.325505908456
"IGHV3-64D",44.1626945660728
"WASL",44.1405874366663
"PLA2G15",43.8253610503889
"IGHJ6",43.4940971462549
"IGKV3D-20",43.3895141091085
"CLDN14",43.1780387520157
"IGHV3-13",42.8200732324764
"HLA-U",42.7551319605483
"IGLV3-9",42.7400216060077
"ZFY",42.4557442918906
"IGLV2-14",42.1317129202554
"IGKV1D-43",42.0890282289189
"SYVN1",42.0072354893534
"FBXL19-AS1",41.957418067541
"IGHV1-58",41.8417813259874
"KRT18",41.7893602692662
"SND1-DT",41.2555338895246
"IGHV3-15",41.0605852616828
"IGKJ1",41.0604595960511
"CTTN",40.8879875993996
"CAPN10-DT",40.8237011900235
"DENND2C",40.5581225150486
"IGKV1-39",40.4408486586044
"HOMER3",40.440380975789
"OSR2",40.3096958890099
"SND1-IT1",40.230132379511
"PFKM",40.1906993280565
"RAD17P2",39.9874197632117
"IGLV4-60",39.9813299967439
"SLC22A31",39.7231342519679
"RNU5A-1",39.6907724347362
"SNAI1",39.2828834546543
"IGKV1-22",39.2761922224641
"IGKV6-21",39.1904150747817
"SPR",38.8846674020812
"BCAR1",38.7425015462279
"EEF1GP4",38.4659066013412
"PLEKHH3",38.4189193353074
"TEX54",38.1192675607881
"NEURL3",37.9725819866639
"TMEM205",37.8818955829544
"WDR24",37.8153891514421
"HCG11",37.8152906332415
"IGHV1OR16-1",37.8104660987114
"IGHV2-70D",37.6697437688808
"IGHV3-16",37.6241926175355
"HYI",37.3277116115128
"EVA1B",37.1430263504167
"EEF1AKMT3",37.0013546864201
"IGLV5-45",36.9710736481573
"IGHV3-11",36.6792323049722
"PI15",36.6448224333248
"EDEM2",36.4495896743922
"FAM83G",36.3733542156311
"IGHV1-2",36.3369142429554
"MNX1",36.2899082907944
"IGHV1OR15-2",36.2635644284165
"ZHX3",36.0974582180727
"IGLV1-41",35.9770737309348
"IGHV3-29",35.8404799186812
"HIGD1B",35.6303823160698
"TRIM36-IT1",35.5310301627486
"PCOLCE",35.3785802987022
"SIRT4",35.352722926469
"IGLC7",35.319691382622
"CDR1",35.250078911274
"IGLV2-23",35.1131090833676
"IGHM",34.8918486944176
"IGHV1OR21-1",34.8749059974025
"TMEM198",34.768202843805
"SIX5",34.6942956473726
"ARC",34.613343852071
"IGKV3-7",34.5992785290265
"PRPF19-DT",34.5475187548904
"PRICKLE1",34.4645560946386
"TOP1MT",34.3870576000067
"IL23A",34.3534183544187
"HSPA1B",34.3285579877106
"MYO1D",34.2825026076894
"IGLV9-49",34.1037287264337
"RNU1-2",34.0567318103364
"ITM2C",33.9850957950911
"INAFM1",33.7383638408625
"IGHV3-6",33.7196616213243
"HSD17B8",33.7138794170243
"FAM149A",33.4547345984708
"C2-AS1",33.4401583587276
"IGHV4-34",33.4311966602138
"ID1",33.3509730666027
"UVSSA",33.3332558986375
"JUN",33.3303367773036
"KDELR3",33.3237108521641
"UTY",33.2523421064347
"SENCR",33.0876349076699
"KIF3C",33.0695578406385
"ZNF442",33.0047013242212
"PIP4P2",33.0045108674712
"ADM2",32.8440565882369
"TXNDC5",32.6299775940989
"CD1D",32.6191116441458
"C17orf107",32.6061669563006
"IGHV1-17",32.5301170222355
"IGF1",32.4517638851675
"SMARCB1",32.3946003812403
"SH3D21",32.3778700506721
"CACNB3",32.2886221802264
"CREB3L2",32.2320944241883
"QSER1",32.1896138913692
"RPL38P5",32.1671947688704
"ITGA6-AS1",32.0994425623363
"B3GNT9",32.0476547478707
"IGLV3-10",32.0403256333745
"RAB13",31.9382752540973
"TXNDC11-AS1",31.9127510700935
"BATF2",31.7173504647246
"OR4N2",31.5607104149446
"LAX1",31.275007344109
"METTL13",31.212440003163
"FKBP11",31.1755600034679
"TLCD4",31.0265377461618
"POU2AF1",31.0009986778135
"SNORD3B-1",30.9076034888442
"MBTPS1-DT",30.9041808885995
"UBE3D",30.7899935146484
"MFSD3",30.7059074460444
"POLR3B",30.6153682985678
"UBTD1",30.4440704870055
"LINC01252",30.4430576137933
"C4B",30.3187719629759
"TECR",30.3012416892637
"ALDH1B1",30.2054383025009
"LINC00222",30.0142214669233
"FBXO32",29.9241347423139
"MIAT",29.920946108121
"CCDC102A",29.877322796425
"WHRN",29.7795295814226
"CBY1",29.6859045873835
"NR2F6",29.654438733217
"CLVS1",29.4447409021969
"NID1",29.4048173849883
"PCBP3-AS1",29.3085476918236
"IGKV7-3",29.2630372247362
"ZNF497",29.1690618207153
"LINC00641",29.1636748109387
"CEMP1",28.9447232049101
"POU3F1",28.9020577989913
"FAM221A",28.8550097087354
"BHLHA15",28.7922319478465
"HSD3B7",28.7001476113943
"IGLV4-3",28.6760225127319
"LRFN3",28.5697408609204
"IMPA2",28.562099433556
"MTND1P32",28.5251541626205
"RWDD2A",28.4835230799576
"HID1",28.3726130427867
"BMP6",28.3553621671745
"RNVU1-15",28.3499453318456
"SLC49A3",28.2937668518818
"GNAT2",28.1462182782232
"IGHV1-45",28.1206019426385
"KCTD14",28.1017228071016
"IGKV1-33",28.0970351768303
"OR52P1",28.0194232511321
"CD27-AS1",28.0154740356238
"HDAC11",28.0140484076909
"KCNK7",27.9968447142017
"GSTM4",27.9305361854755
"IGHV3-62",27.924218551858
"RHBDL1",27.8687342265187
"YJU2",27.8244099616347
"IGKV2-28",27.7511568809838
"RAB26",27.5905139105256
"CFAP58-DT",27.5774019457664
"RNU1-1",27.5596267695325
"MTCYBP41",27.5331676540133
"DICER1-AS1",27.5061029019321
"NFYAP1",27.5033885454155
"PIP5K1C",27.4993152814508
"PRDX4",27.3578580046538
"DBP",27.350272100046
"CNKSR1",27.3161663835806
"RNVU1-26",27.3044881475419
"SLC38A2-AS1",27.2694503775624
"RNVU1-27",27.2630435589946
"IGHV1OR15-9",27.2586215814008
"IGKV3D-11",27.1488611805691
"MIA2-AS1",27.0690681953991
"WDR25",27.0627551917146
"ADAMTSL5",26.8677318796072
"RASL11B",26.8627943221338
"MTA1-DT",26.8507194078668
"HEBP1",26.7985293037991
"RABAC1",26.7679554319159
"LMOD1",26.6629243464044
"TMEM187",26.6419474054358
"LINC02265",26.6014820431368
"NECTIN4",26.5865443737697
"CD27",26.5439960410455
"RPUSD2",26.4897095064127
"KLHDC8B",26.485124822394
"PECAM1",26.4689938328893
"OSGEPL1",26.4619027671269
"TSTD2",26.427434429406
"ZNF34",26.4094863199886
"IGHV3-72",26.3885059005986
"ELOVL3",26.3599067352989
"IGLL1",26.3100935071987
"LRRC2",26.2226894914476
"LRIG2-DT",26.1621620071659
"MZB1",26.1498556092549
"LINC02916",26.1142618960058
"IGKV1D-27",26.0523516057499
"IGHG4",26.0511096943175
"LY96",26.0454887137003
"SIGLEC15",26.0141367493651
"IGHV3-65",25.9614967831417
"TMEM184A",25.9311582058677
"IGKV3OR2-268",25.8999333250827
"DHODH",25.8858268804949
"REM2",25.8520363933379
"HDHD3",25.8244743807429
"CEBPB-AS1",25.8153688218459
"MSRB2",25.806839255035
"TGFA",25.7828883418569
"COMTD1",25.7405411285858
"IGHD2-15",25.6531154808408
"ODAPH",25.6048144945362
"MRGPRF",25.5855857628535
"NRIP2",25.5583191606188
"OR6K1P",25.5486479361747
"TRMT112P7",25.5486479361747
"FNTB",25.5005986837967
"GPRC5D",25.4047729481057
"IGHV3-47",25.3800873641183
"ZNF404",25.2822698767091
"FNDC3B",25.2304580281714
"GBP3",25.2214098983936
"RNASE10",25.2189916895513
"LINC01055",25.2105167833845
"MIR34AHG",25.2063334536333
"IGFBP6",25.0529037479927
"LBX2",24.8618189889989
"IGHV3-35",24.8608115770901
"TMCO1-AS1",24.8234671584702
"LEFTY2",24.8210495051379
"MYL2",24.8030914652143
"CCL1",24.7631234331498
"C19orf67",24.7356640778191
"GPATCH1",24.6430327390751
"DISC1FP1",24.6233130876674
"JUP",24.6145406598069
"SLC6A8",24.4216176656168
"TCN2",24.420998150402
"XBP1",24.3848761031979
"RHBDF1",24.3771960032725
"SLC5A2",24.3104979283653
"CGREF1",24.2947460984589
"FGL2",24.2146774450139
"ICAM4",24.1676758585783
"CXCL3",24.1328921120942
"TTC38",24.1071482876937
"MAP1B",24.0060176138733
"LINC00355",23.972652700273
"ATP1B2",23.7181417863682
"BOLA1",23.6009050345117
"NPTX2",23.5947030909035
"IGLVI-70",23.5797543222164
"FGF18",23.5726912905499
"EMILIN3",23.5657356388864
"FBXO36",23.5060890904067
"LINC02090",23.502866166925
"COX4I2",23.4229772541889
"MAP3K9-DT",23.3226532691832
"LINC02362",23.2579732564113
"PTPN23-DT",23.2425764320877
"EDNRA",23.2417719903278
"FA2H",23.2018993742821
"GOLM2P1",23.1994918171247
"OR4F3",23.1472522921079
"CHAC1",23.0606090266883
"TUBB4A",23.0573767844483
"FDPSP4",22.9954419742361
"IGKV1OR2-118",22.9775396276142
"H1-12P",22.9515375604369
"PCOLCE-AS1",22.8689565361747
"IGKV3D-7",22.864588696268
"RALGPS2-AS1",22.8554606931335
"MAGI1-IT1",22.8502594866191
"ZMYM3",22.8142049466619
"KLHL17",22.7563213975388
"C3AR1",22.7155104976442
"PERM1",22.6245904940684
"RNF139-DT",22.6166209068536
"INHBA",22.5936829922334
"TTLL1-AS1",22.5695154004353
"SETDB1",22.4805821702014
"IGHV4-80",22.469224835546
"TNN",22.3985636013466
"ZNF737",22.3654749618602
"FBXL22",22.2812864565772
"NDFIP2",22.2422198116305
"SLC66A1",22.2314413054178
"CBX8",22.1506329144796
"CERCAM",22.1478803837242
"LINC01816",22.1416376431014
"POMGNT1",22.1271547530782
"DLL4",22.0897577182104
"IGHV2-5",22.0394096594207
"MDGA1",22.0265154888439
"KCNB1",22.0189303123912
"TXNDC11",21.9795152135215
"NEDD9",21.9793154868812
"SEC24A",21.9768008569824
"NXPE4",21.905879244308
"BRPF3",21.815233632862
"STAP2",21.8111107222194
"MANEA-DT",21.7906743660899
"FBXO16",21.7786945906694
"KIAA0513",21.7485911713462
"FOS",21.7317038362221
"RN7SKP127",21.7210202777255
"H2AC11",21.7015751277097
"PTGDR",21.7000179195701
"LINC02642",21.685517890904
"ESR1",21.6830753208978
"MANEA",21.6383750841073
"NUDT7",21.6139241593437
"DGCR5",21.6051924123282
"PIM2",21.595713219039
"TM7SF2",21.5558826813514
"QPRT",21.53446636325
"XXYLT1-AS2",21.5057523270153
"STMN4",21.5030667301286
"IGHV3-20",21.4727080881683
"SLC16A14",21.4540242950822
"CZIB-DT",21.4529634778401
"ACTL10",21.4437353699382
"RNU4-1",21.4400596403696
"PLOD1",21.3247046665457
"PHETA2",21.2006411400228
"NDN",21.1724135850036
"MED28-DT",21.1522335598049
"HLA-C",21.150346247469
"TMEM220",21.1427439416645
"PAPOLA-DT",21.1337237421544
"TXLNB",21.1060851616642
"BAHD1",21.1022144123999
"CA11",21.0650324093177
"RNU4ATAC",21.0540706368356
"CKMT2",21.0517500068167
"MGAT3",21.0156415307185
"BDNF",21.0068672430515
"WNT1",20.9913534579398
"IGKV2D-30",20.9892406298677
"RRAGD",20.985283823587
"ME1",20.9477852156789
"THY1-AS1",20.8960620964465
"COL4A1",20.888750147714
"LINC02846",20.866000163196
"SINHCAFP1",20.8046777862374
"ZNF641",20.7847290031137
"LINC02421",20.73793381684
"IL15RA",20.7330266296932
"HOOK1",20.7227706750519
"VPS9D1-AS1",20.6934936573105
"RASL11A",20.6889054007131
"DINOL",20.6779871013561
"LINC01220",20.6581793794092
"EFCAB13",20.617520882625
"AXL",20.6108924814011
"PSMD4P1",20.6039621698631
"SNORA80B",20.5621949133277
"TNS2",20.5590092257368
"LINC02352",20.5182126745055
"LINC00877",20.4710712584421
"METTL6",20.4185524358322
"FAM162B",20.3436497967933
"MPC1-DT",20.3081333140123
"KCNK9",20.2970841487069
"TOMM40L",20.1590865458804
"ZNF491",20.132131739741
"ARSA",20.1217653206044
"CIMAP2",20.1039091954091
"LCMT1",20.0941441770725
"LYL1",20.0782508613259
"P3H3",20.0509643650966
"SIRT6",20.0298920980209
"PTDSS2",20.0261087837304
"RPL15P8",20.0232022022726
"TULP2",19.9926439495024
"SOWAHD",19.9291244815892
"DDR2",19.9016352065167
"ZBTB48",19.893244889578
"FXYD6-AS1",19.842246131614
"CCDC61",19.8310149865161
"MFSD9",19.8064731868357
"IDH3B-DT",19.7686209938451
"APBA2",19.7623534634351
"LCAT",19.7455480658057
"IGHV1-69D",19.7421076485161
"CRELD2",19.7071691549564
"PEX10",19.6608470042706
"ZNF839",19.655476142804
"IGHV3-60",19.6216305097879
"ASAP1-IT2",19.6041770180475
"EEF1AKMT4",19.599481095007
"LINC02863",19.5904499445155
"RAMP3",19.5860733853688
"ZFTA",19.5818533078613
"FRZB",19.5313768371114
"LBX2-AS1",19.4972274644642
"ADRB2",19.4905529560786
"BCAN-AS2",19.466556287836
"RCN1",19.4306446080966
"PIP5KL1",19.4276418797936
"LINC02964",19.3763008572419
"CHPF",19.3713770324531
"MRNIP-DT",19.347866318287
"C17orf100",19.3369790493448
"NSDHL",19.2811203540853
"TAB1",19.2749436037129
"FBXL16",19.1858387864033
"ZMYND19P1",19.1673022360806
"LDHD",19.0842571538917
"TMEM167B-DT",19.0596506346973
"ENEMAL",19.0381716582166
"ZNF561",19.0361771088396
"IL6R-AS1",19.0150784017422
"KRT8P33",18.993975878764
"CBY3",18.9903463424026
"FAM200A",18.9872904620308
"IGHV7-27",18.9855383989246
"RARA-AS1",18.8978264714803
"IGHV4-61",18.8787667523801
"MICB-DT",18.8105098502085
"DHX34",18.8051523125336
"HEPFAL",18.7725564795966
"ANKMY2",18.7708949311756
"ARHGAP42-AS1",18.7527816166806
"IRF3",18.735989245573
"HSPA1A",18.7307736617054
"TTC22",18.6802220911027
"FBP1",18.658443592291
"AMY2B",18.6325032987806
"MIXL1",18.5720668717381
"WARS2",18.5434874699685
"JTB-DT",18.5380873613547
"DBN1",18.5290590690866
"RN7SL769P",18.5057895057923
"NRAV",18.4970751603437
"IGHV3-64",18.4899761392902
"PRSS16",18.4653350353779
"LRRC75B",18.4250661071603
"ANKRD34B",18.4089243871519
"BISPR",18.4039990666748
"SLC50A1",18.372015403432
"ZNF772",18.2819809715683
"EFEMP2",18.2645084935181
"CLMN",18.2614485599955
"SLC25A28-DT",18.2559117876416
"RPS27AP8",18.246528103376
"PSPN",18.2193112515017
"SEC14L2",18.2052268531028
"RPL15P11",18.1724642382549
"DNAJC1",18.1206251446254
"CEND1",18.0872938733399
"FCGR2C",18.0555334236311
"IGKV1-35",18.025481666293
"ZNF416",18.02430316886
"CHST6",18.0149370596364
"CABP7",18.0142547405717
"CACFD1",17.9941654799454
"ATAD3C",17.9521068267991
"GATD3",17.9500519807347
"RN7SL28P",17.9082191027805
"FAM114A1",17.881892783884
"CRYAB",17.8765245643799
"NUDT9P1",17.8628935633335
"C2",17.8547464441689
"SGCA",17.8416074465635
"ANKRD37",17.8064400459349
"IGHVIII-67-2",17.7980335058722
"RUSF1",17.7618236658587
"TENT5C-DT",17.7403253914097
"SAMD12",17.7281221611528
"FSTL1",17.6961026571735
"RN7SL672P",17.6602804825831
"PCBP4",17.6558703962882
"SUSD2",17.6406061985934
"B9D1",17.6348421726099
"IGHV3-33",17.6345078423542
"IGKV1D-13",17.6319375572264
"RBM26-AS1",17.6027998859842
"AASDH",17.5960116638793
"RPL32P26",17.522283842561
"SMPD3",17.5133576335649
"TRBV2",17.505640054631
"CCDC110",17.5002435024336
"COL4A4",17.4827237808329
"NFIC",17.4315195695845
"OMA1",17.4146265398436
"GUCY1B1",17.4026420456548
"FBXO8",17.392514529349
"IQCE",17.384432309679
"CEP83-DT",17.3801465090872
"MTRES1",17.3653690345913
"CYTOR",17.3628985974272
"IPO8",17.3373835420545
"LINC02371",17.2928600157317
"BRPF3-AS1",17.2857035081808
"LINC01277",17.2236902237996
"IFIT1",17.2042161732688
"KCNA3",17.1846055232546
"IGLV3-24",17.1775597817475
"XK",17.1701335725489
"ELFN2",17.1279378725976
"KDM7A-DT",17.0710375963204
"GASAL1",17.0642888697723
"LINC01635",17.0575163544738
"TMEM119",17.0428500240698
"TIMP2",16.9902802278245
"TJP3",16.9880582215679
"MOSPD1",16.9751246166994
"MON1A",16.9185078388886
"KCNK17",16.9106462356195
"C1R",16.9105880596338
"VWA7",16.904938046599
"HSD17B14",16.886123559001
"MINDY1",16.885640734816
"ECHDC3",16.8616193817607
"BEX5",16.8485544130743
"CCL25",16.8060979024144
"PCSK1",16.7914933999431
"ZSCAN30",16.7910157453182
"CDH13-AS2",16.7891924596795
"ITGB5",16.7827808185466
"TXNDC15",16.7806118002397
"OAF",16.7792261494185
"RRS1",16.7738684684699
"LAMA5-AS1",16.7503781137061
"ZSWIM4",16.7495905041795
"PCDHGC3",16.7377102563589
"RPL17P52",16.7306691254029
"MYC",16.7266343384283
"MON2-AS1",16.7180792666134
"RPL34P24",16.7093606994192
"PRR29",16.7063307048683
"LPIN3",16.6955558364202
"TNFSF15",16.6779115895467
"H2BC26",16.6544709436385
