"gene","rank_metric"
"CD34",439.796673486343
"SOX18",365.772375744746
"RAMP2",311.993846657332
"ROBO4",298.012355271739
"ACKR1",296.212637711172
"VWF",292.243546649074
"NNMT",279.34037814319
"GNG11",276.007201260592
"VWA1",270.819437244365
"EMCN",267.645800397228
"EGFL7",262.459128353024
"PLVAP",261.181779957808
"TSPAN7",260.433624506535
"TIE1",255.329856398984
"HTRA1",249.257449105333
"ZBTB16",237.882833230687
"DIPK2B",223.605188628155
"CDH5",221.570041529802
"CLDN5",213.868930583092
"ECSCR",209.675350255963
"NPDC1",207.126241435868
"SLCO2A1",205.794449166157
"RAMP2-AS1",197.088118118783
"CLEC14A",195.429987136638
"TMEM255B",193.821626356018
"AQP1",193.044211322932
"PCDH17",192.647287317601
"CAVIN2",191.90263434352
"MMRN1",190.504767752558
"ERG",188.160664885573
"ADGRL4",187.563752448388
"ESAM",186.384602247484
"CALCRL",184.406633263631
"ACVRL1",182.198802931269
"GPR146",181.066279881312
"FAM107A",176.92969749688
"RHOJ",175.733420606199
"LDB2",175.44563244828
"CLU",175.118810151154
"TMEM204",173.330106008452
"TM4SF18",173.176359900127
"KDR",171.738968774661
"SMAD1",167.14758421169
"FN1",164.915997316324
"S100A16",160.369226461735
"CYYR1",160.304194003065
"S1PR1",160.068977967338
"DYSF",151.324154899327
"CAVIN2-AS1",150.995363263791
"PDK4",150.462673114719
"SEMA6A",148.17900805137
"EMP1",148.108346376554
"RIN2",141.163001801967
"IGFBP4",139.743238137476
"RAI14",138.67165378288
"ITGA5",138.256244234816
"SELP",137.235821520995
"GIMAP7",136.476329882577
"ETS2",134.867589248326
"COL15A1",132.343694581742
"OLFM1",131.96931259286
"FLT1",131.950787118441
"CNKSR3",130.182053145805
"IFI44L",130.069954273164
"RASIP1",129.161539254911
"RNASE1",128.819311384328
"IGFBP2",121.931139829884
"FRMD4B",120.757645167025
"PGF",120.693585153193
"UACA",120.205094237496
"TCIM",119.501061073039
"TGFBR2",118.574322323904
"PLAT",116.091219891259
"GRB10",115.890247793131
"THSD7A",115.653075462572
"ARHGEF15",115.56874062487
"PCAT19",114.995712683591
"MMRN2",114.644663679962
"LINC01013",113.31725387073
"TEK",113.228118364554
"IL33",112.896380687511
"DOCK1",111.655287307787
"PODXL",110.741904023609
"NOTCH4",110.726800455107
"MANSC1",110.656167751056
"PTPN14",110.507003884781
"NOSTRIN",110.34820475304
"PALMD",110.109798371581
"CRACDL",110.016333359186
"HLA-DOA",109.903057900881
"LIMS2",109.264744631625
"ZNF385D",109.193076284385
"LINC02767",108.823008418257
"F2R",108.531863421993
"C1orf115",108.431596296008
"FABP4",108.276438456732
"GIMAP8",107.58012274593
"BACE2",107.4518153607
"HSPG2",106.530429935657
"MCTP1",106.393898783164
"SERPINE1",106.145473158232
"PLA1A",105.284231695592
"CD93",104.471709663895
"ENG",104.460267959707
"PTPRB",104.309296356625
"RBP5",104.282483920237
"GOLM1",104.265987308357
"RBMS3",104.051435082838
"GIMAP6",103.999234802788
"ACTN1",103.716002588942
"GALNT18",103.138532272919
"MAGI1",102.926437051968
"SRPX",102.576017104594
"AFAP1L1",102.48211535327
"EXOC3L2",102.163977446494
"PDE2A",101.261886611937
"MYCT1",101.008117069267
"APOD",100.3505676811
"ETS2-AS1",99.8331853326145
"ZNF521",99.4500307240998
"SOX17",98.9804590208263
"NHSL1",98.6660237220096
"NUAK1",97.361406336073
"THBD",97.2591572416232
"MYO10",97.1028859304048
"LAMB2",97.0020114919574
"F2RL3",96.9453500289743
"CPNE2",96.2602520645243
"TPD52L1",96.1184091756064
"LRRC1",95.9602382604381
"POSTN",95.7629174543485
"FCN3",94.9307851682728
"LRP5",94.6627159146355
"PXDN",94.4495721017686
"PLCB1",94.445290325525
"LYVE1",93.9008664556853
"EPHB4",93.8970982979915
"TGFBR3",93.7448213343117
"MRC1",93.2040844936676
"NHSL2",93.1354581766043
"ADCY4",93.0448261425029
"SMAD1-AS1",92.4715832576643
"NT5E",92.3718610884398
"LIFR",92.3595578632364
"ADGRF5",92.3437225906175
"PROCR",92.2273408887067
"TMCC3",92.0704322199203
"FAM110D",91.7801593658255
"CTTNBP2NL",91.5532901196958
"ZNF366",91.2411236980423
"HHEX",91.1655625800154
"JCAD",91.0982813859963
"ADGRG1",90.9924489699254
"SCARF1",90.8897284919012
"MIR99AHG",90.5083528240256
"CDC42EP5",89.770329419906
"SHE",89.3927557899668
"NRP1",88.0508484575469
"SNCG",87.8818420313118
"ANGPTL4",87.7785222543312
"ADAM15",87.2643504304474
"PREX2",86.8987770927073
"GIPC2",86.7960275415926
