"gene","rank_metric"
"RGS1",662.290981514348
"LSP1",573.348372705699
"SRGN",437.385271519153
"ALOX5AP",374.772138604129
"ADAM19",266.74486072905
"PRR33",259.76433896777
"LILRB4",235.337736555022
"LILRA4",223.250078246092
"TCF4",204.804109254227
"PRKCB",204.719471953262
"GPR183",196.422997234111
"MPEG1",187.201992160522
"SPIB",182.430856578672
"GZMB",175.925834976106
"CYBB",174.796808409346
"PTPRC",150.537972888677
"SELL",143.637487011985
"IL10RA",141.685974482929
"WDFY4",141.078335324647
"PLEK",141.010560385577
"NIBAN3",137.909794837992
"RHOH",136.445738911438
"CD53",136.063614508955
"TAMALIN",129.721961176864
"FCER1G",124.148370864602
"JAML",116.802367509256
"SPN",114.948249228994
"IGKJ1",113.380569940575
"PACSIN1",113.084804657522
"MS4A6A",109.21916628694
"GPR65",108.592806989618
"SHD",107.18815525993
"CXCR3",106.956679817333
"TYROBP",105.561751711032
"PTCRA",104.553671772949
"DNASE1L3",104.527074842448
"CLEC4C",102.533362911979
"NME8",102.160044563973
"AFF3",101.499645787287
"LINC00996",100.801534827667
"PALD1",99.563499220087
"PIK3AP1",99.0928931085463
"PPP1R16B",98.350185137525
"PIK3CG",97.3118113918565
"C16orf54",92.2588409611279
"LCP1",91.6040704263959
"RUBCNL",90.7271201888178
"ZEB2",90.6926926850389
"CHST11",90.5065174886799
"CBFA2T3",89.3619601614399
"IRF4",88.6630445196787
"LY9",87.172190713051
"MCOLN2",85.7397398926621
"LAIR1",84.5722957777514
"CSF2RB",84.0244108139896
"USP9Y",83.8167049447761
"TCL1A",83.7454900057738
"SLC2A3",83.4277626781144
"ARID3A",82.531621500653
"PARVG",81.620182752211
"SMPD3",81.5597187560512
"FERMT3",80.0430460081584
"P2RX1",78.3418542292728
"EIF1AY",78.3108741849234
"ARHGAP4",77.9022114014129
"LAMP5",77.8193394641661
"ZFAT",77.5718532947169
"TLR7",75.8638333541515
"MIR4432HG",75.5375614248247
"CMTM3",74.9488763513931
"CYTH4",73.3750987295176
"KLHL6",72.7741781896928
"CD37",71.887806071021
"LINC01147",71.8288115898819
"SLC12A3",71.5429404571696
"PLD4",70.8323343228283
"CD300A",70.2062330286244
"SLAMF7",70.0791060118304
"PLVAP",69.5674464048
"ADGRG5",69.4900048260541
"RCSD1",67.0969606170276
"TNNI2",66.6215500226669
"DDX3Y",66.4143545326885
"RNASE6",66.2199011389652
"CARD11",65.1763754050633
"SNX20",64.8187137497756
"SASH3",64.3124045503922
"PIK3R5",64.2230243744152
"LILRB1",63.8459005011261
"AEBP1",63.7677586827259
"PCED1B-AS1",63.7104030214471
"CMKLR1",63.6333614051023
"NCKAP1L",63.3189626822542
"KDM5D",62.2353991707316
"CXCR4",62.0427137081445
"GAPT",61.7205077915297
"ENPP2",61.0024761226999
"IL27RA",60.3519607179018
"PLXNA4",60.0453952660888
"LILRB2",59.2901525256102
"ITGAL",59.2327132392996
"CD69",59.2072431968148
"CCR7",59.1796408319784
"F13A1",58.8533471169394
"FAM30A",58.6855204228349
"HCLS1",57.6023319688686
"CUX2",57.4920769166257
"CYSLTR1",57.2022377058814
"CD52",56.741834296384
"MEF2C",56.7098511833483
"VASH2",56.5012952184448
"P2RY14",56.3046828614395
"TFEC",55.9769014779278
"RGS7",55.9411944987681
"MIR3667HG",55.8882813015921
"LAPTM5",55.8878948198707
"SNCA",55.8645771006754
"RGS13",55.6627405613739
"CD36",55.6323029842186
"ADA2",55.6128639343336
"HISLA",55.5071137361631
"MIR142HG",55.4898403358669
"PNOC",54.9233291675
"SEPTIN1",54.1226879754323
"JCHAIN",53.5312499064512
"RGS2",53.4312594040014
"POU2F2",53.1740221480011
"CYP46A1",52.6592164894885
"MRPL37P1",52.5449862388529
"DOCK2",52.4369077553018
"LINC03074",52.3582939734094
"RPS4Y1",52.0872141568715
"NCF1",52.0203553934997
"FLT3",52.0170781126538
"TASL",51.8591323178782
"PLEKHD1",51.7161959715948
"SLC32A1",51.5068464556699
"GSTM1",51.3304216421656
"TMIGD2",51.2713419934735
"GNLY",50.7054406289829
"PROC",49.8429099854962
"LINC01478",49.7801660722321
"LILRA5",49.7487808072047
"RFTN1",49.6849343042885
"LINC01215",49.6553352321918
"ARHGAP31",49.3926518726288
"LST1",49.3242696836995
"OSM",49.2645183627989
"DACH1",49.1822319311296
"LINC03066",49.1361837041236
"FCRLA",49.0538290752228
"UTY",48.9199844711423
"APBB1IP",48.6522274974733
"TBC1D10C",48.6254877558709
"TRG-AS1",48.5718040749375
"LINC02812",48.1744198196367
"LINC00877",48.1409399541338
"FUT7",48.057011137828
"NLRP7",47.4340440769321
"DOK2",47.3544136166356
"TTC24",47.1844784040051
"SIGLEC6",46.5290880517515
"LINC01679",46.3944604332112
"ADAP2",46.2648986721808
"AP1S2",46.0079573066944
"STAP1",45.9312217286216
"AIF1",45.8267500461749
"IRF8",45.8155025727495
"CD300LB",45.6777776853347
"KRT5",45.6362085223852
"PTGIR",45.5969675606074
"PTPN22",45.5923849184025
"ANKRD53",45.1261588609939
"LRRC25",45.0814673122641
"MYO1G",45.0707771163991
"MAP4K1",44.9245820373548
"ARHGAP9",44.8458866915206
"IL18R1",44.489772996099
"MS4A1",44.4733059652331
"PPP1R14A",44.0844634760046
"ARHGAP15",44.0333325747616
"SCAMP5",43.9290840808146
"NKG7",43.6949623937106
"SIT1",43.5280463176454
"CCL19",43.4700153225899
"CD19",43.229319264913
"CD79A",42.779045032669
"TLR10",42.7390133868551
"ST8SIA4",42.6670159577313
"PCED1B",42.1848932162017
"C1orf162",42.1765242387377
"HAVCR2",41.8097412567173
"LTB",41.4101293511967
"VIM",41.2876559673384
"TNFRSF4",41.2416174516297
"LIMD2",41.03423826683
"KCNA5",40.9081562219041
"EVI2B",40.8066998724728
"CDK5R1",40.4279677787568
"TRAF3IP3",40.4046969666794
"WASF1",40.2517082046224
"CCR2",39.90811198634
"CCL4",39.7521143586712
"IL21R",39.5278775397318
"GIMAP8",39.4173326262302
"SCARA5",39.3557083097273
"CDCA3P1",39.2591250727354
"QRICH2",39.0306287358902
"CNR2",38.768831261937
"ZNF382",38.4649581306527
"CD4",38.3785602044537
"TTTY14",37.9828202326303
"RIMS3",37.6158146572835
"ZFY",37.5657906234629
"ROBO3",37.4744400877959
"FGD3",37.4712682447817
"GUCY1A1",37.3422268132695
"FHL1",37.1073970849903
"TPM2",36.9733549154099
"ZNF839P1",36.7524583169468
"PLP1",36.7523944553084
"TSPOAP1",36.5121741772566
"CREM",36.3623814387876
"FMNL1",36.2161332089214
"LINC01800",36.1736944543534
"LINC02132",36.1224358502014
"HRH2",36.0287995938287
"HCK",35.516167794835
"GMFG",35.4148548645238
"ALPK2",35.3316613276709
"P2RY10",35.147076916865
"FMNL1-DT",35.0201203918311
"NAPSA",34.9953947945447
"PARVB",34.9360821295075
"HCST",34.8319046819788
"TRBC2",34.7111619148547
"TNK2-AS1",34.677111328594
"PAPLN-AS1",34.6512521558408
"GRAP",34.6433203813211
"TRD-AS1",34.6132579764408
"LINC01684",34.5773819543433
"TRDC",34.4438339732283
"N4BP2L1",34.4187478844634
"ZNF681",34.2239112496832
"RUFY4",34.2235972002695
"MS4A4A",34.1922681694869
"CALCRL",34.0959950624369
"PDE1B",34.0385801363265
"IL21R-AS1",34.0116849675432
"IGKJ5",33.9657433706284
"CETP",33.9184253388225
"CCDC88A",33.8986977211681
"TNFSF12",33.8686931018757
"IGKJ4",33.7846030188978
"IGLV1-44",33.7153760596033
"CSF3R",33.5925587785617
"MIR223HG",33.4796168804274
"LILRB5",33.4779856782615
"RASGRP2",33.4777340425601
"ZNF43",33.4725660546171
"GDPD5",33.4369748046211
"TNFRSF13B",33.338846546055
"ACTG1P14",33.3302603704351
"BCAN",33.184531476171
"RASAL3",33.0501232945146
"LILRB3",32.9038452990875
"BCL11A",32.8863304551933
"GPR141",32.8612486136017
"KCNK17",32.7180821194309
"XYLT1",32.4518287298151
"ZNF714",31.9039150749584
"FCER1A",31.8780044096185
"NRROS",31.7608722093384
"CD79B",31.6614380107103
"LINC02960",31.6415419639577
"ZNF547",31.6307615256839
"LINC02642",31.3885502650433
"SEMA7A",31.2725569023566
"ABI3",31.1736591388889
"CISH",31.053937064228
"LRRC36",30.9837401650625
"ZNF343",30.9520459965632
"MYH15",30.9249316947123
"BMF",30.7665697483585
"IL1B",30.7166409069819
"GAPDH-DT",30.7149608622687
"LDLRAD4",30.7111469839838
"CAPN15",30.5137810222793
"P2RY6",30.3421142016773
"SSTR2",30.2819467438856
"LCT-AS1",30.0958191845747
"LINC01781",30.0174262984632
"SLC38A5",30.0154583958049
"LINC02774",30.011025333013
"CLNK",29.878438545358
"ZNF256",29.7631597326882
"P2RX5",29.7006792141072
"ARL11",29.6332277127905
"KIRREL2",29.6160195767115
"RIPOR2",29.5862122309345
"BCAT1",29.5810979442004
"CCL3-AS1",29.4856140107406
"SLA",29.4401282631968
"ASIP",29.4112605853189
"LINC01724",29.394421422913
"DDX51",29.3768948547694
"MED12L",29.3448862787472
"NSMCE1-DT",29.3375614629335
"MSL3P2",29.3368957649699
"CENPJ",29.3333062595389
"PAG1",29.2342918614281
"SH2B3",29.1193760661757
"UPK3A",29.1088137990239
"STAT4",29.0906633672254
"MFNG",29.0771056777598
"MYBL2",29.0505360057031
"SRGAP2C",28.9970038553777
"ARRDC5",28.9816932195762
"BTLA",28.9647267976834
"CD247",28.9248114166521
"LINC02575",28.8891523536089
"ARMH1",28.8310266322104
"GP5",28.752596151588
"MICAL1",28.7422802938595
"CCNT2-AS1",28.7000836102178
"MRPL20-DT",28.60249812752
"FGR",28.5847294340348
"SLC12A9",28.4973519642656
"IGKJ3",28.4037930631047
"IL4I1",28.2850095030742
"ZNF175",28.2391539187726
"TREML2",28.0639535927443
"CALHM2",27.9772831624432
"FAM43B",27.8069115413836
"IL2RB",27.7748403315368
"TBC1D8-AS1",27.7650519949462
"LINC02207",27.7231285599658
"IGKV4-1",27.6759275475498
"ELMO1",27.6721675420011
"SNAI3-AS1",27.6679378863869
"SUCNR1",27.5943976098955
"KCNK10",27.5458851680228
"AMZ2P2",27.4848576173807
"LTK",27.3769053903698
"SYNE3",27.3620682130116
"LINC01220",27.3379663959012
"PTGDS",27.3273459406419
"CD84",27.3256569770772
"ITGA4",27.288900792505
"LY86",27.2769799215036
"RPL7AP16",27.2653972182258
"PARK7P1",27.2027467641406
"MTCYBP3",27.1617027923146
"PLEKHO1",27.1530951147361
"SH3RF3",27.053282732848
"STON1",27.0505230385455
"LINC03122",26.9792324965115
"GPR176",26.9171465719823
"CBLN3",26.8876548878237
"MBLAC1",26.8767735432655
"RAP1GAP2",26.8712048733251
"RUNX2",26.7877074586286
"GNG2",26.7257985649574
"SLC7A11-AS1",26.4783352017039
"KBTBD8",26.4695233604133
"KLHL13",26.4588439902096
"BTK",26.4433897218552
"CD72",26.4353128840553
"ZFAT-AS1",26.4283142659053
"SH2D3C",26.4217803972505
"WBP11P2",26.3979574143515
"F2RL2",26.37259750729
"NEFLP1",26.2995344796367
"KHDRBS2",26.2991812239768
"CUBN",26.2054378948363
"YPEL4",26.1771952087295
"ZNF304",26.1638626172553
"OR10A4",26.1155268473352
"LAMP5-AS1",26.0861443327921
"PTPRE",26.0705475380097
"SCIMP",26.0673143669625
"PSKH1",26.0342530296441
"SPRN",25.9993572457316
"MALT1",25.9685190661884
"CCL3",25.9214192579303
"PPM1K-DT",25.9195579106915
"IGHV4-39",25.9080232658924
"ZNF90",25.8050075339198
"ZNF101",25.7529677844311
"MYO1F",25.7502344571639
"MAP4K1-AS1",25.6044050081389
"PHACTR1",25.5971713965424
"ZNF521",25.5693749683229
"SLC4A3",25.4976523870635
"PDE6B",25.4886071264442
"CYYR1",25.4640808511001
"ZNF675",25.454019227873
"LINC02481",25.3456484224636
"GRAMD1B",25.3428903794064
"SHANK1",25.3151908734787
"CYP2S1",25.2995772239373
"BIN2",25.2675609537159
"TRIM61",25.2352453102239
"PDE4B-AS1",25.2282705626562
"GSTM2",25.2188617551381
"KATNAL1",25.174822705435
"NR4A3",25.1435786331333
"CCR3",25.0355001230334
"ERAP2",25.0275592353173
"SLFNL1",24.9966180699303
"RPL13AP15",24.9808262086231
"FYB1",24.9717691544573
"RNU5D-1",24.9591765631497
"P2RY13",24.9282992945498
"MYOM2",24.8999241028573
"PLCG2",24.8968192223927
"ARL5C",24.8009900043513
"RNU6-1092P",24.7159115137159
"BOLA2P3",24.7115206268106
"GCGR",24.6943133615238
"SPAG4",24.6865550555147
"ZNF253",24.6540197384598
"TRBV28",24.548806117043
"MAP1A",24.5118019511401
"LINC01115",24.5107090826411
"YRDCP2",24.4866960045291
"HSPA1A",24.4241280404359
"GFRA1",24.4173341428022
"FCHSD2",24.3730885420019
"IL2RG",24.3529004127907
"SYT11",24.3464959993623
"KREMEN2",24.3439819118847
"HAMP",24.3143483347077
"IGLON5",24.2226045950502
"RASSF2",24.0941582041928
"GPR171",24.0444719722133
"ACSM6",24.0280585220599
"CASC15",23.9843324559589
"HROB",23.9815498076623
"CPNE5",23.8185207362185
"ZEB2-AS1",23.7612625750092
"BRCA2",23.7510121034732
"GPR174",23.7484206897453
"CD48",23.7380536069672
"LTA",23.7349372215401
"ZNF777",23.7109251820416
"RFLNB",23.5737993949941
"MALT1-AS1",23.5632724445579
"IL2RA",23.5564382731648
"TXLNB",23.5508724293612
"TNFRSF13C",23.5426345818423
"GNG7",23.5171703829108
"RN7SL402P",23.5149405053574
"VIPR2",23.4313498314625
"WNT10A",23.3904155939737
"CORO1A",23.3645511828742
"IGHD",23.3143156697757
"SERPINF1",23.3126017393098
"TRAV22",23.3073002347892
"ZCCHC18",23.1874217551749
"SZT2-AS1",23.1569100115337
"IGLC3",23.1528773210385
"COL17A1",23.1198896505589
"LAT2",23.0807313862355
"KMT5C",23.0510332303325
"RIPOR3",23.0444601978212
"CD22",23.0442049740449
"IGLV3-12",23.0078012295545
"MTND6P4",22.9148397421602
"PRH2",22.8558264416984
"BVES",22.829762953909
"RPS6KA4",22.7951519503828
"RN7SL555P",22.7372427696429
"CHRNA10",22.7233106798424
"IKZF3",22.718200283676
"KRT1",22.7032834812455
"FXYD5",22.6802830822389
"SLC1A3-AS1",22.5975538876496
"TIFAB",22.5407312363511
"RNU6-430P",22.5365258917685
"LANCL1-AS1",22.4434710056224
"CEP295NL",22.373255014603
"SPOCK2",22.2429565539394
"GLDN",22.2402705914155
"SNRPD2P1",22.2386917273766
"MYO7B",22.1822802309608
"RAB1AP1",22.1407113544771
"TPM2P1",22.1176348199597
"HMGB3P4",22.0786117912909
"PA2G4P6",22.0779008413413
"SCOC-AS1",22.0484730441368
"SPNS2-AS1",22.0474091676675
"SUSD3",22.000892972152
"FILIP1L",21.9173793639514
"PEAK3",21.8965751524503
"DPPA4",21.8625522506627
"AKNA",21.7992268933126
"INSRR",21.7883594647486
"SMIM5",21.752356445021
"TOX2",21.740405585953
"HLA-DQA1",21.7363746846925
"PGAM1P6",21.7355025139954
"ZNF257",21.731551360721
"TGFB1",21.7208076041795
"RN7SL472P",21.6966697097149
"DEF6",21.6827987736989
"DYM-AS1",21.6593451021043
"ADAM21",21.5287807877608
"RBMX2P3",21.5089017931727
"MYO5A",21.5007828893921
"NAMA",21.4830435522248
"CYFIP2",21.4436853970281
"ARK2C",21.4350064261044
"LINC03021",21.4157291474106
"MPC1-DT",21.3605468060917
"CLDN15",21.3571400635417
"NFKBID",21.3178069390975
"LCP2",21.3157906245612
"TRPM2",21.2999852054214
"MZB1",21.2733324334104
"SLAMF1",21.2718005438406
"TMLHE-AS1",21.26695262749
"KCNA3",21.205595347979
"GPSM3",21.1854574890189
"PIK3CD-AS1",21.154618109783
"ABCD2",21.0996493839135
"GYPC",21.0866408097234
"MAST3-AS1",21.0832381758049
"CYTIP",21.0183564521255
"ZNF85",21.0145921163974
"GHRL",20.9961987610388
"GUCY2D",20.9929584882271
"VIM-AS1",20.9677145882445
"DTX3",20.9670117993837
"SWINGN",20.9482750872226
"LINC01678",20.8861659251556
"ACAP1",20.8677261482433
"FAM53B-AS1",20.8299799837745
"NLRP4",20.8043687161193
"KRT14",20.7757671035108
"KLHL33",20.7278393586788
"CLEC12A",20.7081189373742
"SIGLEC10",20.6989820833102
"LRRC3-DT",20.6844642483113
"WAS",20.6359647675062
"KLRG1",20.6066872545196
"CCL17",20.6050583348264
"ANKRD44",20.5882213831502
"AKR1D1",20.5673216767663
"PLCB2",20.5651489644105
"INPP4A",20.5169077926222
"MSL3P3",20.4747141455113
"CCT4P2",20.4346985401556
"H2BC3",20.4086900705123
"PLAG1",20.3460970113966
"TGFBR1P1",20.3048555199985
"RPS26P21",20.1510911279564
"DDX55P1",20.1220770866105
"LRRC15",20.0307063032568
"INHBA",19.9361858934744
"GPX1P1",19.9062587385885
"ABR-AS1",19.8973487062109
"SLC47A1",19.8680802090739
"LINC02226",19.8447885497587
"NLGN3",19.8062659444143
"RASSF5",19.7961718299136
"LINC02917",19.7571344472854
"ZNF793",19.7260411910718
"LRRN1",19.6981557989022
"XAB2",19.6962183227438
"LINC01036",19.6696287647505
"NPIPB11",19.5536515966983
"SNORD3A",19.4563226148607
"TBX19",19.4136107746073
"SPNS3",19.3476293458584
"SAMHD1",19.3238043856655
"LSM3P5",19.2953313898741
"TET1",19.2893957056049
"PDGFB",19.2735695446621
"LINC00299",19.252648702692
"BLK",19.2485533962736
"LRRK2-DT",19.243478793589
"PPM1F",19.2300597615026
"SNRPN",19.1874432329233
"KRT8P5",19.1695495453948
"H1-5",19.1612265781549
"RAC2",19.1548661396152
"LINC01891",19.1361455139823
"IQSEC3-AS2",19.1306292712885
"ANKRD33B",19.0967775686194
"RPS2",19.0032931546902
"CIROP",18.9512922191316
"INPP5D",18.8668287046451
"PHGDH",18.8469007878484
"SAP30BP-AS1",18.8315159751773
"GRIN1",18.8081208509192
"KLF3P1",18.7754587878184
"MADD-AS1",18.7400975406277
"LINC00377",18.693890023027
"NR3C1",18.6463075406167
"KCNG2",18.5746405660254
"ZNF569",18.5625949130306
"FANCG",18.5474771765502
"PTPRO",18.4878830124785
"KLRB1",18.4764881190803
"NEURL4",18.4505887977465
"NFATC4",18.4088644655521
"ARHGAP27P2",18.3935546421201
"KCNMB4",18.3398482338491
"H1-12P",18.3036249216545
"IZUMO4",18.2963553595507
"RPS27AP7",18.2588094504032
"RXFP4",18.2195615943632
"AGAP2",18.1909764047545
"KLHL6-AS1",18.1792063214203
"TRPV2",18.1383794479681
"RNU4ATAC",18.0803481131681
"IGLJ3",18.0502386267807
"CD83",18.0276104988852
"COL7A1",17.9753654502477
"BTN1A1P1",17.9591119348801
"IGHV3-49",17.8973728442844
"EIF5AL1",17.8836439573043
"GMIP",17.8373088775384
"IQCN",17.7907484121802
"ZNF66",17.7868424383104
"PPM1J",17.7590316397003
"TGFBI",17.7588022323605
"MPIG6B",17.7387812227649
"CD86",17.7050628904026
"PIK3R5-DT",17.6694084028326
"RNASE2",17.6541883884802
"XKR6",17.6501852702619
"FAM43A",17.6356965918604
"RPL5P34",17.6167299599376
"ABCA9-AS1",17.5925925769563
"GDI2P2",17.5382629465574
"LINC00578",17.5316233256425
"RPSAP21",17.5006164693323
"GAL3ST4",17.4899683387121
"TMEM156",17.4803798763784
"CLIP2",17.4499707736864
"CDC14A",17.4496186852575
"IKZF1",17.4222356988987
"RHBDF2",17.3641764762581
"MIR133A1HG",17.3281590750364
"PRELID1P4",17.3144823489839
"LINC00326",17.3092102950706
"NCAPG",17.287833116692
"ACACB",17.1938135642733
"H2AC16",17.13029145429
"MNDA",17.0671153963403
"CYB5D1",17.0581748917284
"PPP1R18",17.0553874109352
"FLI1",17.0542795665238
"MS4A7",16.9901281496988
"KLHL10",16.9851672239731
"POSTN",16.9659669138208
"C17orf113",16.962416440031
"JUND",16.9555490657987
"DNAI7",16.9527400444667
"PAQR8",16.9515440570302
