"gene","rank_metric"
"IL32",395.461405172272
"TRAC",332.920110144493
"LCK",314.187492738158
"PRF1",245.931829133815
"CD3G",233.161312752395
"MKI67",218.771346876095
"ITM2A",205.787139142568
"CCL5",192.966630494059
"ZAP70",170.975967225915
"CD3D",163.292720134605
"WEE1",162.494822382818
"KLRK1-AS1",158.621227806246
"TRBC1",154.076205845543
"CXCL13",153.920481176138
"IGHG3",153.177539168441
"SPC24",152.730644897868
"AURKB",146.49833537219
"IGLV2-14",145.247047117872
"KLRD1",144.487062056056
"INCENP",144.298322579339
"CXCR6",142.672717268507
"GZMA",139.622913397351
"STX11",139.212616474106
"XIST",138.894839393245
"SIRPG",138.515004025029
"CSF1",138.025901314087
"HMGB3",137.803249864747
"SH2D1A",135.488661732817
"UBE2T",132.722679436626
"LMNB1",131.988205596679
"OASL",130.703323767541
"CDC42EP3",130.325727056998
"NDFIP2",129.764711415306
"BIRC5",126.775694915873
"UPP1",126.389961735119
"FASLG",124.909323427022
"TSIX",123.887052685565
"LINC00963",119.88569065209
"KLRC1",119.106658820917
"PHLDA1-AS1",117.651902304637
"CDK1",116.793405630371
"DHCR7",116.054282530608
"ITGA1",115.812837814646
"PLK1",115.124313377547
"PITPNC1",115.110313123795
"NCAPH",114.134230951777
"RORA",113.741415871263
"KIR2DL4",113.700163184241
"CTLA4",112.076606507932
"KIF2C",111.879248272799
"PDGFA",111.838432983471
"SH2D1B",111.602705453513
"IFNG",110.998868762512
"UBE2C",110.726763254199
"SAP30",109.458256475572
"CDCA8",109.10313343352
"ZNF683",108.598720789594
"PLEKHF1",107.669061710691
"GPRIN3",107.627410115439
"CKAP2L",107.251982658898
"CCNB2",106.578377738432
"CDC20",106.472360300134
"KRT86",106.052954970315
"SH2D2A",104.317363867149
"INPP1",104.038973678546
"KLRC2",102.774081546186
"DRAXIN",102.759731210332
"RASA2",101.675136679229
"ADGRG3",101.131656786894
"TNFRSF25",100.584069728283
"KIF4A",100.162707836003
"INPP4B",100.006401582282
"IGHV3-30",99.7870302943034
"DTL",99.3649369185275
"LAYN",99.3211328550961
"ICOS",98.9008003767913
"TSPAN5",98.1986229738063
"PTPN7",97.6324447941938
"PAQR4",97.4847996920407
"KRT81",96.9437140223956
"KIF23",96.6565090895221
"TRAT1",95.4599668731334
"TOX",95.3717465324445
"NUF2",94.3782799219176
"RABGGTA",92.8475854719673
"IL7R",91.1024188947869
"LINC02446",91.0519911643704
"HMMR",90.5079633715348
"CDCA2",90.4797694043804
"IGLV2-28",90.369472562385
"EGR2",89.5098486141011
"ZBTB16",88.758681915604
"KLRK1",88.5759524022927
"SPATS2L",88.2528623452524
"XCL2",88.2224657367761
"SYTL2",87.6138970251046
"TRGC2",87.526775162748
