"gene","rank_metric"
"XIST",83.9838700651172
"GSTM5",72.4358101523435
"IGKC",66.9167306875924
"AMPD2",63.9908954970241
"PMEL",62.5854714244315
"EDIL3",62.2925287011399
"PNMT",59.2163527139825
"IGKV1-39",56.3513509994416
"C1QB",55.6737105074961
"ZNF155",55.283601241499
"FBXL14",53.4357731379321
"CHRNA6",52.8151141544466
"TSIX",52.2305079134935
"ARHGAP32",51.5128128985187
"PIGZ",50.6144282161009
"CCL3L3",50.1995597110948
"FBXO32",49.9394247098378
"FBXL22",49.3984767495973
"SHQ1",49.273216820342
"PLA2G2D",48.1732938195904
"GPNMB",47.7476415325729
"IGHG3",47.065188810563
"PXYLP1",46.8511557356848
"TRIM63",46.6777333896764
"GSTO2",46.0252030321737
"ADM",45.5795128325243
"CD3G",45.3686833037299
"SEC14L1P1",45.3582022149022
"CTSK",45.1689105997989
"RSPH3",45.0790012217684
"TYR",45.0695811522104
"HSPD1P11",44.5376667235074
"PPP1R26",44.5340184570053
"EFHB",44.2878235045859
"NMNAT3",44.2329003763319
"NATD1",44.1333701870291
"NUDT6",44.0861205128122
"TEF",43.9332180568538
"SGSM2",43.9234054030807
"FBXO30",43.7335542010498
"FCRL3",43.7060926782187
"CD8A",43.6401664211006
"CXCR3",43.4828176519595
"PAN2",42.7948348470873
"HAS1",42.5886451752578
"CRISP1",42.3010658605005
"KLF11",42.1498952227827
"POU6F1",42.1481359519404
"AMMECR1",41.6992094052155
"MAP4K2",41.5120499174133
"ZGRF1",41.3277759233191
"CFAP418",41.2729412468486
"ZNF669",41.1548540190525
"NR1I2",41.0409074378655
"TLE1",40.8088487236079
"LCK",40.7449503525408
"C1QC",40.6968573586118
"WHRN",40.5649062526433
"MICU3",40.2627740458821
"FAIM2",40.1677503062943
"SLAMF1",39.9079271226789
"NPR2",39.775052520519
"MEGF8",39.481150510083
"CCL3-AS1",39.125794222521
"ZNF546",39.0568290021018
"MYO1E",38.8687582011638
"TEDC1",38.5915773178226
"TADA1",38.5376970116141
"CXCL9",38.5153339260824
"ZNF559",38.291257807752
"ZNF8",38.2782518525468
"ZNF589",38.148223440077
"ZNF527",37.9991905615751
"NT5DC3",37.7976118066028
"ARHGAP5",37.7574939348156
"FAM118A",37.7119097115336
"NEO1",37.4687773457586
"ZNF25",37.2695753253181
"SLC24A4",37.2247028459191
"CD96",37.1790818987216
"TAF5L",37.1531449471557
"ZNF623",37.0064567403366
"KLHL25",36.9971771708202
"EPOP",36.9554456155942
"SLC37A4",36.9159769165539
"CNKSR2",36.7298082962654
"GARNL3",36.6862277437953
"SLC40A1",36.6210708528896
"OR10H1",36.3480351530077
"IL33",35.9895876144682
"C2orf42",35.9554403839162
"FBXO44",35.9119868992267
"PEMT",35.8764459851421
"ZNF549",35.8469611453821
"PNMA8A",35.7939908087367
"DDX11",35.7423844372721
"PRDM11",35.7125036532419
"HSD17B1-AS1",35.6517104234659
"BICDL1",35.5395294606281
"CCL3",35.395817214816
"THNSL1",35.395618586059
"PTDSS2",35.285911288518
"GGN",35.272841072285
"MKRN5P",35.2374450637612
"SERPINE2",35.2006268388597
"NLRP1",35.1198213252334
"HSD17B1",35.0877911491275
"BCL11B",35.0541518747989
"EIF4EP1",34.9977192096154
"PXDC1",34.9644152809657
"HECTD2",34.9442056973394
"TUBAP7",34.9092640128181
"CLEC11A",34.9023092751578
"LINC00852",34.7663219860144
"N6AMT1",34.7287600837877
"USP31",34.6274627564736
"IFT81",34.4886688373199
"SLC25A25-AS1",34.3331797730296
"DCT",34.2773658691475
"GPR37",34.146711172019
