"gene","rank_metric"
"JCHAIN",632.369649508756
"IGHG1",538.806743331534
"IGHG2",519.107730616091
"IGHA1",514.519299368837
"FCRL5",511.876090158221
"IGKV3-11",508.983011687204
"IGHJ4",492.488809357494
"IGHG3",484.762227673777
"IGHA2",448.896975856512
"IGHV3-7",439.09738192932
"IGKV1-39",414.894141458781
"IGKV4-1",400.150973821975
"IGKV1-5",399.246344302109
"IGLV1-47",398.068706030114
"IGHV3-23",396.601551024382
"IGKV3-15",393.84860017456
"IGHV4-39",373.301910252253
"IGHJ6",371.272864660546
"IGLV3-1",369.064751945162
"IGHV4-34",368.028984331362
"IGLV3-19",366.899808970389
"IGHV3-74",364.118158859791
"IGHV3-20",363.092297038237
"IGKV1-16",362.810708708707
"IGLV2-11",358.983963368289
"IGKV1-9",354.979199933566
"IGKV1-27",348.321961969747
"IGHGP",346.456016749182
"IGLV6-57",342.803018061414
"IGLC2",340.470764411165
"IGHV1-18",338.081092809756
"IGKV1-8",337.818739593518
"DERL3",334.224343591546
"IGHV3-15",331.827017188735
"IGHJ5",330.934257024875
"IGHV3-48",324.856210180038
"IGHV2-5",324.14005415982
"IGKV1-12",323.077157080303
"IGHV3-43",322.229742874794
"IGHV3-21",322.074791215751
"IGKV2-28",319.70522868694
"IGKV1-6",318.460731456143
"IGHV4-59",314.264595239056
"IGKJ1",313.97821450874
"IGLL5",310.640561356743
"TAGAP",309.380849972612
"TNFRSF17",301.193317226592
"IGHV3-11",297.779320757054
"IGKV1-17",296.813768615344
"IGLV1-44",295.096811663319
"IGHV1-3",294.871235793035
"LINC02362",294.364978194097
"IGKV2-30",294.286636525113
"SRGN",293.491366319633
"IGKC",292.777276850259
"IGHV4-4",291.068063553588
"IGLV10-54",289.761015164326
"IGHV3-49",289.667321097899
"IGLV3-9",289.09988232439
"IGHV1-2",288.486419234515
"IGHV2-26",287.020459315207
"IGHV3-64D",286.9675035228
"PRDM1",285.416883863757
"IGHV1-46",280.497136641047
"IGLV3-25",276.604059974245
"IGHV3-53",274.201497037393
"CYTIP",273.191199844729
"IGLJ2",273.082091515935
"IGHJ3",270.787204294648
"POU2AF1",265.164422360185
"IGHV3-66",262.782203739024
"IGHV3-30",261.722519585135
"RHOH",261.302914222625
"IGLV2-18",260.420879866813
"IGHV1-69D",258.336675368512
"IGLV3-10",255.825835317803
"IGKV3-7",255.630686409498
"IGKV1-33",254.609839833097
"IGHV4-28",252.033223089889
"IGHV4-31",250.212511930888
"IGKJ5",247.755575829548
"IGLV2-14",242.07275998386
"CD79A",239.894004285099
"IGHG4",238.250833205847
"IGLC3",238.11203458041
"IGKJ4",235.442204094891
"IGHV3-13",234.26997786321
"IGLV3-12",232.072825616463
"IGLV3-21",231.674064685955
"IGHV3-33",223.655625015339
"MZB1",219.864835133437
"CPNE5",218.073053343177
"IGLV1-51",202.93339672616
"IGHV3-69-1",201.77822641946
"IGLJ3",199.590864208813
"ZBP1",198.046126180817
"IGKV7-3",196.138270427164
"SLC17A9",196.045569286018
"IGKV1D-39",196.02453932305
"IGHV4-61",193.906847633312
"IGKV3-20",192.399531314688
"IGKV1-13",188.083229697821
"IGHV4-55",183.429233194966
"FCRL2",181.809450061453
"MIR155HG",180.113358687641
"TRPV3",175.852800299831
"IGHV7-4-1",175.03146490674
"LY9",174.71781298986
"PLCG2",174.437692486866
"SLAMF7",174.169114357299
"IGKJ3",173.455288447521
"FAM30A",172.544088706704
"DENND5B",171.709087151787
"IGLV1-40",171.389348137344
"TMEM156",169.538310150157
"IGKV3D-20",169.189846777313
"C16orf54",165.516877909607
"IGHV6-1",163.145795157821
