"gene","rank_metric"
"EPCAM",1456.68783206624
"TACSTD2",1378.80955234422
"MGST1",1273.60576406918
"CLDN4",1199.19804433859
"C3",1041.18835554778
"GPRC5A",988.413428454039
"EMP2",922.67675570004
"FOLR1",902.766788506385
"TFPI",877.627154405442
"CXCL17",859.684780405391
"PIGR",847.39902477719
"WFDC2",844.747079282188
"TGM2",816.405745617445
"MMP7",798.68318275814
"SLC34A2",730.50212394872
"CEACAM6",720.397558040546
"NAPSA",704.39455570089
"CTSE",699.104310072702
"IFI27",690.305151281196
"SFTPB",669.168355450565
"ASS1",668.005724229822
"PON2",652.751409470193
"SELENBP1",642.141102618616
"MPZL2",638.809828120595
"AGR2",631.847134150277
"PDZK1IP1",627.896111433
"CXCL2",623.147151063265
"SFTPA2",620.985365377834
"S100A16",611.960714538645
"SLPI",568.63063691944
"TSPAN1",567.118679286399
"SFTPA1",566.006331287091
"LAPTM4B",553.318720844876
"TM4SF1",551.079174147623
"CLDN1",536.435305802562
"CEBPD",530.314859501975
"IGFBP4",529.846412837463
"AGR3",528.67623841021
"RAB25",514.889045772142
"C4BPA",505.168445024275
"CCN1",503.614753767584
"CLDN7",500.298483156358
"RPS4Y1",498.228062295071
"DHCR24",496.160697609502
"SCGB3A2",485.796952674922
"SCGB3A1",483.83632519249
"PRSS8",481.208779088393
"SFTPD",467.327943484627
"NUPR1",467.288699452033
"KRT19",449.803608677794
"MAL2",446.888240872778
"CFB",446.227290840799
"C16orf89",426.689534223462
"AQP4",425.568542841176
"TMEM125",424.94587782015
"AQP1",424.588588947131
"HTRA1",421.804354210222
"ERBB3",417.415287760618
"NECTIN2",416.5317677932
"TMEM37",404.72302757186
"CTSL",402.94754151261
"TSPAN8",400.919308072617
"GDF15",400.058057968702
"CAVIN2",398.303492079951
"RBPMS",397.456620986062
"FGG",394.996991284155
"MUC5B",394.617455419102
"IMPA2",382.253633434248
"TMC5",380.789205174975
"PTGR1",380.631551584481
"SMIM22",375.043536782161
"TCEA3",372.874517594402
"SLC22A31",372.135620677023
"SERPINH1",366.206948930337
"TM4SF1-AS1",366.079690282494
"EFEMP1",363.649872686107
"APP",355.130018477254
"S100A14",345.721633299693
"OCLN",343.976518558358
"NKX2-1",339.685661330721
"SPINK1",337.446132978531
"MLPH",336.379784458251
"AGTRAP",335.740739525313
"TSPAN4",335.341702614502
"SFTA3",333.468381003515
"NRP2",331.540465175898
"ACADS",330.299301643452
"TIMP3",326.922149030672
"SFTA2",313.437961241422
"KRT8P3",307.129386034195
"STEAP4",305.857919401083
"H1-0",305.811794435607
"ABCA3",305.091696826906
"LAMP3",302.376931895676
"LCN2",301.998236825173
"VWA1",298.297627695894
"EDIL3",297.932163401671
"CCND1",295.825465063716
"C4orf19",292.945727025226
"TFAP2C",289.244491689014
"KIAA1217",288.21713038657
"LAD1",286.326021479947
"TMEM54",284.969408408342
"NRP1",284.833971285456
"AP1M2",283.75106944373
"HOXD1",281.214376605032
"CP",280.494386649983
"CXCL8",278.560636840525
"CFI",277.238166972699
"LIMCH1",275.570237168898
"HNMT",275.351850744017
"MUC21",275.346213142485
"OR2I1P",270.714923828231
"TCIM",269.000249742946
"DMBT1",267.545904153471
"JUP",266.959580085287
"FOXA2",263.592489044953
"SLC44A4",262.507901298325
"PKP3",262.41507424605
"CPNE8",260.194454792412
"C1S",259.49576907553
"KRT7-AS",257.35644281615
"TSPAN15",257.256636129689
"PRR15L",257.115967819405
"CAPN8",256.380483902045
"CXADR",253.969967098027
"CAVIN2-AS1",250.958352064259
"SPINT1",250.694511001294
"S100A9",249.725553012232
"KRT7",249.168634955696
"C8orf34-AS1",246.415800124138
"TNFSF13B",246.411406157044
"CHI3L1",245.32668916525
"IFITM3",245.294775880859
"SERPINA1",244.998669367933
"EVA1C",244.845041619814
"MT1E",243.683249618899
"MSLN",243.251525119095
"PPIC",242.331510881337
"DMKN",242.200309262328
"MALL",241.343202348533
"CST3",240.695694353986
"STXBP1",240.648954070885
"MUC1",240.164306062446
"CDC42EP1",239.821662236391
"ATP13A4-AS1",239.387318005018
"ABCC3",239.147228142411
"HAGLR",237.520917901668
"EPHA2",237.200343008238
"ANKRD65",237.121185409512
"GPRC5C",236.102565562876
"TNFSF15",235.427670182784
"HP",235.338400496019
"HLA-U",233.981741460719
"PON3",232.412962104727
"GPC4",231.613346450342
"ESAM",231.188096536505
"ADGRF1",229.64049455165
"GNAQ",228.465403881386
"KITLG",227.420552278019
"SGMS2",226.269181206883
"ACTN1",225.20794564092
"TMPRSS4",224.413665104077
"SFTA1P",223.736894733406
"AASS",223.325492939968
"ERICH2",222.953547916806
"EPS8",220.450548488607
"CALCRL-AS1",220.192786303618
"SPDEF",217.491197440198
"ITGA3",217.347313292456
"CDCP1",216.395933684264
"CALD1",216.323182316228
"NFIB",216.232340857403
"TNS1",216.070583487249
"FGA",213.240211734705
"CXCL3",212.939813834009
"TMEM98",212.349281966577
"ARSL",212.115241825734
"KCNJ15",210.92002251856
"STEAP3",210.425455158042
"AKR1C3",210.198249084032
"RAB17",209.933927186471
"HPCA",209.583414317322
"OSMR",209.545468546214
"TMPRSS2",209.013490122868
"SCD",208.859843837275
"GSTA4",207.419899815949
"MAOA",207.328449397067
"PPP1R1B",205.604109017524
"IGFBPL1",205.114252555614
"HABP2",204.172842860799
"SDR16C5",204.074399379289
"TMEM45B",203.730276608314
"PLA1A",201.920058419375
"LMO3",201.572008764349
"LRRK2",199.561977961745
"VEPH1",198.988054307492
"IL1R1",198.101772475234
"LAMB2",196.594937327933
"C6orf132",196.399605671171
"NR2F2",196.023331409481
"CAVIN1",195.93767000819
"KIF23-AS1",195.167116485219
"MYOF",195.144311417959
"PLEKHA5",195.056211819365
"C1orf210",194.846464945762
"CDH3",193.450487902142
"NQO1",192.54811098829
"SLC6A14",192.278101029486
"CLTRN",189.608900400969
"FLNB",189.317963782611
"MMP1",189.262796834483
"KRT8",188.919274023346
"LTF",188.377552923257
"GPX2",187.528739033826
"SMPDL3A",186.418320082569
"LIPH",186.305387584566
"RAI14",186.061422639508
"CYB5A",186.014156782194
"KRTCAP3",185.235611785489
"CPNE2",185.131857263744
"AQP5",184.546895518059
"PTPRF",183.364368376656
"OVOL1",182.974623808312
"SLC40A1",182.862927288583
"SAA1",181.824540503387
"EIF1AY",181.323346569324
"ANXA3",181.140370085576
"IGFBP2",180.959209666953
"SPRY2",180.955611496314
"C1orf116",179.286807407469
"ABHD17C",179.128837096802
"IFIT2",179.073945349576
"NTPCR",178.711324942053
"SH3RF1",177.13968519943
"BATF2",177.122688309462
"EHD2",176.407011786101
