"gene","rank_metric"
"KRT17",192.616755090831
"SERPINB3",104.096818580207
"CES1",83.6896312287673
"HDGFL3",81.674729089866
"SERPINB5",81.0859892477942
"DUOX2",80.1033663342338
"EPHB2",79.4989432988566
"SERPINB11",79.1820706029254
"MFAP5",77.4051403706728
"MMP10",77.0447007747049
"MS4A8",73.2077012402338
"VSNL1",72.347199172886
"PAEP",72.0917626023244
"KRT23",71.4783818887118
"THAP10",71.2705723593903
"XIST",71.1144036664765
"SERPINB4",70.5070641938398
"ANXA8L1",69.4239602932876
"FAM171A1",69.3048983375304
"DNAH9",69.1449210587136
"WNT4",68.7321629803924
"CHP2",68.5022378944027
"KRT5",67.4029300675347
"FYB2",65.7880661577944
"TMEM190",64.7186093993257
"SNTN",62.8779669934993
"FAM107A",62.7612248563984
"CLCA2",62.6360893549889
"LRRIQ1",62.4563252243927
"ZNF667-AS1",61.407652191638
"BPIFA1",61.3892092746269
"SLC22A4",61.3784486318582
"SPINK6",60.9066352579224
"CDK6",60.5311280847961
"TAB2",60.2693633766624
"VNN2",59.0038857298053
"CCND2",58.8362998346223
"DLL1",58.6615232045389
"RSPH1",58.4723798141072
"CIBAR2",58.0159163894648
"VTCN1",57.9711020989562
"GJB5",57.9495994176856
"LINC02610",57.6451388662398
"TNFRSF11B",57.4443270609822
"KRT16",57.4076106865874
"AFAP1L2",56.5663666764551
"ANXA8",56.4964868260464
"ZNF559",55.9898165105878
"CPS1",55.9605195564614
"VNN1",55.7322221106116
"DUOXA2",55.3746918056857
"WWP1-AS1",54.6590530764756
"KIF19",54.2076345263815
"ADAT2",54.2024142563881
"ARL14",54.1749431699109
"PTHLH",54.0387741599569
"CYGB",53.5895878983662
"AADACL2-AS1",53.5561796049023
"SLC6A1",53.4226020845554
"PSD3",53.4041669780373
"SMOC1",53.3868137786328
"PSCA",52.9749869241605
"ADAD2",52.3913652202422
"ECRG4",52.270686903139
"SPNS3",52.1464887605966
"ZNF547",52.1411891033989
"VWA3B",51.2978951349029
"LYPD2",51.0639155891523
"FAM83B",50.9658843028394
"MSMB",50.5044292600693
"ZNF18",49.7922696990224
"CLMN",49.7404378551578
"AKR7A3",49.6479872991454
"FHL3",49.6293415730866
"DIO2",49.6136795375144
"CDHR1",49.4276066016101
"CFAP300",49.3897233482043
"CFAP52",49.3697385717066
"FAT2",49.1721941001321
"TP63",48.8262209999663
"TFF1",48.7216938469776
