"gene","rank_metric"
"EPCAM",1470.93924850281
"TACSTD2",1458.55471265301
"CLDN4",1205.08742059763
"MGST1",1156.99971424598
"GPRC5A",1046.80828796815
"C3",1023.62837611072
"TGM2",857.292481527805
"FOLR1",854.323756084497
"PIGR",851.087164561151
"TFPI",828.035963884552
"WFDC2",799.769665769949
"EMP2",797.221323808786
"CEACAM6",795.537542149315
"CXCL17",764.591951628888
"SLC34A2",730.084252143096
"MMP7",718.587690426968
"MPZL2",702.149277721645
"SLPI",665.460175040978
"CTSE",645.685294290049
"SFTPB",645.284966745437
"S100A16",635.105511383531
"PON2",633.128001898384
"TSPAN1",632.549274271301
"ASS1",615.731872569001
"CLDN1",612.845839392144
"AGR2",602.706211641585
"LAPTM4B",600.643469644507
"NAPSA",598.705474780305
"MAL2",595.891531601257
"SELENBP1",586.401930455265
"TM4SF1",572.543285589823
"CEBPD",566.511106707812
"C4BPA",553.422519665056
"CXCL2",546.635703093543
"SCGB3A1",543.238303692633
"PDZK1IP1",522.416210017224
"DHCR24",514.53903217423
"KRT19",512.344326685129
"IFI27",507.684920864993
"CLDN7",499.518277316632
"IGFBP4",499.235543896826
"APP",493.203712306416
"PRSS8",484.408498259185
"CCN1",468.34350412497
"NECTIN2",462.627220124606
"RPS4Y1",461.7157629356
"RAB25",441.8616983555
"SFTPA2",437.83425754801
"SFTPD",423.795869151278
"SFTPA1",413.963892101082
"MUC5B",408.957785125784
"TMEM125",404.477132744762
"C16orf89",401.14512297781
"ERBB3",389.987947205425
"TSPAN8",388.744964617855
"CTSL",388.644129396915
"AQP1",388.600948525011
"TM4SF1-AS1",382.874006662365
"TIMP3",375.756526254315
"RBPMS",373.049200105947
"AGR3",372.267200386936
"CFB",368.292651526323
"TMC5",368.084778297709
"CCND1",364.459000980088
"HTRA1",364.405350392749
"IMPA2",362.706781314565
"CXADR",359.446583357216
"NKX2-1",359.396642191462
"VWA1",359.093236976131
"TSPAN4",357.045415284882
"AGTRAP",354.7206505061
"MALL",353.659636853362
"JUP",353.561116822529
"OCLN",347.760490108879
"SCGB3A2",346.936866426499
"EFEMP1",345.967520601013
"KRT8P3",342.423872917768
"SLC22A31",340.061903431452
"SERPINH1",339.906439670946
"SLC44A4",334.423842177195
"MLPH",330.702643636974
"PTGR1",330.013324124452
"PKP3",329.421715130855
"GDF15",327.120692984112
"STEAP4",326.463070015552
"LCN2",326.063085873944
"TFAP2C",325.854573799259
"CAVIN2",325.811153264189
"KIAA1217",324.745606003499
"S100A14",311.421606489154
"KRT7-AS",310.448754596721
"NRP1",309.753872131016
"ACADS",305.645974917148
"CXCL8",304.919882250536
"KRT7",303.362202065141
"TCEA3",300.652209277037
"EPHA2",296.849107427588
"CP",296.257483290109
"AQP4",295.841141036763
"SFTA3",294.51178042075
"HNMT",292.638497195807
"EVA1C",287.428962180968
"LAD1",286.866938274226
"EDIL3",286.076946309572
"ACTN1",285.586816803237
"AP1M2",282.463331001308
"SPINT1",279.630884908459
"C1S",279.041842401568
"SPINK1",277.418591671817
"TSPAN15",274.321492019643
"BPIFA1",273.461579913556
"CAPN8",269.53467255609
"TMEM54",269.253223430421
"SPDEF",267.03444651167
"MSLN",266.685999141705
"NUPR1",265.607305934974
"FLNB",264.780579854345
"C4orf19",263.208792266678
"SMIM22",263.203341584182
"CLU",261.495210644803
"SORD",261.307811758009
"OR2I1P",258.744926198253
"H1-0",258.643249777918
"CST3",258.241183521368
"FOXA2",258.157489050822
"TCIM",255.545576175203
"LIMCH1",254.663320708804
"CDC42EP1",253.731045302702
"TNS1",252.767535538954
"ANXA3",252.593604117854
"TMEM37",251.59217762834
"GPC4",250.229424374755
"LMO3",249.099462485709
"RBMS3",247.950942496977
"OSMR",247.738231318457
"PRR15L",245.745377106073
"SERINC2",244.400172542272
"HOXD1",243.929228270675
"ABCC3",242.784717762414
"SGMS2",242.15901661961
"TMPRSS4",241.697640090076
"CDCP1",241.127126933311
"NRP2",240.657431857913
"CDH3",239.767962230313
"CAVIN1",237.55966232982
"PPIC",236.146381576092
"MUC1",235.839058047352
"AQP5",232.971173519178
"FGG",231.620158421259
"NFIB",230.799454436076
"ABHD17C",230.779083430539
"ITGA3",230.389718264183
"LAMB2",229.114066449128
"LAMP3",229.068379522928
"CALCRL-AS1",228.64322011425
"KCNK1",227.994967424171
"GNAQ",227.551456907588
"GPRC5C",227.517969604825
"ABCA3",224.663090385478
"IL1R1",224.521527106627
"TMPRSS2",223.808903013336
"KIF23-AS1",223.599805522382
"EGFR",223.060631239245
"MYOF",222.569343942905
"STXBP1",220.187638858163
"ERRFI1",219.575880849441
"SFTA2",218.614318280285
"BPIFB1",216.386006707987
"EPS8",214.254552784926
"ST6GALNAC1",213.771940710046
"DSP",213.619956253558
"DMKN",212.529999807341
"LIPH",211.321108929976
"SPRY2",210.507242510788
"HAGLR",209.728262920938
"IGFBP2",209.31704479919
"MAOA",209.268728397434
"TMEM98",207.973945267129
"SLC6A14",207.746659280931
"LMO7",206.553056893423
"PLEKHA5",206.243111321172
"ADGRF1",205.787152973591
"SCNN1A",203.791300430286
"PON3",202.712854414713
"STEAP3",202.35150662318
"C1orf116",202.232629513743
"TNFSF15",202.00796890392
"C8orf34-AS1",201.312356691602
"CFI",201.211515512691
"SFTA1P",200.337387916183
"HPCA",198.925513847626
"PLS3",198.431219980544
"SCGB1A1",198.133879050845
"MUC4",197.820266856797
"CAVIN2-AS1",197.784629365778
"CHI3L1",197.265576299991
"SDR16C5",197.211664431815
"ANKRD65",197.157416752952
"CPNE2",197.142511662763
"ENAH",197.029350978603
"EFNA5",195.599789591514
"WWTR1-AS1",194.661121905321
"RAI14",193.990161236272
"KCNJ15",193.751860399349
"PPP1R9A",193.163562169958
"CX3CL1",192.900078943197
"SAA1",191.915939309054
"UBTD1",191.512057366086
"EHD2",190.220724796194
"KRT8",190.069055471735
"SLC40A1",189.322317739011
"SH3RF1",188.864591649462
"NR2F2",188.496527344201
"RNF144B",187.991285439208
"ALDH1A1",187.950828077033
"CPNE8",187.597498854091
"CYP4B1",186.896343489956
"ALDH3A1",186.020919960323
"HABP2",185.473201621486
"ITGA1",185.046986379788
"TSPAN6",184.760538688355
"PTPRF",184.750769081431
"ARSL",184.264960704146
"GNG12",184.156454353412
"VSIG2",181.890700714417
"IFITM3",181.865914002582
"DENND2B",181.437029090731
"ATP2C2",181.118922417473
"AKR1C3",180.550564759951
"ETS2-AS1",180.528211494314
"SERPINA1",180.293232264536
"NNMT",180.254951373043
"EXPH5",177.967667876207
"NTPCR",175.812584975657
"RAB17",175.566245170323
"PTGES",175.393030219869
"C6orf132",175.276846160589
"ZNF462",174.60869667474
"HS3ST1",174.412502973326
"KCNS3",173.905543599923
"CRIM1",173.749315507624
"AASS",172.796146896828
"IRAK3",172.717542864055
"NKX2-1-AS1",172.608588631891
"CDC42BPA",172.315011159467
"MAL2-AS1",171.380385451699
"RASEF",171.350845750263
"ITGB6",171.162189349665
"CYP4X1",170.877752907004
"MYO10",170.515258402668
"MECOM",170.27919484354
"CALD1",169.169217710937
"USP9Y",169.024324111679
"C1orf210",168.865565727849
"RCAN1",168.686288429847
"CEBPA",168.283345230453
"TMEM45B",167.766149633238
"WLS",167.044334848268
"ANK3",167.019668198097
"TUSC1",166.982481692426
"CYBRD1",166.605961071669
"RARRES1",165.823321693075
"SCTR",165.630371995888
"IGFBP3",165.327048927822
"LTF",164.563254444899
"GCNT2",164.035357045408
"SFN",163.771505782308
"LRRK2",163.667180949347
"AMOTL2",162.406595156418
"TOX3",162.333231185706
"PHC2",162.14059345651
"SORT1",161.720136241205
"ROS1",161.26513797086
"RIMKLB",160.828580589645
"AFAP1-AS1",160.624606936916
"NQO1",160.601939491557
"NDNF",160.591926360508
"THEM6",160.579722915602
"CYP2F1",160.554846602046
"PRSS23",160.101108691144
"TFCP2L1",160.011065643899
"IGFBPL1",159.172644984951
"CD24",158.560559441938
"TMC4",158.390465028613
"KRTCAP3",157.361604113724
"NCKAP1",157.332460268443
"SCD",156.401535543493
"CXCL3",156.286019706425
"MT1E",156.229999506091
"S100A9",155.851832663867
"CLTRN",155.631288288821
"IRX2",154.149324227036
"NHERF2",153.65763536112
"NECTIN4",153.612913597005
"ACSM3",153.583400610965
"OVOL1",153.323611808481
"TNFSF13B",153.260012623612
"DUOXA2",152.279844164652
"TRIM2",152.06432382066
"AATK",151.912983211565
"CDC42EP4",151.558695071173
"NHSL3",151.254310992592
"VEPH1",151.095966772382
"TEAD1",150.5894383
"COL8A1",150.587761451865
"RND3",149.948065007354
"KITLG",149.61792328032
"SLC16A5",148.87878181283
"NTN4",148.65705533586
"TBC1D2",148.536981147967
"ZBTB16",148.450559744251
"CFH",148.406747745361
"SMPDL3A",148.182400695582
"HLA-U",147.983514279222
"ELAPOR1",147.83459878152
"VMO1",147.818656976722
"RGS3",147.635136394816
"MARVELD3",147.282296106389
"ZNF385B",146.998737686744
"DMBT1",146.645988749204
"GSTA4",146.537218836137
"PLAU",146.122994866619
"KLK10",145.700402332675
"SMANTIS",145.376656110788
"CLDN10",145.301399749321
"CCNJL",144.843279406701
"SELENOP",144.609992854593
"MMP28",144.504724195975
"TNFRSF21",144.06544083824
