"gene","rank_metric"
"S100A8",1970.56423157535
"S100A9",1247.72945689629
"CXCL10",1075.00240697295
"FCN1",921.032024772743
"APOBEC3A",768.432510001925
"OLR1",608.543555609979
"NCF2",502.484684039108
"EREG",478.365878373892
"TNFAIP2",475.593028786112
"FPR1",473.238034212232
"SERPINA1",470.412604397627
"IL1RN",464.568524450686
"CXCL9",419.568526197121
"LILRB2",410.677683116449
"IDO1",385.046842110905
"INHBA",364.204659018073
"CLEC7A",361.365579607801
"CCL2",345.874371153629
"CSF3R",344.275419101751
"PELATON",342.502916283819
"ACOD1",336.550634800953
"CYBB",333.62729933301
"CXCL11",327.991233557693
"LILRA2",322.835522068368
"MNDA",322.528272646959
"FBP1",296.406213328279
"CD300E",296.354962672516
"FCGR1A",295.736150591679
"LYZ",289.672560656929
"MIR3945HG",282.47890360158
"LRRK2",272.685960448215
"RBM47",269.737937292484
"TLR2",267.662150388214
"AQP9",264.052579420565
"MPEG1",253.910321790516
"FCGR2A",250.893802385232
"ANKRD22",249.784721336166
"LILRA1",246.673266956548
"IL1B",245.915172639892
"KCTD12",245.90351408363
"GPR84",243.380741169779
"HCK",238.984096940486
"PILRA",238.409274122375
"IGSF6",237.657303536366
"NFAM1",236.118540077479
"CALHM6-AS1",227.820278862693
"DDX3Y",227.467484252879
"TFEC",227.065119234058
"CCL8",220.233865942179
"HCAR3",218.42693771458
"HCAR2",214.501848746706
"TLR4",206.783351138167
"LILRA6",204.522779058735
"CD36",204.29613544218
"CLEC12A",204.192228729107
"CALHM6",203.763444212461
"MTND5P32",203.446427842825
"SIGLEC1",203.40914951428
"CSF2RB",202.804494159795
"AIF1",200.514877594832
"FPR3",198.574287371942
"CSF1R",198.105484488097
"CD14",198.078581730828
"SLC11A1",196.012365777601
"RAB20",194.928741074157
"SIGLEC14",194.592736066608
"CD86",194.291783623375
"FFAR2",193.299210807923
"RAB32",192.563873978492
"CXCL8",191.878362449924
"LPCAT2",190.143216971083
"MCEMP1",188.8064626534
"FPR2",187.855686931525
"TGM2",185.041265428538
"KYNU",183.299618624422
"LILRB4",182.165650800478
"S100A12",180.869565792812
"MARCO",180.20180489623
"LILRB3",179.094291206779
"MEFV",178.173276040889
"ZNF385A",177.912613248187
"TNFAIP6",177.871635780998
"CD33",175.731877210774
"SLC39A13-AS1",174.203946454619
"ARHGEF10L",173.177845247237
"PCAT7",171.123571832744
"PTAFR",170.641565994388
"ICAM4",169.730109895338
"CCR1",169.510783682747
"SLAMF8",169.230871463127
"IGLV3-25",168.920765983239
"LUCAT1",168.461668532937
"CLEC4E",168.063561883085
"SCARF1",165.274257423382
"LILRA5",163.545218136429
"SIGLEC9",163.512954525158
"TREM1",162.335309358341
"CD300LF",161.554522476244
"P2RY13",161.443208604594
"CSTA",158.889038261879
"ALDH3B1",158.876342390642
"CD163",158.80948852612
"CD300C",158.585546675175
"C15orf48",158.569253970498
"ASGR1",157.171456164126
"ATP6V0A1",153.938555431709
"NECTIN2",153.557162913526
"CST3",151.891309408716
"CLEC10A",151.677149931188
"CXCL1",150.798686538837
"SIRPA",147.771550255805
"IER3-AS1",146.431954175648
"BST1",146.364654122169
"GPBAR1",146.244321831895
"ALDH2",145.077821978415
"TLR8",144.099105359424
"SDS",144.093181326487
"FAM20A",143.97971840442
"VEGFA",143.6942637932
"LINC02605",143.487724841758
"MMP2-AS1",142.501578737935
"MYOF",141.245615778866
"RPS4Y1",140.791153112968
"IL1A",140.199237732945
