"gene","rank_metric"
"TRBC2",984.313708367929
"CD3G",791.735860594706
"CD2",639.32267436769
"CXCR6",573.562567714255
"CD247",541.649472612427
"CD3E",508.93011399649
"CD8A",480.583134750971
"ETS1",446.464774528479
"ICOS",437.36288734149
"SH2D1A",418.350442245843
"CXCL13",415.992469539655
"TRAC",414.279432335074
"CD96",386.317071873859
"TIGIT",372.135415154214
"CD8B",367.542035085844
"TRAT1",361.886977240718
"IKZF3",355.994274217745
"CD6",347.813703215646
"TNFRSF25",335.766915602477
"CTLA4",334.995388292049
"IGLV3-19",334.910445812683
"GZMM",334.698955027967
"GZMB",333.654279641743
"P2RY10",318.665393426864
"SKAP1",309.18768358829
"IGHV3-20",304.817247718636
"TC2N",304.741043367967
"PPP1R16B",303.621121297015
"SPOCK2",303.182198951133
"CCR6",300.020909870752
"SLC38A1",297.693610235531
"IL2RB",295.624502162107
"ITM2A",295.298893661167
"JCHAIN",294.061573073931
"GZMH",293.347037184447
"GPR171",291.145671581245
"CD28",287.341252793265
"IGKV2-30",283.492341045137
"LCK",280.397522881722
"BICDL1",278.486225614988
"BCL11B",273.903250998602
"IGHM",273.669401711912
"CCR4",273.288022254799
"TRBC1",272.463205248257
"IGHV3-15",266.326647829819
"SIRPG",265.307998799794
"GZMK",263.095937132938
"IGLV2-8",261.969781860439
"KLRB1",259.074371696202
"TNFRSF18",258.264430204176
"CST7",256.997777808148
"ZAP70",251.094368167149
"GZMA",250.257205139892
"TBX21",250.025695670864
"IGHV3-43",249.088348433602
"ABLIM1",246.159577067609
"RORA",246.110040586677
"SH2D2A",243.011831083134
"FCMR",239.889580945967
"IFNG",239.523965526718
"IGHJ4",238.957663424162
"MIAT",232.757499920258
"CTSW",230.593362336981
"TOX",229.987843087551
"SCML4",228.572762468912
"SIT1",227.111443726279
"CD3D",225.920059194058
"LBH",225.659664757882
"SYNE2",222.392349384919
"TRBV20-1",220.891990509008
"EOMES",219.728517936078
"ZNF184",211.862597887531
"GRAP2",211.800938643504
"MPZL3",211.472230027932
"PDCD1",207.196963526166
"CPNE7",204.708577609528
"GNLY",204.077808008219
"ESPN",201.788298896054
"MS4A1",199.947166463442
"TRBV5-1",199.152501968574
"BIK",198.983241763806
"FAM83D",197.900829281514
"KLRK1",197.843613154671
"ZNF683",197.300234618688
"THEMIS",196.567646357889
"ITM2C",196.534671730462
"ZEB1",194.715109419487
"TRBV27",194.666946744396
"CAMK4",191.624489027127
"PRKCQ",191.052433891284
"LAX1",190.836627703437
"PYHIN1",190.559223826396
"CLEC2D",188.519554963242
"KRT86",184.277083330788
"LINC01871",182.292271380976
"ZNF48",181.800605343
"ZNF831",180.965843267749
"FASLG",180.119762795451
"ITPRIPL1",179.571535296985
"CD79A",178.083391279942
"RBM38-AS1",177.540490061726
"IL32",176.824143338014
"SYTL2",175.779876154985
"SAMD3",175.2539608889
"PRKCQ-AS1",174.211070049684
"AUTS2",173.802430456741
"LINC02446",173.610497027534
"FCRL3",173.00523878958
"CD40LG",172.896997913068
"ZBTB32",172.5691039528
"BTLA",172.233190725212
"UBC",171.809461417027
"TRBV7-9",169.863619638804
"IL18R1",169.510029340902
"ZNF250",169.048755663763
"RRAS2",167.663786397007
"TRBV4-1",167.361739455032
"ZNF14",165.96079000944
"NLRP6",165.520824688273
"TRBV19",163.575243989481
"RAB30",163.29425697642
"KLRC1",162.726941023448
"DAPK2",162.20602673232
"CD200R1",161.658913311288
"TRAV21",160.89516788824
"SEPTIN1",160.761014235516
"IGKC",160.71434769467
"GFPT2",159.514420620279
"MCAM",157.157455034946
"IGHV3-64",156.635763220292
"XCL2",156.570663579049
"GPR25",154.036386969108
"IGLV2-11",153.715321279388
"PPP2R2B",152.649448365379
"NPM1P20",152.290520566281
"TRAV12-3",151.76254295565
"TRBV6-2",151.590983090992
"KLRC2",151.329485511192
"LEF1",150.379760464627
"CXCR4",147.973266501085
"IL12RB2",147.13673032216
"SARAF",146.752252913911
"MT-CO1",146.704499080112
"LSR",146.044323957435
"GFI1",145.996268072884
"CXCR3",145.979029232128
"ANKRD55",145.86538488431
"SPRY1",145.585423971762
"TRBJ2-1",145.556396370171
"NDFIP2",145.276601002639
"TGFBR3",143.780621069161
"SIDT1",143.713232576923
"LCLAT1",143.362170333561
"S1PR1",142.325393962176
"INPP4B",141.999130850805
"IGKV3-20",141.26383653281
"TRBV28",140.568719333281
"LINC00852",138.843146254692
"CLNK",138.523353511353
"TRBV15",137.827119957894
"ZNF416",136.789486418268
"TRAV8-4",136.780590526038
"WNT10A",136.344018270138
"IL7R",135.924071642422
"FBXO32",135.880466702216
"TRBJ2-3",135.834151027038
"TRBV12-4",134.759663005789
"SLFN12L",134.02720082748
"MATK",133.888117565892
"AKAP5",133.488962475661
"LMCD1",132.961897062783
"TRAF5",132.865708087194
"ZNF567",132.718728434299
"BACH2",132.559383715044
"GPR22",131.819737991943
"LINC01550",131.527055254838
"ZFP36L2",131.297991605847
"SMIM43",131.048746049233
"IGHG2",130.746520906394
"TNFRSF13C",130.713194932404
"PLEKHF1",130.629749736928
"TMIGD2",129.819772964961
"CLIC5",129.25367574515
"FAM222A",128.778529513044
"TRDC",128.614088760004
"LINC00426",128.221514175641
"GOLGA8B",128.181174144492
"IL18RAP",128.088144470839
"GLCCI1",127.564104281844
"SLC27A2",127.387932592627
"LAYN",127.376789388365
"XCL1",127.371677477753
"PTPN22",127.105699436464
"TOX2",126.674963990286
"EPHX2",126.514783560169
"POU2AF1",126.208925204557
"RORA-AS1",125.389448647539
"PRKCH-AS1",125.381034256286
"WNT1",124.299704982152
"EEIG1",124.271637422144
"SEMA4C",124.257552409129
"F2R",124.015466239727
"MZB1",123.926908604122
"TRAV17",123.7571418309
"PASK",123.712632090947
"MARS2",122.940074256271
"CTH",122.513463086538
"YARS2",121.927480579275
"TRBV12-3",121.881117880623
"P2RX5",121.796018923754
"TRBV2",121.22528820579
"ZNF211",121.073308711303
"KIF9-AS1",121.021873488778
"NCAPH",120.924452876291
"AP3M2",120.788247634171
"TMPRSS3",120.705279765461
"DPP4",120.355604618946
"TRBV6-1",119.907677941726
"PLEKHB1",119.839405756055
"POU3F1",119.762805184111
"ITK",119.622786497247
"IGHV3-7",119.082380648016
"SLAMF6",118.411950080567
"TOGARAM2",118.2584734787
"CCR8",117.991905923125
"PRF1",117.988889541863
"KIF21A",117.723769832218
"SRGAP3",117.718670165992
"GCNT4",117.202673840607
"FBXO2",116.758490592211
"RASGRP1",116.400419375584
"HELLS",116.188342333598
"ZNF383",115.565446445823
"TRGV10",115.422509865638
"KRT8P33",115.381414474632
"ZNF571",114.898123388088
"TSPAN5",114.847716295544
"NELL2",114.784567582643
"C2CD4D-AS1",114.043352609039
"ZNF550",114.022906963985
"CENPF",113.701035329091
"KIR3DL2",113.185184268982
"HPGD",113.130337751693
"RORC",112.925434701001
"YWHAQP6",112.63581154103
"TRAV19",112.609531624539
"PTPN4",112.513276271667
"TRAV38-2DV8",112.215246260059
"KIF5C",111.654797690795
"AFAP1L2",111.620121842633
"TRAV8-2",111.55946764902
"PBX4",111.366282670136
"HPS6",111.349537427169
"FNDC4",110.653117747453
"KATNAL1",110.57630279692
"FAM184A",109.689616477479
"TOX-DT",109.680380390205
"GATA3",109.627862685565
"RYR2",109.534364938982
"MEGF6",109.236185088412
"NLRC3",109.029451341225
"IGKV2-28",108.841991489964
"RNF157",107.695500287201
"APBA2",107.611622983629
"ADAM12",107.597399303759
"SGPP2",107.09995724299
"CHN1",106.775888775249
"ZNF80",106.754286917804
"GPR18",106.696162581691
"IGLV8-61",106.627254982426
"CENPK",106.396685746948
"TRBV5-4",105.791217855461
"CD27",105.495822472714
"MXRA7",105.455597691989
"TRAV29DV5",104.891307451577
"ELAPOR1",104.854263783133
"NCALD",104.369413654395
"METTL18",104.176818888854
"FCRLA",104.16968758956
"ZNF540",103.848611187878
"XIST",103.201389971066
"ADGRG1",103.167222704488
