"gene","rank_metric"
"CORO1A-AS1",407.869310280975
"CLSPN",403.922128523985
"GNLY",364.518198703845
"SAMSN1",354.8355939229
"CCL4",321.498458815346
"RHOH",286.281404495816
"IKZF3",276.562562063176
"IL2RG",267.667199240505
"PTPN6",251.934523828687
"CD3E",249.224326677275
"CTLA4",244.785761439644
"CD247",241.748851615957
"DOK2",241.527961805732
"GNA15",232.437166609922
"KLRC1",228.001485589382
"ZWINT",227.555329070839
"HLA-B",219.321349558496
"CYTIP",217.817382240649
"GPR25",215.719118114405
"FAM111B",215.210627752527
"C16orf54",215.188788719821
"SH2D1A",210.204707724788
"GTSE1",205.542547394368
"CCNB2",205.038713053629
"AURKA",203.976127943283
"CORO1A",203.686000721012
"CD3D",203.531811181738
"PCLAF",200.287102643035
"CKAP2L",198.765111170214
"TRBC1",195.366833446257
"GPR183",194.313925636054
"SPOCK2",193.906173144398
"NUF2",193.499361995397
"RAD51AP1",191.167477349758
"RAC2",189.941212982018
"TRDC",189.370386928598
"LAX1",189.339826656956
"CXCR6",187.732330283399
"SKAP1",186.173227635077
"RASAL3",185.958562514458
"SPC25",185.473144837021
"CCL20",184.125119299579
"CD3G",180.500645150175
"CDT1",180.343525250979
"CDK1",180.122797422936
"ARHGAP30",177.430975632151
"KNL1",177.34078842133
"TRBC2",175.141076069667
"SELPLG",175.051155788832
"PFN1",174.780169165313
"CCL4L2",174.3684529454
"ASF1B",174.053875855207
"ARHGAP9",174.011112321762
"CDCA5",173.429476298572
"LCK",173.278499651294
"ZAP70",173.095615293852
"GRAP2",170.56217574096
"JAML",170.317418338051
"TK1",169.894377496952
"SIT1",169.112867312511
"PARVG",168.980706592432
"PTPRC",168.806454050939
"CD53",168.515960500928
"BIRC5",168.508463214161
"APBB1IP",167.376030823741
"TNFRSF4",166.588783053815
"TRAT1",166.39419695675
"TYMSOS",164.864924867955
"UBE2C",164.833428440426
"CDCA8",163.837842116383
"GZMH",163.311257190816
"CFL1",163.115784350419
"XCL2",162.650856360522
"TYROBP",161.589776048157
"IL17A",160.511411915374
"CD2",159.080972851536
"SPN",158.96681891195
"AURKB",158.0675076902
"TIGIT",156.380385803322
"TPX2",155.348887539556
"GZMB",154.866718552797
"PLK1",154.385292046396
"IL2RA",153.599990494642
"MKI67",153.142570530204
"BIN2",152.024244197423
"PRKCQ-AS1",151.126008906435
"GIMAP7",150.628338282169
"ADGRG3",150.359710629585
"CD48",147.943833665156
"TAGAP",146.947229675063
"GRAMD1B",145.876661875899
"IFNG",145.755855979217
"TRBV6-5",144.816548881381
"TNF",144.537850638302
"PKMYT1",143.484288073557
"TRBV20-1",141.784888568117
"TRD-AS1",140.997348385517
"CD69",140.973714525192
"MYO1G",140.797304750768
"GZMA",140.049937438857
"APOBEC3H",138.419376016316
"CRTAM",138.358957729366
"LCP1",137.343750275422
"ENO3",137.013482422531
"FCER1G",136.851487065773
"CD7",136.47547531751
"CCNA2",136.030296809352
