"gene","rank_metric"
"C1S",2159.02395664503
"COL1A2",2021.44599625355
"LUM",1461.15190612041
"BGN",1269.72557246339
"COL3A1",1237.65357056642
"RARRES2",1199.67256207321
"NNMT",1179.83109659807
"COL1A1",1124.73926465452
"COL6A2",1064.30613698627
"SPARCL1",948.554202642506
"MMP2",848.226046480059
"MFAP4",825.398637700085
"THY1",814.524550860213
"CLMAT3",759.249329322211
"MXRA8",737.006495639748
"VCAN",653.411683949594
"CCN2",600.193191205372
"THY1-AS1",592.428837044946
"COL6A1",590.652941910688
"C1R",547.25517031065
"SFRP2",546.662196219917
"MGP",541.732587997884
"GXYLT2",522.424378549485
"CDH11",516.242414803215
"FN1",488.366307001058
"PDLIM3",486.707189067926
"FBN1",486.13442444531
"FBLN2",484.565090473043
"AEBP1",479.338553787401
"ISLR",476.761467492928
"CALD1",475.50474301834
"FSTL1",474.088581179738
"CTHRC1",461.781696305147
"CCN1",451.745180436649
"OLFML3",448.249154886628
"TFPI",441.043163618538
"COL14A1",436.615011831163
"SLIT2",421.771456200617
"CYP1B1",419.096259732577
"FKBP10",413.029185881962
"LINC01013",408.538964318555
"STEAP2",407.5709789043
"ANTXR1",407.372008968129
"PPIC",406.408612083796
"FMOD",398.515945789849
"SULF1",392.470236561848
"MXRA5",370.160682390575
"COL8A1",359.996508820687
"DPYSL3",357.655655181943
"GGT5",356.881134458433
"PODN",348.025763659995
"SOD3",347.790303172447
"TGFB3",338.164215910703
"RARRES1",328.211396844591
"CPE",326.991425352812
"A2M-AS1",322.486454597219
"LTBP2",322.059883061077
"HTRA3",321.67753566951
"SFRP4",320.586591204218
"PDGFRB",317.293642144295
"XIST",314.521048456662
"COL5A2",305.830389377475
"DDR2",302.751568307714
"SCN7A",301.378420602276
"PCOLCE-AS1",300.606612951408
"ABI3BP",297.999352135357
"TMEM176B",297.999344330888
"EFEMP2",296.295939709823
"FBLN1",295.755322449314
"INHBA",293.962419034452
"CD248",293.759017893985
"PRRX1",290.173668772886
"RBFOX2",286.657261271631
"INMT",284.908820728558
"VCAN-AS1",284.895924047862
"BICC1",282.17735153128
"TSIX",281.256841794409
"C7",280.634631131276
"FGF7",275.535387345242
"MFAP2",273.129192443632
"A2M",270.959479920575
"CRISPLD2",266.337537362837
"COL5A1",265.542515522543
"COL4A1",264.112071222421
"CYP1B1-AS1",263.087098259924
"FAP",262.991274691202
"PLPP3",257.292116517955
"TIMP2",256.59948780884
"RBMS3",243.581463154842
"ITGB5",238.32014607633
"SPON1",237.814715342024
"TNFAIP6",236.688196994393
"MAP1B",236.532102451622
"EGFL6",232.188849851824
"NR2F2",231.969281304048
"LTBP1",230.86713670748
"TMEM119",229.693777001431
"IGF1",229.004701652152
"CXCL12",227.273060980286
"CLIC4",226.217071681904
"MOXD1",225.78043868288
"CFH",224.990623974707
"ASPN",223.509896532607
"TIMP3",221.230093304907
"PDGFRA",220.033884222361
"NUPR1",218.776333513539
"ITGBL1",218.739598038915
"FBLN5",216.632833648588
"MMP1",215.67503150697
"COL12A1",214.252961595196
"NR2F2-AS1",214.108618452987
"ENAH",213.750471917851
"FN1-DT",213.624970325329
"TGM2",211.126786578107
"HTRA1",211.022508218576
"ADH1B",206.947994706901
"MEG3",205.607411090961
"TMEM98",205.116141638784
"DAB2",204.008888492164
"FMO2",203.600158287617
"CHI3L1",203.443512151146
"MAPK7",200.870013309487
"C3",200.494888393835
"COL4A2",199.561182918339
"LINC00632",198.917980285327
"MIR100HG",198.379496288747
"ADAMTS1",195.55543723333
"MSRB3",194.331293119226
"THBS2",192.937965864749
"LOX",192.76321889527
"CPXM1",192.353811264498
"COL6A3",191.560265289975
"CLMP",191.528082826983
"DIO2",190.86645221727
"PDGFRL",190.177773789159
"FBLIM1",190.048821578585
"MRC2",188.937658564698
"COL10A1",188.932951567984
"LAMA2",188.660888712967
"EHD2",187.923212235799
"RND3",186.582548233102
"RUNX1T1",185.493912734125
"TPBG",184.031462402086
"ELN",183.652122886336
"ANGPTL2",183.636383150749
"PLEKHH2",183.474123248868
"PLA2G2A",179.547152911987
"SPARC",179.151370968797
"MMP11",178.721131145425
"PPIC-AS1",177.350126396924
"C12orf60",177.196006561074
"TCF21",173.95032074444
"SEMA5A",173.928046775983
"FIBIN",173.802381051816
"SERPING1",173.405115573344
"CERCAM",171.965148068738
"TJP1",171.335345272462
"IGFBP5",171.137492474561
"F3",171.123022284398
"FXYD6-AS1",170.735637410657
"OLFML1",170.453563486462
"PCOLCE",169.958890852254
