"gene","rank_metric"
"ACTC1",172.411769597348
"IDO1",122.79722591729
"CA2",119.985377698626
"GJD2-DT",115.4620816059
"KCNA5",110.350472092624
"ATP1A2",108.524539952985
"SUSD5",106.272201388527
"SLC6A1",105.441179747015
"CST1",105.25127183095
"GLYCTK",104.159901506958
"USP9Y",102.84494826258
"PPM1L",99.7588620829367
"ITGA7",98.6816439287851
"BCO1",97.713208032732
"MYOCD",97.2069332877095
"REEP2",96.6359089695114
"PAN3-AS1",95.4705944380103
"DDX3Y",94.2815437584414
"STK11IP",92.4461149791851
"ZNF132",92.3429042627405
"ZNF571",91.8115909396154
"JPH2",91.8072491793345
"ZKSCAN3",90.9546623369363
"FBLN7",90.2056235514949
"WDCP",88.3723261502265
"MPIG6B",87.6257937968053
"MUC3A",87.4937955473091
"PENK",87.366260295762
"DUS2",85.58372761455
"ADGRG6",85.4301419017037
"ECEL1",85.3329448762424
"FOXS1",84.7311904252329
"GAS2L3",84.3991340239358
"AIF1L",84.2610390284973
"SAA1",83.8964180521898
"ADRB2",81.9439632695355
"PATZ1",81.7257673515255
"ITIH1",81.6366140640795
"KRT18",81.4930573915891
"NPTXR",81.439579247679
"LAMC3",80.9490307810428
"CA9",80.4392175825137
"AVPR1A",80.3363825274068
"H2BC3",79.8900310666499
"NANOGP5",79.8369793965957
"LINC01436",79.6900105301382
"ZNF112",79.4880783541836
"CCIN",79.1960848776334
"RGR",76.9623363966615
"KDM5D",76.7998758351179
"EMP2P1",76.6804339412584
"NTF3",76.2994330199422
"ITGA3",76.0485242296486
"MAPK4",75.1168491537959
"LINC02367",75.0824336457172
"SMOC1",75.0438902040341
"F13A1",74.6894352081519
"CENPI",74.5313744287059
"SCIN",74.3544647577809
"NTAN1P2",73.6998256159375
"CCDC9B",73.5500432220559
"DNMT3B",73.1576401182435
"SLCO1C1",72.8572910363014
"ZNF180",72.5726613493552
"PRSS54",71.9786082761418
"TMEM74B",71.7369780581229
"PENK-AS1",71.5424998614944
"DUSP26",70.8604810303292
"ACTL10",70.8122001224241
"SYDE2",70.6852550850071
"MACIR",70.6108035949833
"ZKSCAN4",70.0210564312902
"CCNE1",69.821827240849
"KRT8P39",69.4829710860881
"MLPH",69.0997207094036
"ARTN",68.9470619366445
"UCN",68.6138013947265
"DYNC1I1",67.7754708934992
"SUPT3H",67.7033862756575
"RGS5",67.5416800910265
"LINC02323",66.984506193149
"SYNM-AS2",66.9692255309427
"OR51E2",66.9509817814441
"FAT3",66.8556924109327
"MMP1",66.474504752744
"LINC02204",66.3037470469406
"FANCE",66.0458875247828
"LINC03082",66.0405967382625
"INTS5",65.4909515545176
"SPIRE2",65.0992053931219
"MLYCD",64.2495237737139
"ACOT11",64.0565628153857
"GCNT2",64.0172392516145
"ZNF311",63.319031272753
"MYRF",62.9987909321043
"NOX5",62.5781689620219
"ZNF470",62.4274689706242
"LEMD1-AS1",62.1199337640216
"OXTR",61.9502891860421
"IP6K3",61.3441835256122
"UTY",61.1682373898495
"HYAL1",61.1620962060188
"GSC",61.0866609521539
"PCDHGA1",60.8987768040561
"COL4A6",60.8617643489104
"CD1D",60.5945776107159
"LCMT1-AS2",60.5151574090281
"LINC01560",60.4091931206635
"MMP10",60.2662194403751
"EGLN3P1",60.1106169433792
"ARHGAP44-AS1",59.9125166719189
"FAM133EP",59.3361131395067
"SEC62-AS1",59.3124007511512
"RNASEH2B-AS1",59.2798035902833
"LAMB4",59.2105076797262
"ZNF687-AS1",58.3044423246766
"LINC01730",57.8958520765477
"MTCO2P11",57.5649430028264
"TOB2P1",57.4873686494213
"LINC01816",57.4484871346169
"LMOD3",57.3747602883729
"GPD1L",57.2213561424854
"RN7SL146P",57.1123444260931
"RPS5P2",56.9202599420009
"BEX1",56.8682248346969
"ADCY4",56.2498041338043
"FOXL1",56.2391162653173
"ERBB3",56.1782730380986
"ZNF816",56.142771264941
"EPOR",55.2791830772391
"MYOZ3-AS1",55.2785615838933
"OBI1",55.2654886928691
"BVES-AS1",55.0154680819399
"KCNA4",54.9476497128609
"LINC02558",54.8791080799873
"PRRG2",54.8373565170638
"APOBEC2",54.6676259908729
"ENTPD3",54.6122769173122
"HIGD1B",54.5964858344408
"LINC00989",54.514098433265
"HRH2",54.4581629537902
"HHEX",54.3575280839198
"SLC38A11",54.2471559617948
"PPP1R3G",54.1804828551709
"SDR42E1",54.1528803461559
"H3C1",53.6988200116038
"C1QTNF4",53.5568605067168
"RTN1",53.368100710213
"SERPINB7",53.1986178666574
"DDO",52.9075686478689
"EFHD1",52.5259895298063
"ADRA2C",52.4892345670445
"SULT4A1",52.3647556218986
"MLC1",52.2903948793048
"NDUFA4L2",52.2290706210071
"EPS8L1",51.853183241796
"CYP1A1",51.7985846321946
"ANXA10",51.7691468110927
"CENPQ",51.617378791189
"PAX8-AS1",51.586758459764
"TTC12",51.5594011009058
"MVB12B",51.4834655144542
"TMEM14EP",51.4305933507466
"ARHGAP31-AS1",51.3946953131949
"PLEKHG5",51.278287487465
"BOLL",51.1506845792859
"GRAMD1B",51.1234499906076
"PPP1R1C",51.1059196690165
"NLGN4Y",50.9023939945139
"ACADL",50.8183436092795
"RGS7BP",50.7016977279912
"H2BC21",50.6603922619212
"TTTY14",50.531927726124
"LINC02408",50.4838516037962
"SLC7A3",50.1106805841641
"PARLP1",49.7079394544523
"TTTY10",49.5510672649588
"FRAS1",49.0750267851283
"CSRNP3",48.9710579189191
"ZCCHC14-DT",48.9195827600162
"EEF1A1P4",48.8589967704058
"LGI4",48.7605692857396
"CHST2",48.5325044018101
"GPR75",48.3495594048871
"JAKMIP2",48.3401731658306
"TOR4A",48.3182102830355
"RPS2P44",48.2892137127717
"LINC02348",48.2171029302707
"SALRNA2",48.2152353134584
"HOXA1",48.2115081990685
"DDX50P1",48.1796435417985
"CASQ2",48.0060722090627
"ZNF502",47.9958602226515
"HNRNPA3P7",47.8529571403493
"H1-12P",47.7816554448783
"PPM1H",47.5215967938892
"DUSP28",47.4966805884112
"LINC02709",47.4499884655785
"EEF1DP2",47.3174539874974
"DLL4",47.2859965916132
"OR10D1P",47.1864466611393
"DIAPH2-AS1",47.1725115813167
"KBTBD13",46.9583517746556
"LINC02718",46.6602732619183
"GABRD",46.19031280725
"H3C4",46.0827169218682
"TMEM108-AS1",45.9934674036966
"CECR3",45.807034967224
"CTSV",45.7556508625353
"OIT3",45.7438937713301
"PTGDS",45.7426378293512
"CCDC168",45.6872993423522
"TRAPPC12-AS1",45.6277902399183
"GABRB3",45.5949532358266
"SNX31",45.5917197768476
"LINC01270",45.5149620811398
"KNOP1P2",45.4982967485311
"FBP1",45.4052533706449
"ETV4",45.2727116875579
"CNR1",45.089523547136
"HOXA10",45.075824437173
"LRATD1",44.9285433100319
"LRRC7",44.8743768085923
"NAP1L2",44.8446194082175
"RPL5P33",44.67004880739
"AGT",44.6400084122065
"BRSK2",44.5572639399748
"CAMK1G",44.5359235710302
"RENBP",44.490946779372
"PCDHA10",44.3833538901541
"WFDC1",44.3618071157343
"VTRNA1-2",44.2781062546636
"SKIDA1",44.1725268099563
"ADAMTS7P3",44.1095675442327
"BBS10",44.1027786288937
"LAPTM4A-DT",44.0566709343071
"RNU6-450P",43.9355168513654
"STAC2",43.8679747220394
"HLA-B",43.8478950156024
"C3orf49",43.8314301485076
"ABCG5",43.8128941710878
"ZNF775",43.6723001492807
"PAQR6",43.6528849880126
"C17orf100",43.5924164848198
"COPG2IT1",43.4508530782497
"DPY19L2",43.3926556574078
"NHERF4",43.3205925664786
"GREM2",43.2909228541755
"TPH1",43.2300768623578
"TMPRSS4",43.1627816171524
"POU5F2",43.1194868824053
"AGR2",43.0671454875
"SLC4A8",43.0550189846913
"INHBB",42.9667392019469
"ASS1P2",42.9247671890057
"ZNF491",42.8915563876847
"RIBC1",42.7992674628148
"CCDC150",42.7492523120158
"ZPLD1",42.6187927942739
"ADGRL3",42.582007617359
"LINC00460",42.5171729643095
"MAP3K7CL",42.4910039073434
"LINC02507",42.438045014861
"RPS4Y1",42.4122108707391
"CHCT1",42.3851061499622
"LONRF2",42.2942643338547
"HRC",42.2778392288156
"ZNF613",42.2702255845318
"CUL9",42.0182898313718
"SCN9A",41.9915546180692
"SWSAP1",41.9127534986015
"PCDHGB9P",41.5856347707684
"GBP6",41.5656670270276
"LINC00598",41.4500370246121
"LINC02289",41.4171313082572
"TBX6",41.3505381851985
"KALRN",41.3174905179392
"ARRDC5",41.3031745367898
"CEACAM21",41.2778739496802
"DKKL1",41.175778540099
"ZNF765",40.9147515915861
"CCNJ",40.911370267916
"RABGGTBP1",40.8481057592525
"HARBI1",40.8348570842791
"VIRMA-DT",40.5992444507224
"GCK",40.5973303715505
"SMC2-DT",40.5171152327576
"ABCB1",40.3754662109308
"ZNF525",40.2345404625101
"RN7SKP198",40.1973900377668
"LDB3",40.0221303763237
"RN7SL130P",39.9041764533759
"ZNF837",39.6940737377174
"RNFT2",39.6575189861631
"SOST",39.6120538107737
"LINC02373",39.5661121068318
"LINC02362",39.5478272434085
"H1-1",39.4660543418989
"IGHEP2",39.3566386894612
"ALDOB",39.2573438981734
"FHL5",39.2516278079568
"BRD7P3",39.2075944379201
"LINC02604",39.1903461974419
"FGF13-AS1",39.0718115252272
"CELA2A",39.0512548323547
"MMRN2",39.0078998589419
"LINS1",39.0078183139295
"C2CD4D-AS1",38.9938308892536
"MORF4L1P3",38.9928729790136
"GOLGA8VP",38.9834061617443
"RERGL",38.9017745912567
"KRTAP1-5",38.8996004166471
"GRIN3A",38.8375992761739
"LINC01960",38.7923711003049
"TRAPPC10",38.6192497330366
"ZNF835",38.3906083349282
"ANO7",38.2359175052056
"P2RX1",37.9844381934419
"SORBS2-AS1",37.9449090919301
"PTGDR2",37.9131323295409
"LGALS14",37.8956505732508
