"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE",2.31861291361246e-07,0.00176400070467636,0.690132458796796,-0.677323731679591,-1.57809359445722,753,"IGKV1-39,IGHG3,IGHM,CD3G,CD247,ITK,CAMK4,FCGR3B,SH2D1A,IGKV3-15,CD8B,C1S,CD28,CD8A,CXCL13,TRAT1,HLA-DQA2,IGHA1,FCMR,IGKV2-30,KLRD1,IGKV3-20,IGKC,C1R,SLAMF6,IGLC2,TRBV7-9,IGHG1,IGHV3-20,TRBC2,IFNG,TRBV29-1,TRBV7-3,RAPGEF3,SH2D1B,THEMIS,LAX1,CD3E,CD6,IGHV3-64D,CR1,GATA3,TRAV38-2DV8,XCL1,C7,IGHV3-30,TRAC,IL33,SKAP1,TRBC1,CD79A,LY9,ZAP70,CD40LG,JCHAIN,TRBV5-1,RORA,IGHV3-43,IGLV2-8,IGLV3-10,ZNF683,PRKCQ,TRAV26-1,GZMM,TRBV6-5,TRBV3-1,TEC,KLRK1,TNFRSF13B,CCR6,TRBJ2-7,RAG1,TBX21,CD7,JAG1,IGHV3-11,IGHV3-33,TRGV5,CARD9,IL1R1,IGLV2-14,TNFRSF21,TRBV14,TRBV2,KLRC2,HLA-DQB2,IGLC3,TRBV27,TRAV17,TRBJ2-1,ADGRE1,TRAV8-4,TRBJ2-2,TRGV8,IL2RB,JAM3,IGHG2,IGHV3-23,HLA-G,IGHD,C9,TRBV11-2,TRGC2,TRBV4-1,TRBV28,TNFRSF13C,CTSS,EOMES,SLC11A1,TRAV8-6,TRAV29DV5,CRACR2A,IGHV3-15,TREM2,KLRC1,TRBV25-1,TRBV7-4,TRGC1,TRAV6,TRBJ1-1,CD3D,TRAV25,TRBV23-1,TRAF3IP2,IGKJ1,TFRC,TRAV41,TRAJ3,IGKV1-5,CD19,PRKCZ"
"GOBP_DNA_REPAIR",1.57163293421472e-06,0.0059784916817528,0.643551836150722,0.691398824689883,1.57514928295413,614,"GINS2,BRCA1,PAXIP1,CDC45,ACTB,RMI2,TOP3B,NHEJ1,FANCG,UBE2T,GEN1,MCM2,CLSPN,FANCB,DMC1,CDCA5,BLM,WRAP53,DPF1,TOPBP1,BCL7A,MCM3,PRMT6,POLE2,HROB,POLI,DCLRE1A,PCLAF,DTL,GTF2H2,MC1R,SIRT6,PMS2,ANKLE1,RAD51,RECQL4,MAGEF1,MCM5,CHAF1B,CBX8,OTUB2,CHAF1A,SHLD3,NPAS2,HPF1,MCM7,PRKCG,BRCC3,CINP,SMARCD1,CENPS,MSH2,FANCC,FBXO6,RAD54B,DTX3L,AP5S1,MTA1,ESCO2,MMS22L,MPND,CENPX,PPP4C,SMUG1,GINS4,ADPRS,CTBP1-DT,USP1,ERCC2,PARP1,MCM8,SUPT16H,PALB2,POLA1,ASCC3,EGFR,POLD3,PRPF19,REV1,PARP10,FAAP24,HELB,MAJIN,RAD51AP1,RAD9A,SETMAR,CIB1,NTHL1,CHCHD4,PAGR1,MARCHF6-DT,MAD2L2,SAMHD1,ALKBH2,MUS81,POLD4,BRME1,UHRF1,ALKBH3,RBX1,RHNO1,MMS19,TRIP13,INO80,RMI1,UBE2A,ERCC8,NYNRIN,INIP,PML,ARID1A,EYA3,KAT2B,TAF10,GTF2H2C,MCM4,SF3B5,PPP5C,RPA4,ERCC4,SMARCA4,FANCI,NSMCE4A,POLD2,SMARCE1,VPS72,RUVBL2,ACTL6A,PRMT1,HSF1,RAD9B,PCNA,PARK7,C1QBP,UBE2N,BCL7C,SMARCD2,TOP3A,TP53,POLE,RAD51C,TAF12,BRCA2,CDK2,RAD23A,APEX1,MPG,RAD54L,FANCM,FANCE,RFC2,XRCC1,SLX4,SMC5,DHX9,FEN1,ZGRF1,OGG1,INO80E,INTS3,NME3,GTF2H5,SHLD2,ATRIP,SHPRH,DMAP1,BCCIP,FAAP100,TAOK3,ZMYND8,C14orf39,RFC1,POLR2I,MSH3,CDK1,PRIMPOL,RRM1,USP45,LIG1,HDGFL2,BABAM1,RADX,ATXN7L3,RFC4"
"GOBP_CHROMOSOME_ORGANIZATION",3.0477199379371e-06,0.00772901776260848,0.627256739718528,0.669465441602931,1.53154191244522,639,"GINS2,CDC45,ACTB,RMI2,TOP3B,SKA1,UBE2C,CDT1,SYCE2,GEN1,MCM2,CDC20,AURKC,KIF4A,DMC1,CHTF18,CDCA5,BLM,WRAP53,DPF1,TOPBP1,BCL7A,MCM3,STAG1,KIF11,DFFB,CENPA,MAD2L1,TOP2A,H4C6,GINS3,H4C1,ZWINT,CDC6,SGO1,AURKB,BANF1,GAR1,LCMT1,SIRT6,MAP10,SKA3,RAD51,RECQL4,TRAPPC12,MCPH1,SMC2,TUBG1,DLGAP5,KNSTRN,TPX2,TTK,MCM5,SHLD3,HMBOX1,MCM7,CENPH,CIP2A,H4C4,BUB1,SMARCD1,MSH2,NUP107,RAD54B,HHEX,NEK2,CCT3,ESCO2,DSCC1,HMGA1,CENPX,HORMAD1,KIF15,NUDC,KIF18A,GINS4,MAP2K7,CHD8,P3H4,SPC25,HSP90AA1,ERCC2,PARP1,MCM8,SPC24,PPP1CA,KIFC1,SMC1B,ASCC3,OIP5,HELB,MAJIN,SETMAR,ERN2,NCAPH2,TASOR,GPER1,MAD2L2,CCT2,SUB1,HSPA1A,WRAP73,EHMT2,TNKS2,ANAPC15,CENPK,KNL1,NCAPG2,NPPC,UHRF1,MIS18A,MCMBP,CENPT,AIFM1,AAAS,TRIP13,KIF23,TWNK,INO80,KIF2C,SENP6,PHB2,CHMP2A,MAPT,PML,ARID1A,KAT2B,H1-5,MCM4,ANAPC11,NHP2,CCNB1,CCT7,CHMP6,RIOK2,LATS1,ERCC4,FLNA,SMARCA4,NSMCE4A,H4C14,ANAPC4,SMARCE1,RUVBL2,ACTL6A,HNRNPD,RRS1,RAN,HSP90AB1,PCNA,ITGB3BP,CCT6A,PCID2,BUB3,CENPE,BCL7C,SMARCD2,TOP3A,TP53,ABRAXAS2,RAD51C,BRCA2,CDK2,APEX1,ZWILCH,SSBP1,DTD1,CENPN,TEP1,RAD54L,MZT1,FANCM,HSPA1B,RFC2,XRCC1,PRC1,SLX4,SMC5,DHX9,FEN1,ZGRF1,INO80E,GINS1,ITPA,NUP62,SHLD2,CHMP5,BCCIP,C14orf39,HJURP,RFC1,PARN,CCNE1,KNTC1,MSH3,CDK1,H4C3,CDCA8,BAZ1B"
"GOBP_CELL_CYCLE_PROCESS",0.00010237839721207,0.112230906423957,0.538434096309916,0.558965337580342,1.34229455445785,1303,"CFL1,CCND1,BRCA1,MYBBP1A,PAXIP1,CDC45,ACTB,CENPM,RMI2,TOP3B,CEP295NL,PKMYT1,UBD,CYP27B1,E2F1,SKA1,UBE2C,GJC2,CDT1,SYCE2,GEN1,MCM2,CDC20,SSX2IP,AURKC,KIF4A,CLSPN,CENPQ,DMC1,CDCA5,CCDC102B,BLM,RTKN,DPF1,MELK,TOPBP1,BCL7A,PDXP,MCM3,TIPIN,PSME2,SFRP1,STAG1,INTS7,MTCL2,KIF11,EXOC2,CENPA,MAD2L1,RAB11FIP3,TOP2A,GINS3,ZWINT,CDC6,SGO1,DACT1,AURKB,PCLAF,DTL,BANF1,LCMT1,PDGFRB,CEP44,GPSM1,ANKLE1,MAP10,SKA3,RAD51,TRAPPC12,WNT5A,CDKN2C,MCPH1,STIL,SMC2,BORA,MUC1,TUBG1,CDK2AP2,DLGAP5,KNSTRN,CENPJ,TPX2,TTK,PRKCA,CEP72,GTSE1,ATF5,WNT10B,TK1,CEP250,CAV2,CDC25A,CDC25C,CENPH,ARL3,ANLN,CACNB4,MKI67,BUB1,CECR2,BRCC3,SMARCD1,CENPS,MSH2,TGFA,FBXO6,RAD54B,DTX3L,NEK2,ESCO2,DSCC1,CENPX,TUBE1,HORMAD1,EDN1,NEK10,KIF15,NUDC,RAB35,TPD52L1,KIF18A,DIAPH3,RANBP1,SEPTIN3,KIF20A,MAP1S,TCIM,SAPCD2,ANK3,WDR76,P3H4,SPC25,ERCC2,UBE2E2,SPC24,KIFC1,SMC1B,POLA1,EGFR,TESMIN,MIIP,PRPF19,BTN2A2,TUBB,FSD1,BID,CCND3,PHGDH,CCL2,OIP5,MAJIN,CDCA2,PHF8,RAD51AP1,RAD9A,SETMAR,UBE2L3,MAP4,PAGR1,NCAPH2,TMEM250,PSME3,GPER1,MAD2L2,TUBA1A,CDK10,BRSK2,HSPA1A,WRAP73,MUS81,EHMT2,GNAI1,CEP295,BRME1,ANAPC15,CENPK,KNL1,KIAA1614,NCAPG2,NPPC,SEPTIN4,UBB,MITD1,EML1,UHRF1,MIS18A,AMBRA1,PSMD13,MCMBP,EXOC6,BBS4,NUP37,CENPT,RHNO1,MMS19,AAAS,TRIP13,KIF23,UBE2I,LLGL2,CAPN3,SEPTIN8,INO80,KIF2C,RMI1,UBE2A,CENPU,EDNRA,SENP6,PHB2,CHMP2A,INIP,CKS2,LIF,PML,ARID1A,KAT2B,TAF10,MCM4,ANAPC11,CDKN2A,ROPN1B,CCNB1,TUBGCP3,PSME1,CHMP6,RIOK2,RPA4,LATS1,MIR16-1,LSM10,CIAO2B,ERCC4,VRK1,FLNA,TOM1L1,ZSCAN21,AURKAIP1,SMARCA4,RAB11FIP4,ANAPC4,CIT,SMARCE1,ACTL6A,METTL13,NUBP1,RRS1,APBB1,NSFL1C,RAN,RAD9B,CCNA2,LRP5,PCNA,RHOC,ITGB3BP,ATXN10,PCID2,CCND2,WIZ,BUB3,CENPE,BCL7C,SMARCD2,TOP3A,INHBA,KANK2,TP53,POLE,ABRAXAS2,RAD51C,FBXW5,BRCA2,CDK2,PPP1R35,NCOR1,PKP4,TELO2,BCL6,EDN3,RGS14,ENSA,MN1,ZWILCH,DBF4B,SEPTIN6,CENPN,RAD54L,PRKCB,NUDT16,MZT1,ORC4,LSM11,RCC1,FANCM,BMP4,HSPA1B,ALKBH4"
"GOBP_CHROMOSOME_SEGREGATION",0.000107189412118653,0.112230906423957,0.538434096309916,0.68219435838211,1.51594582160353,427,"BRCA1,ACTB,CENPM,RMI2,TOP3B,SKA1,UBE2C,CDT1,SYCE2,GEN1,CDC20,AURKC,KIF4A,CENPQ,DMC1,CDCA5,DPF1,BCL7A,STAG1,MTCL2,KIF11,MAD2L1,TOP2A,ZWINT,CDC6,SGO1,AURKB,LCMT1,MAP10,SKA3,TRAPPC12,STIL,SMC2,TUBG1,DLGAP5,KNSTRN,CENPJ,TPX2,TTK,CENPH,MKI67,BUB1,SMARCD1,CENPS,NEK2,ESCO2,CENPX,HORMAD1,KIF15,NUDC,KIF18A,DIAPH3,MAP1S,P3H4,SPC25,ERCC2,SPC24,KIFC1,TUBB,OIP5,MAJIN,CDCA2,NCAPH2,MAD2L2,HSPA1A,WRAP73,EHMT2,ANAPC15,CENPK,KNL1,NCAPG2,UHRF1,MIS18A,NUP37,CENPT,MMS19,AAAS,TRIP13,KIF23,UBE2I,INO80,KIF2C,CENPU,SENP6,CHMP2A,ARID1A,KAT2B,ANAPC11,CCNB1,TUBGCP3,CHMP6,RIOK2,LATS1,CIAO2B,FLNA,SMARCA4,ANAPC4,SMARCE1,ACTL6A,RRS1,RAN,ITGB3BP,PCID2,BUB3,CENPE,BCL7C,SMARCD2,TOP3A,ABRAXAS2,NCOR1,RGS14,ZWILCH"
"GOBP_DNA_METABOLIC_PROCESS",0.000125813005369571,0.112230906423957,0.518848077743792,0.589135841800634,1.39166945391166,1007,"GINS2,PARM1,BRCA1,PAXIP1,CDC45,ACTB,RMI2,TOP3B,NHEJ1,FANCG,UBE2T,CDT1,APOBEC3G,PRIM1,GEN1,MCM2,CLSPN,FANCB,DMC1,CHTF18,ANXA3,CDCA5,BLM,WRAP53,DPF1,TOPBP1,APOBEC3B,BCL7A,MCM3,TIPIN,PRMT6,POLE2,HROB,DFFB,GIN1,TOP2A,POLI,GINS3,DCLRE1A,CDC6,AURKB,PCLAF,DNASE1L3,DTL,GTF2H2,BANF1,GAR1,PDGFRB,MC1R,SIRT6,PMS2,ANKLE1,RAD51,RECQL4,MAGEF1,PTMS,TET1,MCM5,CHAF1B,CBX8,OTUB2,CHAF1A,TK1,SHLD3,NPAS2,CD40,HPF1,HMBOX1,CDC25A,MCM7,GREM1,LRWD1,FAM111B,S100A11,PRKCG,CECR2,BRCC3,CINP,SMARCD1,CENPS,MSH2,FANCC,FBXO6,RAD54B,DTX3L,AP5S1,NEK2,CCT3,MTA1,ESCO2,MMS22L,DSCC1,STAT6,MPND,HMGA1,CENPX,HORMAD1,PPP4C,SMUG1,GINS4,MAP2K7,ADPRS,CTBP1-DT,TYMS,TEFM,HSP90AA1,USP1,ERCC2,PARP1,MCM8,DNAJA3,SUPT16H,PPP1CA,PALB2,PLD4,POLA1,ASCC3,EGFR,POLD3,NUDT15,NFIC,PRPF19,CBS,REV1,PARP10,FAAP24,HELB,BAZ1A,MAJIN,RAD51AP1,RAD9A,SETMAR,CIB1,NTHL1,CHCHD4,PAGR1,MARCHF6-DT,EXOSC5,MAD2L2,SAMHD1,ALKBH2,CCT2,SUB1,MUS81,EHMT2,ISG20,POLD4,TNKS2,BRME1,DFFA,DCTPP1,NPPC,UHRF1,ALKBH3,EXOG,MCMBP,RBX1,RHNO1,MMS19,AIFM1,TRIP13,TWNK,INO80,RMI1,UBE2A,ERCC8,NYNRIN,INIP,ENDOG,PML,ARID1A,EYA3,KAT2B,TAF10,H1-5,GTF2H2C,MCM4,SF3B5,WDR18,NHP2,CCT7,PPP5C,RPA4,ERCC4,DYNLL1,TOM1L1,SMARCA4,ST20,FANCI,NSMCE4A,DNASE1,POLD2,SMARCE1,VPS72,EXOSC3,RUVBL2,ACTL6A,PRMT1,HNRNPD,HSF1,RAN,NME1,MCM10,RAD9B,PHB1,CCNA2,HSP90AB1,PCNA,CCT6A,PARK7,C1QBP,WIZ,UBE2N,BCL7C,MAS1,SMARCD2,TOP3A,JADE3,TP53,POLE,HSPD1,RAD51C,CIZ1,TAF12,BRCA2,CDK2,RAD23A,APEX1,BCL6,MPG,SSBP1,DBF4B,APOBEC3C,DTD1,TEP1,RAD54L,ORC4,FANCM,FANCE,RFC2,XRCC1,FGF2,SLX4,POLE4,SMC5,DHX9,MYO18A,FEN1,ZGRF1,OGG1,INO80E,GINS1,INTS3,HNRNPAB,NVL,APOBEC3A,NME3,GTF2H5,SHLD2,ATRIP,SHPRH,DMAP1,BCCIP,FAAP100,TAOK3,ZMYND8,C14orf39,GTPBP4,RFC1,PARN,POLR2I,CCNE1,MAP2K4,MSH3,CDK1,PRIMPOL,RRM1,USP45,LIG1,CARM1,HDGFL2,BABAM1,RADX,DCAF1,ATXN7L3,RFC4,EXOSC4,POT1,ANKRD17,ENY2,MAPK3,TOP6BL,PAXX,TRIM28,MGME1,MAPKAPK5,TAF5,TRIP12,BARD1,CDC34,RPA2,H1-3,DNAJC2,MACROH2A1,LONP1,IL6,DDX1,ERCC5,SH2B1,CENPF,NOC3L"
"GOBP_PIGMENT_METABOLIC_PROCESS",0.000110980790121492,0.112230906423957,0.538434096309916,0.872696960772398,1.60725222473208,81,"TYRP1,DCT,PMEL,GPR143,TYR,CDH3,SLC24A5,TMEM14A,MC1R,HPX,WNT5A,OCA2,SLC45A2"
"GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS",6.96011741607017e-05,0.112230906423957,0.538434096309916,-0.539507729645695,-1.31345427705909,1614,"THBS1,IGHG3,IGHM,LCK,CD3G,C5AR2,COL3A1,CD247,CXCL12,TIGIT,VNN1,ITK,CAMK4,FCGR3B,SH2D1A,CD96,IKZF3,ICOS,CD8B,PLA2G2A,FCAR,C1S,CD28,CD8A,CXCL13,TRAT1,HLA-DQA2,IGHA1,FCMR,KLRD1,TNFRSF18,THY1,PLCG1,KLRB1,LEP,LYVE1,IGKC,C1R,SLAMF6,IGHG1,TRBC2,IFNG,SH2D1B,THEMIS,LAX1,CD3E,SLIT2,CD6,CR1,GATA3,SERPINE1,PYHIN1,MZB1,GPNMB,L3MBTL1,H4C16,PLA2G2D,RARRES2,BLK,XCL1,LRRC32,GATA2,VSTM1,C7,ADTRP,CCL24,TRAC,ZBTB16,IL33,C5AR1,FCRL3,SKAP1,NLRP6,TRBC1,CD79A,ZAP70,FFAR3,GDF15,CD40LG,RORA,IGF1,GFI1,APOE,ZBTB34,ZNF683,PRKCQ,CCL20,DTX1,MFHAS1,TEC,PGLYRP2,KLRK1,TNFRSF13B,SOX12,CCR6,CCL7,RAG1,TBX21,LOX,JAG1,CCL21,LRRC17,MTUS1,GPR68,CARD9,HOXA9,CFD,IL1R1,PDE4D,TNFRSF21,BTN2A3P,HIF1A,IL18RAP,CD9,H4C11,KLRC2,SFN,HLA-DQB2,NLRX1,PLCB1,IGLC3,ADAM10,ZDHHC9,TNFAIP6,RBP4,ZFP36L2,LGMN,JAM3,IGHG2,HLA-G,IGHD,C9,ETS1,FFAR2,ZBTB6,TRGC2,PLA2G10,TNFRSF13C,LIPA,UBASH3A,CTSS,CLEC12B,HIC2,IL1A,ABL2,PELI1,TTBK1,MPP1,TCF7,DCSTAMP,SLC11A1,FSTL3,EVPL,GRB2,COLEC12,ITPKB,CCL5,BTRC,IL1RL2,LDB1,MOSPD2,TREM2,KLRC1,IRAK3,EMILIN1,MED23,GPR171,TACR1,CD22,TRGC1,RIPOR2,CD3D,A2M,CLEC4E,GPRC5B,HTR2A,PDGFD,TMIGD2,TFRC,ZBTB25,ZBTB32,SLC15A2,ORM2,SLC7A11,CD19,PRKCZ,CRTAM,SIRPG,PLA2G2F,CXCL8,GP1BA,USP27X,C4BPA,CBLB,DDX3X,FOXO3"
"GOBP_REGULATORY_NCRNA_MEDIATED_GENE_SILENCING",0.000133495527842066,0.112230906423957,0.518848077743792,-0.605456858313935,-1.40477784724579,699,"XIST,TRUB1,MIR103A2,CNOT6L,MIR548D2,PLD6,MIR558,MIR548C,MIR766,MIR181A2,MALAT1,TNRC6C,MIR326,MEG3,ZC3H10,MIR554,MIR378A,MIR103B2,MIR34AHG,MIR23B,MIR642A,MECP2,MIR3142HG,AGO4,NEAT1,MIR9-2HG,SNIP1,MIR642B,MIR760,TDRKH"
"GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS",0.00014751696427965,0.112230906423957,0.518848077743792,0.658882428143514,1.47662895300718,489,"MYBBP1A,NLE1,AIRIM,NOL3,WDR77,SF3A2,SHQ1,MRM1,GAR1,PDCD11,MRPS2,DHX37,RRP15,RCL1,LTV1,SF3B4,C1orf131,ZNHIT6,RBFA,DDX54,CINP,RNU5D-1,PPAN,ZNF593,BYSL,EXOSC9,NPM3,PUF60,RNVU1-2A,RNVU1-4,RRP36,HSP90AA1,SART1,NOP9,ERCC2,RPP25,PRPF19,METTL18,TAF12-DT,MRTO4,CELF4,SNRPB,TSSC4,WDR3,FBL,WDR12,EXOSC5,SLX9,MCAT,IMP4,DDX10,RRP9,EBNA1BP2,LSM2,ISG20,DDX56,TMA16,EIF3CL,FDXACB1,POP4,URB2,MPV17L2,NOC4L,GNL2,NIFK,RRP1B,SNRPE,CLNS1A,UTP15,PRMT7,NCBP1,KAT2B,FRG1,SF3B5,UTP6,WDR18,NHP2,DDX51,SNRPG,GCFC2,NUFIP1,RSRP1,RIOK1,RPS5,BOP1,MAK16,FTSJ3,EIF6,RIOK2,TGS1,TBL3,EXOSC7,NOP16,GEMIN6,SNRPA1,SNRPGP15,EXOSC3,RUVBL2,SFSWAP,RRS1,SNRPF,SRFBP1,RAN,RRP7A,U2AF2,HSP90AB1,NSUN5,POP7,C1QBP,LSM4,SMN1,SRSF1,ERAL1,LSM6,MCTS1,MTG2,RPUSD2,NOL7,UTP18,NUDT16,EIF3I,SRSF9,UTP3,DHX9,EIF3J,LSG1,DDX49,RNU5A-1,GTF3A,NVL,RNVU1-15,BMS1,GTF2H5,TSR1,AK6,AATF,LUC7L,METTL25B,GTPBP4,RNU5B-1,RPS8,GEMIN4,RPP30,MTREX,PA2G4,METTL5,NSUN3,EXOSC4,ISG20L2,EIF3G,KRI1,EIF3K,SNRPD1,UTP20,NOPCHAP1,RPL7A,EIF2S2,PELP1,DDX1,EIF3C,WDR36,RPUSD1,SF3B2"
