"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE",1.10709286880951e-17,8.42054836016514e-14,1.0864405425825,0.85429388475944,1.61394833471493,753,"IGHM,JCHAIN,CXCL13,CD19,CD3G,IGHA1,IGLC2,TNFRSF13C,FCRL4,IGKV1-37,IGHG1,CD247,CD79A,IGLV3-1,CD3E,CD6,TRAT1,IGHG2,FCMR,TNFRSF13B,TRBV5-1,IGKV3-20,IGKV1-17,IL17A,SH2D1A,IGKV4-1,IGHG3,ITK,RORA,CD28,TRAC,IGKV1-39,IGKC,TRBC2,IGHV1-3,SLAMF6,TRGC2,GATA3,IGHV3-30,AICDA,TRAV29DV5,TRBV19,TRBV29-1,LAX1,CCR6,IGHG4,IGHV3-23,IGHA2,IGLV1-40,SKAP1,TRBV20-1,JAM3,IGHV3-49,IGLV9-49,TRBV6-6,TEC,CD7,ZAP70,CD40LG,IGLC3,TRAV8-6,TRBC1,HLA-DQA2,IGHV1-69D,CD8B,TRBV28,TNFRSF21,RORC,XCL1,TRDC,RAPGEF3,TRBV18,CAMK4,PRKCQ,IGHV5-51,TRAV17,GZMM,IGHV4-34,CR1,IGLV1-44,ULBP1,LEF1,IL12B,PRKD2,LY9,SIT1,TRGV8,TRBJ2-2,THEMIS,IGHV1-18,TRBJ2-7,CD27,CD8A,TBX21,IL2RB,TRBJ2-3,IFNG,TRAV8-1,TRGV5,PRKCZ,TRAV9-2,TRAV8-3,ARG1,CLU,IGHV3-72,IGKV1-12,TRBJ1-2,TRBV6-1,IGKV1-27,JAG1,IGLV1-51,IGKJ1,KLRK1,IGHD,KLRD1,CRACR2A,TRAV13-1,IGHV3-53,TRBV30,SANBR,CD1B,TRGV10,TRBV6-8,TRBJ2-5,EOMES,ADGRE1,NFKB2"
"GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY",1.31374848379759e-11,4.99618548388224e-08,0.875325132024659,0.914552076825162,1.65325256329434,209,"IGHM,MS4A1,CD19,FCRL3,LCK,CD3G,IGHA1,BLK,IGHG1,CD247,CD79A,CD3E,TRAT1,IGHG2,FCMR,SH2D1A,IGHG3,ITK,CD28,TRAC,PLCG1,IGKC,TRBC2,TRGC2,GATA3,LAX1,IGHG4,IGHA2,SKAP1,TEC,ZAP70,IGLC3,TRBC1,CD8B,TNFRSF21,TRDC,PRKD2,THEMIS,CD8A,BTNL9,CACNB3,BLNK,PDE4D,SHB,IGHD,PRNP,CBLB"
"GOBP_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY",1.04371067532934e-10,2.64615446551833e-07,0.839088935621274,0.865600625503149,1.61168131518695,366,"IGHM,MS4A1,CD19,FCRL3,LCK,CD3G,IGHA1,BLK,IGHG1,CD247,CD79A,CD3E,TRAT1,IGHG2,FCMR,SH2D1A,IGHG3,ITK,CD28,TRAC,PLCG1,IGKC,TRBC2,TRGC2,C5AR2,GATA3,LAX1,IGHG4,IGHA2,SKAP1,TEC,ZAP70,IGLC3,TRBC1,CD8B,TNFRSF21,TRDC,PRKCQ,CD24,MFHAS1,CR1,PRKD2,PLPP4,THEMIS,CD8A,C5AR1,BTNL9,CACNB3,BLNK,PDE4D,YES1,SHB,KLRK1,IGHD,LILRA4,KLRD1,PRNP,CBLB"
"GOBP_LYMPHOCYTE_ACTIVATION",4.51593672410639e-09,8.5870536808883e-06,0.761460801445585,0.785609284228552,1.48456094367406,804,"MS4A1,CD19,ZBTB16,FCRL3,LCK,CD3G,TNFRSF13C,CD247,FCRL1,BCL11B,MZB1,CD79A,CD3E,CD6,TIGIT,TNFRSF13B,IKZF3,ITK,RORA,PAX5,CD28,TRAC,SIRPG,TRBC2,IL21,SLAMF6,GATA3,AICDA,LAX1,CCR6,ICOS,EPHB1,VNN1,CXCR5,ITM2A,IL1RL2,FZD9,CD7,ZAP70,CD40LG,JAG2,CHRNB2,TRBC1,HLA-DQA2,PDP2,CD8B,TNFRSF21,POU2AF1,RORC,XCL1,EGR1,TRDC,TNFSF11,CAMK4,PRKCQ,CD24,CR1,ULBP1,LEF1,IL12B,LY9,SIT1,FZD7,SPTA1,PLA2G2D,THEMIS,GPNMB,TCF7,RAG2,SMARCD3,IMPDH2,CD27,CD8A,NTRK1,SH2D2A,TBX21,IFNG,PRKCZ,ADORA2A,BLNK,ARG1,PIK3R2,YES1,RASGRP1,CHD7,DTX1,SHB,KLRK1,SOX4,KLRD1,PRNP,ZFP36L2,CBLB,CD2,SANBR,IL1A,CD320,EOMES,IHH,TNFSF8,SLC7A1"
"GOBP_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS",1.23843727387861e-08,1.56992565085345e-05,0.747739663149885,0.755943176654712,1.42940600731245,1117,"IGHM,THBS1,MS4A1,CXCL13,CD19,ZBTB16,FCRL3,LCK,CD3G,IGHA1,BLK,TNFRSF13C,IGHG1,CD247,MZB1,CD79A,CD3E,CD6,TRAT1,TNFRSF18,IGHG2,CXCL12,FCMR,IL17A,SH2D1A,IGHG3,ITK,CD28,TRAC,SIRPG,PLCG1,IGKC,TRBC2,DCSTAMP,GFI1,IL21,SLAMF6,TRGC2,C5AR2,GATA3,LAX1,CCR6,ICOS,IGHG4,VNN1,IGHA2,FFAR3,PLVAP,SKAP1,JAM3,IL1RL2,PTPRS,TEC,ZDHHC9,ZAP70,PYHIN1,RARRES2,CCL24,CD40LG,IGLC3,CHRNB2,OCSTAMP,TRBC1,HLA-DQA2,CD8B,GPR68,TNFRSF21,TRIM6,XCL1,TRDC,TNFSF11,CAMK4,PRKCQ,CD24,MFHAS1,CR1,ENPP3,ULBP1,LEF1,IL12B,CCL20,PRKD2,SEMA7A,PLPP4,MED23,SPTA1,THEMIS,SMARCD3,CD27,CD8A,C5AR1,TBX21,BTNL9,IFNG,CACNB3,NLRX1,PRKCZ,CCL7,BLNK,ARG1,CLU,PDE4D,YES1,PYDC5,RASGRP1,COLEC12,IL18RAP,SHB,KLRK1,SOX4,IGHD,LILRA4,KLRD1,SPON2,PRNP,CBLB,CD2"
"GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS",1.04078851237583e-08,1.56992565085345e-05,0.747739663149885,0.722286819302751,1.36476427323028,1614,"IGHM,THBS1,MS4A1,CXCL13,CD19,ZBTB16,FCRL3,LCK,CD3G,IGHA1,BLK,TNFRSF13C,CD96,IGHG1,CD247,MZB1,CD79A,CD3E,CD6,TRAT1,TNFRSF18,IGHG2,CXCL12,FCMR,TIGIT,TNFRSF13B,IL17A,SH2D1A,IKZF3,IGHG3,ITK,RORA,CD28,TRAC,SIRPG,PLCG1,IGKC,TRBC2,DCSTAMP,GFI1,IL21,SLAMF6,TRGC2,C5AR2,GATA3,VSTM1,LAX1,CCR6,ICOS,IGHG4,VNN1,FCAR,IGHA2,ZBTB32,FFAR3,PLVAP,SKAP1,JAM3,KLRB1,IL1RL2,PTPRS,TEC,ZDHHC9,ZAP70,SMPD3,PYHIN1,RARRES2,CCL24,CD40LG,H4C8,H4C2,IGLC3,CHRNB2,OCSTAMP,TRBC1,GPR171,HLA-DQA2,CD8B,GPR68,TNFRSF21,TRIM6,XCL1,TRDC,H4C9,TNFSF11,CAMK4,PRKCQ,CD24,MFHAS1,CR1,ENPP3,ULBP1,LEF1,IL12B,CCL20,ETS1,PRKD2,SEMA7A,SIT1,PLPP4,MED23,SPTA1,PLA2G2D,THEMIS,GPNMB,LDB1,TCF7,RAG2,SMARCD3,CXCR3,CD27,CD8A,C5AR1,TBX21,FOXF1,BTNL9,IFNG,CACNB3,NLRX1,PRKCZ,IL17D,CCL7,ADORA2A,BLNK,ARG1,CLU,PDE4D,YES1,PYDC5,RASGRP1,COLEC12,IL18RAP,DTX1,H4C16,JAG1,SHB,H4C5,KLRK1,ADTRP,TNFAIP6,SOX4,EMILIN1,IGHD,LILRA4,KLRD1,SPON2,PRNP,ZFP36L2,CBLB,CD2,MEIS1,IL1A,ZBTB34,CD1B,THBS4,ZBTB37,CD320,SERPINE1,SPPL2B,IHH,TNFSF8,SLC7A1,GDF15,CNR1,PSG7,EPHB2,TAL1,FOXJ1"
"GOBP_IMMUNE_RESPONSE_REGULATING_SIGNALING_PATHWAY",2.47168604573847e-08,2.68566343769811e-05,0.73376198835648,0.810567932100113,1.52236875948515,567,"IGHM,MS4A1,CD19,FCRL3,LCK,CD3G,IGHA1,BLK,IGHG1,CD247,CD79A,CD3E,TRAT1,IGHG2,FCMR,SH2D1A,IGHG3,ITK,CD28,TRAC,PLCG1,IGKC,TRBC2,GFI1,TRGC2,C5AR2,GATA3,VSTM1,LAX1,IGHG4,FCAR,IGHA2,SKAP1,PTPRS,TEC,ZDHHC9,ZAP70,IGLC3,TRBC1,CD8B,TNFRSF21,TRDC,PRKCQ,CD24,MFHAS1,CR1,PRKD2,PLPP4,THEMIS,CD8A,C5AR1,BTNL9,CACNB3,NLRX1,BLNK,PDE4D,YES1,PYDC5,COLEC12,SHB,KLRK1,IGHD,LILRA4,KLRD1,PRNP,CBLB"
"GOBP_CELL_ACTIVATION",6.46876169495961e-08,6.15017518148285e-05,0.704975715167238,0.75027796654412,1.41892480741473,1122,"THBS1,MS4A1,CD19,ZBTB16,FCRL3,LCK,CD3G,TNFRSF13C,CD247,FCRL1,BCL11B,MZB1,CD79A,CD3E,CD6,TIGIT,TNFRSF13B,IL17A,IKZF3,ITK,RORA,PAX5,CD28,TRAC,SIRPG,TRBC2,FZD6,DCSTAMP,IL21,SLAMF6,GATA3,AICDA,LAX1,CCR6,ICOS,EPHB1,VNN1,CXCR5,ITM2A,PDPN,TUBB1,PTGDS,IL1RL2,TEC,FZD9,CD7,ZAP70,CD40LG,JAG2,CHRNB2,PEAR1,TRBC1,HLA-DQA2,PDP2,CD8B,TNFRSF21,POU2AF1,RORC,XCL1,EGR1,TRDC,TNFSF11,CAMK4,PRKCQ,CD24,MFHAS1,CR1,ENPP3,ULBP1,LEF1,IL12B,LY9,SIT1,FZD7,SPTA1,PLA2G2D,THEMIS,GPNMB,TCF7,RAG2,SMARCD3,IMPDH2,CD27,CD8A,NTRK1,C5AR1,SH2D2A,TBX21,FOXF1,IFNG,CYGB,PRKCZ,ADORA2A,BLNK,ARG1,CLU,PIK3R2,SMO,YES1,RASGRP1,IL18RAP,CHD7,DTX1,SHB,KLRK1,SOX4,EMILIN1,KLRD1,PRNP,ZFP36L2,CBLB,CD2,AZU1,SANBR,IL1A,CD320,EOMES,NFKB2,IHH,TNFSF8,SLC7A1,CNR1,EPHB2,FOXJ1,DGKH,PLA2G2A,APOE"
"GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY",7.34035415023849e-08,6.2034148518571e-05,0.704975715167238,0.835820567985257,1.55835864569935,369,"IGHM,CD19,IGHA1,IGLC2,CD96,IGHG1,IGHG2,FCMR,SH2D1A,IGHG3,CD28,IGKC,IGHV1-3,IL21,SLAMF6,GATA3,GZMB,IGHV3-30,AICDA,CCR6,IGHG4,IGHV3-23,IGHA2,KLRB1,IGHV3-49,CD40LG,IGLC3,IGHV1-69D,XCL1,IGHV5-51,GZMM,IGHV4-34,CR1,ULBP1,IL12B,IGHV1-18,CD27,CD8A,TBX21,IL2RB,PRKCZ,ARG1,CLU,IGHV3-72,RASGRP1,IL18RAP,JAG1,KLRK1,IGHD,KLRD1,CD2,IGHV3-53,SANBR,CD1B"
"GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY",8.73625834949457e-08,6.64479810062557e-05,0.704975715167238,0.955167973886145,1.57430549533707,78,"IGHM,MS4A1,CD19,FCRL3,LCK,IGHA1,BLK,IGHG1,CD79A,IGHG2,FCMR,IGHG3,ITK,IGKC,IGHG4,IGHA2,TEC,IGLC3"
