"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_SENSORY_PERCEPTION_OF_SMELL",4.54292375023965e-06,0.034558020968073,0.610526878385931,0.770151739195773,1.48444187999528,453,"NAV2,OR2W6P,OR4F3,BBS4,MKKS,OR10AC1,OR2I1P,OR2A7,FZD2,SLC6A3,OR6X1,OR4X2"
"GOBP_PIGMENT_METABOLIC_PROCESS",1.9810829104102e-05,0.0753504884974519,0.575610261071129,0.900409961012248,1.51679846904809,81,"PMEL,TYR,OCA2,DCT,TYRP1,SLC45A2,GPR143,MC1R,SLC24A5,ABCB6,HPX,WNT5A,TMEM14A,CDH3,MFSD12,SLC25A38,CTNS"
"GOBP_PIGMENTATION",6.80886715326662e-05,0.172650174782997,0.538434096309916,0.863809330528843,1.5101435817811,114,"PMEL,TYR,OCA2,DCT,TYRP1,SLC45A2,GPR143,MC1R,SLC24A5,EDNRB,SOX10,EDAR,ABCB6,MKKS,GNAT2,ENPP1,CDH3,BBS7,MFSD12,BLOC1S5"
"GOBP_PIGMENT_BIOSYNTHETIC_PROCESS",0.000260564833828493,0.495529172733336,0.49849310876659,0.90294042123016,1.45972679170982,58,"PMEL,TYR,OCA2,DCT,TYRP1,SLC45A2,GPR143,MC1R,SLC24A5,ABCB6,WNT5A,TMEM14A,CDH3,MFSD12,SLC25A38,CTNS"
"GOBP_LEUKOTRIENE_B4_METABOLIC_PROCESS",0.000398016501567356,0.605542305484575,0.49849310876659,-0.998709788260021,-1.26713481938319,5,"CYP4F3"
"GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS",0.236666666666667,1,0.112378519110475,0.914929413320338,1.14050734150425,5,"ALDH1L2,AASDHPPT"
"GOBP_2FE_2S_CLUSTER_ASSEMBLY",0.577844311377245,1,0.057609110864425,0.734625804224557,0.994057063015779,11,"NFS1"
"GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS",0.92330383480826,1,0.0353157046479879,0.489491134713257,0.677284665282174,16,"GPT2,L2HGDH,ADHFE1,GOT2,IDH2"
"GOBP_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_METABOLIC_PROCESS",0.966076696165192,1,0.0331626424471441,0.445224800328669,0.620367066522154,17,"ENPP1,SULT1B1,BPNT1,ABHD14B,TPST1"
"GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION",0.548579970104634,1,0.059989249649033,0.713835650602606,0.998073408342386,19,"ZC3H12A,ZFP36,PLEKHN1,MOV10,TARDBP,HNRNPD,RC3H1"
"GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION",0.628125,1,0.0911073131586733,-0.543846029229546,-0.880812637429503,26,"ELAVL4"
"GOBP_4FE_4S_CLUSTER_ASSEMBLY",0.691666666666667,1,0.0542315935495841,0.76061339708837,0.948144360424059,5,"NFS1,LYRM4"
"GOBP_4_HYDROXYPROLINE_METABOLIC_PROCESS",0.783582089552239,1,0.0434506826723125,0.588478303128599,0.799996434524198,12,"EGLN3,GOT2,P4HA2,P4HTM,ALDH4A1"
"GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III",0.590690208667737,1,0.0598603117764473,0.784931168176967,0.998633399149499,6,"GTF3C1,GTF3C2,GTF3C4,GTF3C5"
"GOBP_5_PHOSPHORIBOSE_1_DIPHOSPHATE_METABOLIC_PROCESS",0.973614775725594,1,0.0597317976364411,-0.437296695666059,-0.555595404006098,6,"PYGL"
"GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION",0.656298600311042,1,0.053457214108991,0.728308696409275,0.950546440877378,8,"TGS1,SNRPB"
"GOBP_7_METHYLGUANOSINE_RNA_CAPPING",0.688022284122563,1,0.0797705918628453,-0.677777017331532,-0.897950146687017,8,"RAMACL"
"GOBP_ABSCISSION",0.913322632423756,1,0.03975964750879,0.514810052988134,0.654970185890192,6,"ZFYVE19"
"GOBP_ACETATE_ESTER_METABOLIC_PROCESS",0.401284109149278,1,0.0791316651768349,0.862364309605412,1.09714817900097,6,"ACHE,BCHE"
"GOBP_ACETATE_ESTER_TRANSPORT",0.757575757575758,1,0.0456790414930062,0.638392060729821,0.843677727033627,9,"SLC22A1"
"GOBP_ACETYLCHOLINE_SECRETION",0.951666666666667,1,0.0395979123961192,0.500292967239517,0.6236413364053,5,"ADORA2A,CHRNA3"
"GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS",0.695266272189349,1,0.048505983646947,0.639585478133347,0.894476651177256,18,"PDK2,DLD,MLYCD"
"GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS_FROM_PYRUVATE",0.717065868263473,1,0.0476387259290825,0.642823807630919,0.869835421755597,11,"PDK2,DLD"
"GOBP_ACETYL_COA_METABOLIC_PROCESS",0.945007235890014,1,0.0333092817548776,0.429262989839958,0.651987831683072,33,"PDK2,MVD,PIPOX,DLD,MLYCD,PMVK,NUDT7,NUDT8,PDHB,AADAT"
