"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE",1.80791269666376e-20,1.37545997962179e-16,1.16906996676109,-0.72514424004562,-1.91004024722554,753,"IGLV3-1,IGKV3-15,SAMSN1,CD79A,PTPRC,TRBC1,SLAMF7,IGHV7-4-1,LY9,IGHV1-3,IGHG3,SH2D1A,TNFRSF13C,PRKCB,TRBV20-1,IGKV3-20,FCGR3B,CD19,IGHV3-21,CD84,CD86,IRF4,TNF,SYK,IGLC2,CXCL13,SLAMF1,STAT4,CD70,LILRB4,TNFRSF13B,CD3G,FCMR,GPR183,AGER,TRAC,FCRL4,HLA-DQB2,IGKV1-5,MCOLN2,BTK,SASH3,IGLV2-14,IGKV1-39,PRKCD,JCHAIN,LAT2,IGHV4-39,IGHV3-48,IGHD,IGHV3-11,IGHV4-59,HLA-DOB,IGHG1,TRBJ1-6,IGKJ1,FCGR2B,NCKAP1L,CD28,FCER1G,CD1E,MPEG1,FCER1A,IGLL5,TNFRSF17,CAMK4,TRAV12-1,IGHV3-15,EXO1,IGHV4-34,TRBV28,LILRB1,UNC13D,PDCD1,LAIR1,CRTAM,IGHA1,SPN,TNFSF13B,CD80,CD226,BTLA,CD247,IGHV1-18,IGKV1-9,SIGLEC10,MYO1G,ZAP70,TRBV24-1,TRBV18,EBI3,FCER2,AICDA,SLC11A1,CTLA4,TRAT1,ITK,GAPT,IGKV5-2,CD27,IGHV3-23,TRBV29-1,CD160,CLEC4C,CD4,IGKV4-1,IGHV3-73,CD1B,CD8A,IGKC,TRAV1-1,CD244,HLA-DQA2,IGHV4-31,IGHV3-33,RAP1GAP2,TRBV23-1,PRKCQ,CD8B,IFNG,THEMIS,IGHV3-20,CD3D,CR1,MICB,IGHG4,CLCF1,IGHA2,CD6,LTA,ALOX15,C4BPA,IGHV2-5,SLAMF6,IGHV6-1,TREM1,IGHV7-81,IGHE,LAX1,GZMM,C5,NLRP3,FUT7,ADCY7,TRBC2,ICOSLG,PTPN6,ZNF683,PAG1,HLA-DMA,LILRB2,SLC15A4,HFE,IGHV4-4,SVEP1,SUSD4,KLRK1,IL18,RORC,CD1C,IGKV3-7,TRBV9,SKAP1,CD3E,IGHV4-28,KLRD1,IGHV3-64D,TRBJ1-4,DUSP10,SIT1,IGLV6-57,CCR2,IGLV10-54,IGLV1-44,IL2RB,IGHV3-13,EOMES,CCR6,IGHV1-69D,TRBJ1-5,CD40LG,TRAV14DV4,TRAV7,TRAV13-2,IGHV1-45,FOXP3,IL12B,MALT1,TRBJ2-3,SHLD3,TRBV6-1,TRAV35,TRDV1,TRBJ2-1,C3,TRAV8-3,TRAV4,C4BPB,IGKV3D-15,IGHV3-74,IGHV3-66,XCL1,TRAV29DV5"
"GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT",5.76726488641522e-14,2.19386756279235e-10,0.954541630725724,0.675469155262691,1.63982880034606,1240,"CD34,SOX18,RAMP2,ROBO4,TIE1,ECSCR,CDH5,ACVRL1,EGFL7,JUP,ID1,KDR,SEMA6A,SERPINE1,SNAI1,TEK,DCHS1,RHOJ,CX3CL1,COL4A1,HSPG2,ADAMTS1,SPHK1,FKBP10,PDGFB,MCAM,GPR4,OLFM1,SASH1,EFEMP2,GATA2,EFNA1,HYAL1,RASIP1,SOX17,COL15A1,NOTCH4,FLT1,COL4A2,PECAM1,ENG,APOD,CALCRL,PRICKLE1,RIN2,PDLIM4,PROX1,NXN,FLT4,SMAD1,TMEM204,CCN1,ANGPT2,TSPAN12,CCM2L,ADGRG1,LYL1,CARD10,ERRFI1,EPHB2,YAP1,COL18A1,GJA5,PDE2A,EDN1,DLL4,CEACAM1,ARHGEF15,FOSL1,HOXA5,CXCL12,KAT2A,OBSL1,THSD7A,CLDN5,SH3PXD2B,ITGA3,SNAI2,INHBA,EPHA2,SFRP1,NOX4,VSTM4,ADAM15,IGF1R,PLPP3,CHI3L1,TSPAN18,ANGPTL4,PGF,STAB1,APLNR,TBX1,CALD1,ALPK3,SPARC,HSPB1,FZD4,PXDN,PLK2,EFNB2,CBY1,ADM,SIRT6,RSPO3,LRG1,BMP4,GATA6,UTY,ROCK2,MMP19,ECE1,HOXA7,PPARG,CAD,SPRY1,EMILIN1,FOXC2,MAPK11,DHRS3,ACE,TBXA2R,LOX,LRP5,ITGB3,CLEC14A,EPHB4,TNFRSF1A,TAL1,SHC1,GJA1,ZFPM2,APOLD1,TAB1,DAB2IP,LOXL2,RAPGEF3,NOS3,AQP1,IL6,PTPRB,PRCP,MSX1,WNT5A,VGLL4,PTPN14,ELK3,ID3,SMAD5,LUZP1,HOXA3,NDRG4,LEPR,ADAMTS9,INSR,IGF1,SERPINF2,JAG1,POPDC2,TGM2,FBN1,ODAD4,NFATC4,PARVA,GNA11,VEGFD,CPE,JCAD,FOXC1,COL8A1,PIK3R3,PIK3C2A,ITGA5,FOXF1,NPR1,MMP14,AMOTL2,DLC1,SLC2A12,LEMD2,HDAC7,NOTCH1,BMP2,SRPX2,ACACB,MMRN2,NPR2,FHL2,HEG1,DLL1,SMAD6,NDST1,ZNF304,SOCS3,WARS1,HEY1,FAP,KCNQ1,DUSP6,ADGRG6,FGF18,NSDHL,EXT1,DAND5,SPRY2,COMT,KLF2,EGLN1,ANXA2,TGFBR2,FGF2,PLXND1,GPER1,NRP1,ELN,PLEC,HAS2,TLR3,TGFB2,PDLIM1,FOXO4,SRF,VAV3,NR2F2,UNC5B,PRKD2,PTPRM,BMPR1A,SMYD2,FES,LIPA,NPPA,SAV1,WARS2,DSP,CCN2,DAG1,EPAS1,SOX11,OSR1,PTGIS,PKD2,CCDC40,BMPR2,WASF2,THY1,PTCD2,EPN2,NDNF,TGFB3,EPHB1,TPM1,KCNJ8,CXCL10,DDAH1,MMP2,GSK3A,FN1,LIF,CDH13,VASH1,PML,AKT3,ARL13B,MAP3K3,BBS5,MIB1,VEGFC,PPP1R13L,ITGAV,BSG,MYLK,MBD1,MED1,PLCD3,ETV2,IL10,TMEM231,HDAC5,ASXL1,PTK7,HIF3A,ADGRA2,AP2B1,IFT140,TNFRSF12A,PDPN,FKBPL,RHOB,STK3,JUNB,KLF4,PDLIM5,TEAD2,PSKH1,NPR3,SGCD,SLC1A1,NPPB,ABCC9,HIPK1,ZMPSTE24,FMNL3,ADGRF5,HGS"
"GOBP_VASCULATURE_DEVELOPMENT",9.93472693470231e-13,2.51944675064051e-09,0.910119734774459,0.709058949164378,1.69481533639618,848,"CD34,SOX18,RAMP2,ROBO4,TIE1,ECSCR,CDH5,ACVRL1,EGFL7,JUP,ID1,KDR,SEMA6A,SERPINE1,TEK,RHOJ,CX3CL1,COL4A1,HSPG2,ADAMTS1,SPHK1,FKBP10,PDGFB,MCAM,GPR4,SASH1,EFEMP2,GATA2,EFNA1,HYAL1,RASIP1,SOX17,COL15A1,NOTCH4,FLT1,COL4A2,PECAM1,ENG,APOD,CALCRL,PRICKLE1,RIN2,PROX1,FLT4,SMAD1,TMEM204,CCN1,ANGPT2,TSPAN12,ADGRG1,LYL1,CARD10,ERRFI1,EPHB2,YAP1,COL18A1,GJA5,PDE2A,EDN1,DLL4,CEACAM1,ARHGEF15,FOSL1,HOXA5,CXCL12,THSD7A,CLDN5,EPHA2,SFRP1,VSTM4,ADAM15,PLPP3,CHI3L1,TSPAN18,ANGPTL4,PGF,STAB1,APLNR,TBX1,CALD1,SPARC,HSPB1,FZD4,PXDN,PLK2,EFNB2,ADM,SIRT6,RSPO3,LRG1,BMP4,GATA6,ROCK2,MMP19,HOXA7,PPARG,EMILIN1,FOXC2,ACE,TBXA2R,LOX,LRP5,ITGB3,CLEC14A,EPHB4,TAL1,SHC1,GJA1,ZFPM2,APOLD1,TAB1,DAB2IP,LOXL2,RAPGEF3,NOS3,AQP1,IL6,PTPRB,PRCP,WNT5A,PTPN14,ELK3,LUZP1,HOXA3,LEPR,ADAMTS9,SERPINF2,JAG1,TGM2,NFATC4,PARVA,VEGFD,JCAD,FOXC1,COL8A1,PIK3R3,PIK3C2A,ITGA5,FOXF1,NPR1,MMP14,AMOTL2,HDAC7,NOTCH1,BMP2,SRPX2,MMRN2,NPR2,HEG1,DLL1,SMAD6,NDST1,ZNF304,SOCS3,WARS1,HEY1,FAP,FGF18,NSDHL,SPRY2,COMT,KLF2,EGLN1,ANXA2,TGFBR2,FGF2,PLXND1,GPER1,NRP1,HAS2,TLR3,TGFB2,FOXO4,SRF,VAV3,NR2F2,UNC5B,PRKD2,PTPRM,BMPR1A,LIPA,WARS2,CCN2,DAG1,EPAS1,OSR1,PTGIS,PKD2,BMPR2,WASF2,THY1,EPN2,NDNF,EPHB1,KCNJ8,CXCL10,DDAH1,MMP2,FN1,LIF,CDH13,VASH1,PML,AKT3,MAP3K3,MIB1,VEGFC,ITGAV,BSG,MYLK,MED1,PLCD3,ETV2,IL10,TMEM231,HDAC5,PTK7,HIF3A,ADGRA2,AP2B1,TNFRSF12A,PDPN,FKBPL,RHOB,JUNB,KLF4,TEAD2,NPR3,SGCD,SLC1A1,NPPB,ABCC9,HIPK1,FMNL3,ADGRF5,HGS"
"GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS",2.11442839767232e-11,2.29808160707014e-08,0.863415391606693,0.654414237959734,1.58949376131032,1280,"CD34,SOX18,RAMP2,ROBO4,TIE1,ECSCR,CDH5,ACVRL1,EGFL7,JUP,ID1,EHD2,KDR,SEMA6A,SERPINE1,SNAI1,TEK,DCHS1,RHOJ,CX3CL1,JAM2,COL4A1,HSPG2,ADAMTS1,SPHK1,FZD6,ATOH8,MCAM,GPR4,OLFM1,SASH1,MFAP2,GATA2,EFNA1,HYAL1,RASIP1,SOX17,COL15A1,NOTCH4,FLT1,FLNC,COL4A2,ENG,APOD,CALCRL,PRICKLE1,PROX1,FLT4,SMAD1,CFL2,CCN1,CXCL9,ANGPT2,TSPAN12,ADGRG1,CARD10,EPHB2,YAP1,COL18A1,GJA5,EDN1,DLL4,CEACAM1,PGM5,HOXA5,ITGB5,ITGB4,KAT2A,OBSL1,THSD7A,CLDN5,ITGA3,SNAI2,INHBA,EPHA2,DOCK1,SFRP1,CSRP2,VSTM4,ADAM15,ALDH1A3,CHI3L1,TSPAN18,ANGPTL4,PGF,STAB1,APLNR,TBX1,CALD1,PODXL,FJX1,NFIB,SPARC,HSPB1,FZD4,PXDN,PLK2,EFNB2,BMERB1,MEOX1,ADM,SIRT6,RSPO3,LRG1,SEMA4C,BMP4,GATA6,ROCK2,MMP19,HOXA7,PPARG,ACTN1,SPRY1,EMILIN1,FOXC2,GDF3,ACE,TBXA2R,TCF15,ITGB3,CLEC14A,EPHB4,TTLL1,TAL1,SHC1,GJA1,APOLD1,TM4SF1,DAB2IP,LOXL2,RAPGEF3,NOS3,AQP1,IL6,PTPRB,PRCP,MSX1,WNT5A,PTPN14,ELK3,LUZP1,HOXA3,LEPR,LRP6,ADAMTS9,LATS2,ZNF219,ADAMTS15,KRT8,JAG1,TGM2,NFATC4,PARVA,TMOD1,VEGFD,JCAD,FOXC1,COL8A1,PIK3R3,TMOD2,PIK3C2A,ITGA5,FOXF1,NPR1,MMP14,TEAD4,AMOTL2,DLC1,LEMD2,HDAC7,PTGFRN,NOTCH1,THBS3,BMP2,SLC4A2,PMP22,SRPX2,MMRN2,LAMB1,NPR2,FHL2,DLL1,ZNF304,WARS1,HEY1,FAP,WNT2B,ADGRG6,FGF18,EXT1,SBNO2,SPRY2,KLF2,EGLN1,ANXA2,TGFBR2,FGF2,PLXND1,NRP1,CD9,PLEC,TLR3,TGFB2,MAFB,EXT2,FOXO4,SRF,VAV3,UNC5B,PRKD2,PRKACA,PTPRM,BMPR1A,WLS,HES5,RS1,RELN,WARS2,CCN2,DAG1,EPAS1,LMOD3,SOX11,OSR1,GDF15,PTGIS,BMPR2,WASF2,THY1,EPN2,GBA1,NDNF,MYMX,SPTBN1,TGFB3,EPHB1,TPM1,CXCL10,DDAH1,MMP2,NECTIN2,SLC9A8,CNOT3,EPB41L5,CTHRC1,FN1,CDH13,VASH1"
"GOBP_BLOOD_VESSEL_MORPHOGENESIS",1.87788282219618e-11,2.29808160707014e-08,0.863415391606693,0.713427142810834,1.69415873229367,723,"CD34,SOX18,RAMP2,ROBO4,TIE1,ECSCR,CDH5,ACVRL1,EGFL7,JUP,ID1,KDR,SEMA6A,SERPINE1,TEK,RHOJ,CX3CL1,COL4A1,HSPG2,ADAMTS1,SPHK1,FKBP10,MCAM,GPR4,SASH1,EFEMP2,GATA2,EFNA1,HYAL1,RASIP1,SOX17,COL15A1,NOTCH4,FLT1,COL4A2,ENG,APOD,CALCRL,RIN2,PROX1,FLT4,SMAD1,CCN1,ANGPT2,TSPAN12,ADGRG1,CARD10,EPHB2,YAP1,COL18A1,GJA5,EDN1,DLL4,CEACAM1,HOXA5,THSD7A,CLDN5,EPHA2,SFRP1,VSTM4,ADAM15,CHI3L1,TSPAN18,ANGPTL4,PGF,STAB1,APLNR,TBX1,CALD1,SPARC,HSPB1,FZD4,PXDN,PLK2,EFNB2,ADM,SIRT6,RSPO3,LRG1,BMP4,GATA6,ROCK2,MMP19,HOXA7,PPARG,EMILIN1,FOXC2,ACE,TBXA2R,LOX,LRP5,ITGB3,CLEC14A,EPHB4,TAL1,SHC1,GJA1,ZFPM2,APOLD1,DAB2IP,LOXL2,RAPGEF3,NOS3,AQP1,IL6,PTPRB,PRCP,WNT5A,ELK3,HOXA3,LEPR,ADAMTS9,SERPINF2,JAG1,TGM2,NFATC4,PARVA,VEGFD,JCAD,FOXC1,COL8A1,PIK3R3,PIK3C2A,ITGA5,FOXF1,NPR1,MMP14,AMOTL2,HDAC7,NOTCH1,SRPX2,MMRN2,NPR2,HEG1,DLL1,ZNF304,WARS1,HEY1,FAP,FGF18,SPRY2,KLF2,EGLN1,ANXA2,TGFBR2,FGF2,PLXND1,NRP1,HAS2,TLR3,TGFB2,FOXO4,SRF,VAV3,NR2F2,UNC5B,PRKD2,PTPRM,BMPR1A,WARS2,CCN2,DAG1,EPAS1,PTGIS,PKD2,BMPR2,WASF2,THY1,EPN2,NDNF,EPHB1,CXCL10,DDAH1,MMP2"
"GOBP_LYMPHOCYTE_ACTIVATION",1.47157851696305e-11,2.29808160707014e-08,0.863415391606693,-0.63661689598116,-1.6893280069328,804,"MZB1,RHOH,MS4A1,SAMSN1,CD79A,RAC2,PTPRC,TRBC1,SLAMF7,LY9,LCP1,TNFRSF13C,PRKCB,CCR7,CD38,ITGA4,CCL5,BANK1,CD19,CD84,DOCK10,POU2AF1,CD86,CORO1A,IRF4,IKZF1,SYK,JAML,SLAMF1,IL2RG,STAT4,NCR3,RASSF5,CD70,LILRB4,TNFRSF13B,CD3G,TBC1D10C,GPR183,LST1,AGER,TRAC,RUNX3,HLA-DQB2,BTK,IKZF3,CD44,SASH3,SELENOK,TOX,ICOS,PRKCD,LAT2,DOCK2,CD22,PTPN22,ADAM8,SIRPG,TNFRSF9,VAV1,HLA-DOB,FCGR2B,NCKAP1L,CD28,FCER1G,CARD11,KIT,APBB1IP,CAMK4,CD83,EXO1,LILRB1,UNC13D,PDCD1,CRTAM,LCK,SPN,RUNX2,ITGAL,TNFSF13B,RUNX1,SRC,CD80,CD247,SFTPD,NKG7,ZAP70,CD2,FANCD2,EBI3,BLNK,AICDA,SLC11A1,CTLA4,TYROBP,ITK,GAPT,FCRL1,CD27,CD24,FCRL3,PAX5,CD160,CD4,MNDA,GPR18,CD8A,FLT3,PLA2G2F,CD244,HLA-DQA2,PRKCQ,CD8B,IFNG,THEMIS,HELLS,CD5,CD3D,CR1,MICB,CLCF1,TIGIT,CD6,SLAMF6,AIF1,SH2D2A,CXCR5,LAX1,NLRP3,BCL11B,FUT7,CD300A,TRBC2,NOTCH2,TESPA1,ICOSLG,PTPN6,ZNF683,PAG1,HLA-DMA,LILRB2,SLC15A4,HFE,ZFPM1,MYB,KLRK1,SPTA1,IL18,RORC,PRLR,CD1C,CD180,CD3E,ITCH,KLRD1,DUSP10,GPR89B,TNFSF11,BST2,CLNK,PRDX1,SIT1,IRS2,BCL2,CCR2,GLI3,PTPRJ,EOMES,ERBB2,CCR6,CD40LG,RBX1,FOXP3,ITM2A,SCRIB,NCR1,RASGRP1,IL12B,MALT1,SHLD3"
"GOBP_TUBE_MORPHOGENESIS",2.07665552709752e-11,2.29808160707014e-08,0.863415391606693,0.680144032293625,1.6354315283049,966,"CD34,SOX18,RAMP2,ROBO4,TIE1,ECSCR,CDH5,ACVRL1,EGFL7,JUP,ID1,KDR,SEMA6A,SERPINE1,TEK,DCHS1,RHOJ,CX3CL1,COL4A1,HSPG2,ADAMTS1,SPHK1,FZD6,FKBP10,ATOH8,MCAM,GPR4,SASH1,EFEMP2,GATA2,EFNA1,HYAL1,RASIP1,SOX17,COL15A1,NOTCH4,FLT1,COL4A2,ENG,APOD,CALCRL,PRICKLE1,RIN2,PROX1,FLT4,SMAD1,CCN1,ANGPT2,TSPAN12,ADGRG1,CARD10,EPHB2,YAP1,COL18A1,GJA5,EDN1,DLL4,CEACAM1,HOXA5,KAT2A,THSD7A,CLDN5,EPHA2,SFRP1,VSTM4,ADAM15,CHI3L1,TSPAN18,ANGPTL4,PGF,STAB1,APLNR,TBX1,CALD1,PODXL,NFIB,SPARC,HSPB1,FZD4,PXDN,PLK2,EFNB2,ADM,SIRT6,RSPO3,LRG1,SEMA4C,BMP4,GATA6,ROCK2,MMP19,MYC,HOXA7,PPARG,SPRY1,EMILIN1,FOXC2,ACE,TBXA2R,LOX,MET,LRP5,ITGB3,CLEC14A,EPHB4,TAL1,SHC1,GJA1,ZFPM2,APOLD1,DAB2IP,LOXL2,RAPGEF3,NOS3,AQP1,IL6,PTPRB,PRCP,WNT5A,ELK3,LUZP1,HOXA3,NDRG4,LEPR,ADAMTS9,SERPINF2,JAG1,TGM2,NFATC4,PARVA,VEGFD,JCAD,FOXC1,COL8A1,PIK3R3,TNC,PIK3C2A,ITGA5,FOXF1,NPR1,MMP14,AMOTL2,DLC1,HDAC7,NOTCH1,BMP2,SRPX2,MMRN2,NPR2,CSF1,HEG1,DLL1,ZNF304,KLHL3,WARS1,HEY1,FAP,WNT2B,FGF18,EXT1,SPRY2,KLF2,EGLN1,ANXA2,TGFBR2,FGF2,PLXND1,NRP1,HAS2,TLR3,TGFB2,FOXO4,SRF,VAV3,NR2F2,UNC5B,PRKD2,PRKACA,PTPRM,BMPR1A,HES5,WARS2,CCN2,DAG1,EPAS1,SOX11,OSR1,PTGIS,PKD2,CCDC40,BMPR2,WASF2,THY1,EPN2,NDNF,EPHB1,CXCL10,DDAH1,MMP2,EPB41L5,CTHRC1,FN1,CTNNBIP1,CDH13,VASH1,PML,AKT3,ARL13B,PBX1,MAP3K3,BBS5,MIB1,VEGFC,LAMA5,ITGAV,BSG,MYLK,MED1,RBPMS2,PLCD3,ETV2,IL10,HDAC5,PTK7,HIF3A,ADGRA2,TNFRSF12A,FKBPL,RHOB,STK3,JUNB,KLF4,TEAD2,NPR3,SGCD,SLC1A1,NPPB,HIPK1,TULP3,FMNL3,ADGRF5,HGS"
"GOBP_TUBE_DEVELOPMENT",2.49851881347027e-11,2.37609139161023e-08,0.863415391606693,0.65316950699867,1.58297006446653,1182,"CD34,SOX18,RAMP2,ROBO4,TIE1,ECSCR,CDH5,ACVRL1,EGFL7,JUP,ID1,KDR,SEMA6A,SERPINE1,TEK,DCHS1,RHOJ,CX3CL1,COL4A1,HSPG2,ADAMTS1,SPHK1,FZD6,FKBP10,ATOH8,MCAM,ASS1,GPR4,SASH1,EFEMP2,GATA2,EFNA1,HYAL1,RASIP1,SOX17,COL15A1,NOTCH4,FLT1,COL4A2,ENG,APOD,CALCRL,INHBB,PRICKLE1,RIN2,PROX1,IGFBP5,FLT4,SMAD1,CCN1,ANGPT2,TSPAN12,ZNF358,ADGRG1,CARD10,ERRFI1,RCN3,EPHB2,YAP1,COL18A1,GJA5,EDN1,DLL4,CEACAM1,EDNRB,HOXA5,KAT2A,THSD7A,CLDN5,ITGA3,EPHA2,SFRP1,VSTM4,WWTR1,ADAM15,CHI3L1,TSPAN18,ANGPTL4,PGF,STAB1,APLNR,TBX1,CALD1,PODXL,NFIB,SPARC,HSPB1,FZD4,PXDN,PLK2,EFNB2,CBY1,ADM,SIRT6,RSPO3,LRG1,SEMA4C,BMP4,GATA6,ROCK2,MMP19,MYC,ECE1,HOXA7,PPARG,SPRY1,EMILIN1,FOXC2,ACE,TBXA2R,LOX,MET,CEBPA,LRP5,ITGB3,CLEC14A,EPHB4,TAL1,SHC1,GJA1,ZFPM2,APOLD1,TAB1,DAB2IP,LOXL2,RAPGEF3,NOS3,AQP1,IL6,PTPRB,PRCP,WNT5A,ELK3,SMAD5,LUZP1,HOXA3,NDRG4,LEPR,ADAMTS9,SERPINF2,JAG1,TGM2,SELENON,FBN1,ODAD4,NFATC4,PARVA,VEGFD,JCAD,FOXC1,COL8A1,PIK3R3,TNC,PIK3C2A,ITGA5,FOXF1,NPR1,MMP14,AMOTL2,DLC1,HDAC7,NOTCH1,BMP2,SLC4A2,PLOD3,SRPX2,MMRN2,NPR2,CSF1,HEG1,DLL1,SMAD6,ZNF304,KLHL3,RXFP1,WARS1,HEY1,FAP,KCNQ1,WNT2B,FGF18,EXT1,SPRY2,KLF2,EGLN1,ANXA2,TGFBR2,FGF2,PLXND1,NRP1,HAS2,TLR3,TGFB2,FOXO4,SRF,VAV3,NR2F2,UNC5B,PRKD2,INTU,PRKACA,PTPRM,BMPR1A,HES5,LIPA,SAV1,WARS2,CCN2,DAG1,EPAS1,SOX11,OSR1,PTGIS,PKD2,CCDC40,BMPR2,WASF2,CLCN2,THY1,EPN2,NDNF,TGFB3,EPHB1,CXCL10,DDAH1,MMP2,EPB41L5,CTHRC1,IL6ST,FN1,CTNNBIP1,LIF,CDH13,VASH1,PML,AKT3,ARL13B,NFIA,PBX1,MAP3K3,BBS5,MIB1,VEGFC,LAMA5,ITGAV,BSG,MYLK,MED1,SREBF1,RBPMS2,PLCD3,ETV2,IL10,HDAC5,ASXL1,PTK7,HIF3A,ADGRA2,IFT140,TNFRSF12A,PDPN,FKBPL,RHOB,STK3,JUNB,KLF4,TEAD2,NPR3,SGCD,SLC1A1,NPPB,HIPK1,TULP3,FMNL3,ADGRF5,HGS"
"GOBP_LEUKOCYTE_MEDIATED_IMMUNITY",1.03619137985761e-10,8.75927113106302e-08,0.839088935621274,-0.696487578229096,-1.76631525751589,467,"RAC2,PTPRC,SLAMF7,IGHV7-4-1,IGHV1-3,IGHG3,SH2D1A,GZMB,FCGR3B,NR4A3,CD19,IGHV3-21,CD84,CORO1A,TNF,SYK,IGLC2,STAP1,SLAMF1,CD96,NCR3,CD70,LILRB4,FCMR,AGER,BTK,SASH3,PRKCD,LAT2,IGHV4-39,IGHV3-48,SCIMP,IGHD,IGHV3-11,HCST,IGHV4-59,VAV1,IGHG1,FCGR2B,NCKAP1L,CD28,FCER1G,CD1E,KIT,FCER1A,IGLL5,CAMK4,IGHV3-15,EXO1,IGHV4-34,LILRB1,UNC13D,PDCD1,CRTAM,IGHA1,SPN,CD80,CD226,NKG7,IGHV1-18,MYO1G,CD2,FCER2,AICDA,TYROBP,GAPT,CD27,IGHV3-23,CD160,IGHV3-73,ITGB2,CD1B,CD8A,IGKC,ANXA3,IGHV4-31,IGHV3-33,IGHV3-20,CR1,MICB,IGHG4,CLCF1,IGHA2,LTA,C4BPA,IGHV2-5,SLAMF6,IGHV6-1,TREM1,KLRB1,IGHV7-81,IGHE,GZMM,C5,IL18RAP,NLRP3,KIR3DL1,FUT7,CD300A,PTPN6,SLC15A4,HFE,IGHV4-4,SPON2,SVEP1,SUSD4,KLRK1,IL18,CD1C,IGHV4-28,KLRD1,IGHV3-64D,BST2,CLNK,CLEC12B,PRDX1,CCR2,IL2RB,IGHV3-13,CCR6,IGHV1-69D,CD40LG,IGHV1-45,NOS2,ITGAM,FOXP3,NCR1,RASGRP1,IL12B,SERPINB9,MALT1,SHLD3,C3,PIK3R6,C4BPB,IGHV3-74,IGHV3-66,XCL1"
"GOBP_IMMUNE_EFFECTOR_PROCESS",1.38188995519766e-10,1.05134187791438e-07,0.826657301178302,-0.633679839585098,-1.6660143162911,716,"MZB1,RAC2,PTPRC,SLAMF7,IGHV7-4-1,LY9,IGHV1-3,IGHG3,SH2D1A,LCP1,S100A9,GZMB,FCGR3B,NR4A3,SFTPA1,CD19,IGHV3-21,CD84,DOCK10,POU2AF1,CD86,SLC7A5,CORO1A,IRF4,TNF,SYK,IGLC2,STAP1,SLAMF1,CD96,STAT4,NCR3,CD70,LILRB4,FCMR,GPR183,AGER,BTK,SASH3,SELENOK,PRKCD,LAT2,IGHV4-39,IGHV3-48,SCIMP,IGHD,IGHV3-11,HCST,DOCK2,CD22,IGHV4-59,VAV1,IGHG1,FCGR2B,NCKAP1L,CD28,FCER1G,CD1E,KIT,FCER1A,IGLL5,APBB1IP,CAMK4,IGHV3-15,EXO1,IGHV4-34,LILRB1,UNC13D,PDCD1,CRTAM,IGHA1,SPN,TLR7,ITGAL,SRC,CD80,CD226,NKG7,IGHV1-18,MYO1G,CD2,FCER2,AICDA,SLC11A1,LRP1,TYROBP,GAPT,CD27,IGHV3-23,FCRL3,CD160,PAK1,IGHV3-73,NCF1,ITGB2,CD1B,CD8A,IGKC,ANXA3,CD244,IGHV4-31,IGHV3-33,IFNG,IGHV3-20,CR1,MICB,IGHG4,CLCF1,IGHA2,LTA,C4BPA,IGHV2-5,SLAMF6,RPS19,IGHV6-1,TREM1,KLRB1,IGHV7-81,IGHE,GZMM,C5,IL18RAP,NLRP3,KIR3DL1,FUT7,CD300A,NOTCH2,PTPN6,ZNF683,COLEC10,SLC15A4,HFE,IGHV4-4,SPON2,ZFPM1,SVEP1,SUSD4,MYB,KLRK1,IL18,RORC,CD1C,CD180,IGHV4-28,KLRD1,IGHV3-64D,DUSP10,BST2,CLNK,CLEC12B,PRDX1,CFD,EPX,HCK,CCR2,SEMA7A,KRT1,IL2RB,IGHV3-13,EOMES,CCR6,IGHV1-69D,CD40LG,IGHV1-45,NOS2,ITGAM,FOXP3,ITM2A,NCR1,RASGRP1,IL12B,SERPINB9,MALT1,SHLD3"
