"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS",0.498015873015873,1,0.0789209638180035,0.860376408988942,1.06282331266035,5,"MTHFD1L"
"GOBP_2FE_2S_CLUSTER_ASSEMBLY",0.405204460966543,1,0.0865399737444125,-0.848852485704827,-1.11124617908599,11,"NFS1,FDX2,HSCB,LYRM4"
"GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS",0.431670281995662,1,0.0916795246008379,0.780552450111519,1.08408952148721,16,"GPT2,D2HGDH,PHYH,IDH1,GOT2"
"GOBP_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_METABOLIC_PROCESS",0.75219298245614,1,0.0632191170859458,0.590379076201218,0.827727877474512,17,"ENPP1,PAPSS1,PAPSS2"
"GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION",0.618534482758621,1,0.072003313661988,0.656842801290089,0.936326505613889,19,"ZFP36L2,PLEKHN1,UPF1"
"GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION",0.795652173913043,1,0.0601186142531851,0.515955004719451,0.77725664135442,26,"YBX3,QKI,HNRNPA0,ELAVL1,METTL16"
"GOBP_4FE_4S_CLUSTER_ASSEMBLY",0.459839357429719,1,0.0838361057159929,-0.874413211524464,-1.07947263071484,5,"NFS1,FDX2"
"GOBP_4_HYDROXYPROLINE_METABOLIC_PROCESS",0.853391684901532,1,0.0571258510018113,0.545375719658107,0.724028041904359,12,"EGLN2,P4HA3,GOT2"
"GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III",0.795501022494888,1,0.0572461135202884,0.704038236360928,0.869531766348274,6,"GTF3C4"
"GOBP_5_PHOSPHORIBOSE_1_DIPHOSPHATE_METABOLIC_PROCESS",0.34560327198364,1,0.101350743797099,0.9006475175059,1.1123566680157,6,"PYGL,PRPS1,PRPSAP1,PRPS2"
"GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION",0.516569200779727,1,0.0760837160951725,-0.849235206456919,-1.06893824286593,8,"SNRPD2,SNRPF,SNRPG,SNRPE,SNRPD1,TGS1,SNRPD3"
"GOBP_7_METHYLGUANOSINE_RNA_CAPPING",0.897750511247444,1,0.05163559644842,0.509791778609357,0.647578720615687,8,"RNMT,NCBP1,RAMACL,RAMAC"
"GOBP_ABSCISSION",0.810916179337232,1,0.0541200569620232,-0.655899486869716,-0.817902592376708,6,"AURKB"
"GOBP_ACETATE_ESTER_METABOLIC_PROCESS",0.605316973415133,1,0.0704500850658419,0.823447252770124,1.01700945661249,6,"SLC44A4"
"GOBP_ACETATE_ESTER_TRANSPORT",0.770833333333333,1,0.0596037042575973,0.64726298052389,0.830731933498628,9,"SLC44A4"
"GOBP_ACETYLCHOLINE_SECRETION",0.849206349206349,1,0.052805004567129,0.651446007658765,0.804731506635429,5,"SLC44A4"
"GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS",0.643805309734513,1,0.0713052987340038,0.65159914456112,0.921132945077582,18,"PDK4,PDK1,DLAT,MLYCD,DLD,ACLY,DIP2A,PDHA1"
"GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS_FROM_PYRUVATE",0.517241379310345,1,0.0813027345384498,0.782660892250859,1.03535059897765,11,"PDK4,PDK1,DLAT,DLD"
"GOBP_ACETYL_COA_METABOLIC_PROCESS",0.816135084427767,1,0.0520570030732099,-0.503846426196917,-0.762557063385235,33,"MVK,ACSS2,AASS,PDHX,DLST,MVD,PPCS,PMVK"
"GOBP_ACIDIC_AMINO_ACID_TRANSPORT",0.528440366972477,1,0.0718276293603809,-0.563234806979268,-0.960981740319171,67,"SLC1A2,ABAT,SLC1A3,PRAF2,SLC25A13,ADORA1,GNAT2,DTNBP1,SLC25A22,TTYH1,RAB3GAP1"
"GOBP_ACID_SECRETION",0.797074954296161,1,0.0519512476197082,-0.495026670113124,-0.786718240599753,45,"CACNB4,ABCB4,ABAT"
"GOBP_ACINAR_CELL_DIFFERENTIATION",0.19047619047619,1,0.140406238523342,0.952082308610657,1.17610764613131,5,"CLCN2"
"GOBP_ACROSOMAL_VESICLE_EXOCYTOSIS",0.820833333333333,1,0.0566484183613995,0.602791329781775,0.773654637996619,9,"RAB3A,UNC13B,STXBP1"
"GOBP_ACROSOME_ASSEMBLY",0.776119402985075,1,0.0541200569620232,-0.524284221235141,-0.789596434862071,30,"GARIN1A,KNL1"
"GOBP_ACROSOME_REACTION",0.783080260303688,1,0.0607719451853533,0.485039554077974,0.792676558970547,41,"CRISP1,GARIN1B,TRIM36,RAB3A,UNC13B,STXBP1"
"GOBP_ACTIN_CROSSLINK_FORMATION",0.628997867803838,1,0.070619624712259,0.688137824085781,0.935975677595723,14,"GAS2L1,DPYSL3,BAIAP2,FLNA,MARCKS"
