"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_CYTOPLASMIC_TRANSLATION",1.09448807389041e-07,0.000832467629001047,0.704975715167238,-0.832479159275117,-1.88799814437147,163,"RPL41,RPS27,RPL31,RPS8,RPL36,RPLP1,RPL35,RPL37A,RPL11,RPL26,RPL32,RPL35A,RPS27A,RPS23,RPS14,RPL34,RPL39,RPL27,RPS12,RPL23A,RPL30,RPS7,RPL18A,RPS24,RPS6,RPS29,RPL12,RPLP2,RPS19,RPL7,RPS18,RPL37,RPS21,RPS9,RPS10,RPS20,RPS28,RPS5,RPL13A,RPS13,EIF2S3B,RPL18,RPL21,RPS25,FAU,RPL24,RPL28,RPS16,RPL22L1,RPS3,UBA52,RPS11,RPL14,RPL38,RPS15,RPL29,RPS15A,RPL10A,CPEB2,RPL19,RPL7A,RPL10,RPL27A,RPL6,RPL13,RPL9,EIF3CL,RPL23,RPS26,RPS3A"
"GOBP_NEGATIVE_REGULATION_OF_SERINE_TYPE_ENDOPEPTIDASE_ACTIVITY",3.20522894716533e-05,0.121894856860697,0.557332238758646,0.998664078413212,1.26550376852077,5,"ANXA8L1,ANXA8"
"GOBP_EPITHELIUM_DEVELOPMENT",0.000113370176802477,0.215573391189911,0.538434096309916,0.667975658586812,1.26226105340277,1236,"KRT17,CES1,SERPINB5,KRT23,WNT4,KRT5,CDK6,DLL1,KRT16,CPS1,TP63,NEUROD1,GSTA2,STC1,FRMD6,SOX11,LRP4,BCL11B,FOXE1,SETDB2,BCL2,HOXB7,SEMA3E,TBX2,KRT6A,HESX1,PROM1,ALOXE3,RFX3,SERPINE1,SFRP1,LMO4,BARX1,WNT10A,SOX18,KIF26B,BASP1,KRT14,HS3ST3B1,WNT7A,CSMD1,NGFR,DKK4,PDPN,SERPINE2,FST,AGT,GLI2,GCM1,SIPA1L3,GSC,TFAP2A,TBX18,SOSTDC1,PPP1R16B,GSTA1,TNFRSF19,FOXC2,DNAAF1,PKHD1,HEY2,HOXB13,TNF,FRAS1,TBX20,IRX1,ONECUT1,RSPO3,ETV4,PTCH1,CSTA,MCOLN3,FIGNL2,WNT3A,COL6A1,COL5A1,MEGF8,KRT39,IL31RA,SMO,TGM1,EPHA7,ROBO2,ZEB1,MYO7A,PLET1,FAT1,ASB2,CEP63,WNT5B,NPNT,GORAB,EDAR,MMP2,RGMA,MAF,ERRFI1,HYDIN,TBX1,CALB1,TULP3,EPHA4,BMP7,DLL3,TFAP2B,APCDD1,SCEL,TMEM231,KRT15,LHX2,PTPRO,PITX2,RAD51B,ADAMTSL4,FOXJ1,E2F8,SKI,PSAP,HOXC13,BRSK2,JHY,DSP,NTN1,NDRG4,FZD6,LIPM,SEMA3C,CHD7,SLC9A2,PLK4,ZDHHC7,TMC1,KLHL3,GSTM3,SLIT2,FOXC1,MED12,EPAS1,VANGL2,CD109,CYSRT1,NSUN2,MYO1E,SIX4,NKD1,CTNNB1,MESP2,BMAL1,BFSP1,GNA13,ITGB5,EPB41L5,MSX2,ITGAV,EZR,SH3BP1,FGFR2,TIGAR,PERP,PLXNA2,LIPA,PRKCH,GATA3,HNF1B,WNT2B,PALLD,WHRN,SOX10,ADM,FZD4,SULF1,CEBPB,JAG1,FA2H,TRIM28,CLOCK,CELSR1,TGFB1I1,SULT2B1,FOXH1,LFNG,ONECUT2,CCDC40,SLC4A7,FLNB,RARG,WDPCP,RBM15,OPA1,FGF1,UMOD,IQGAP1,RAP2C,PODXL,C2CD3,GREM1,NRARP,TMED2,LGR4,EFNB2,MAP2K1,CDK20,ITGB1,FER,MCIDAS,LRP5,DEUP1,TTC8,GPAT4,KLF15,RARA,DLX5,FSTL1,PIK3CD,IRF6,SNAI2,PTPRS,WNT3,NPHP3,BHLHA15,POU3F1,GDF2,SLC44A4,HOXA5,FASN,PTER,PLXND1,SDC1,PRKDC,UPK1B,CXCL10,NLE1,S1PR1,KDR,LATS1,FOXN4,CTSB,ITPK1,WDR1,FZD2,BCR,POF1B"
"GOBP_SENSORY_PERCEPTION_OF_SMELL",9.44810563526347e-05,0.215573391189911,0.538434096309916,0.739778205939942,1.38852514954194,453,"OR10A2,OR14A2,OR2A5,CNGA4,GJB4,DRD2,OR10H5,BBS1,OR2D2,CFAP69,OR4D1,OR10AD1,OR10H1"
"GOBP_CILIUM_ORGANIZATION",0.000153378685766545,0.233319656788068,0.518848077743792,0.737338129197624,1.38351513493531,441,"RSPH1,CIBAR2,KIF19,TEKT1,DNAI2,ERICH3,HOATZ,CFAP54,CFAP74,CLXN,RFX3,CLCN4,DNAI1,RAB23,DNAAF3,CFAP100,RP1,CCDC65,ODAD1,MEIG1,BBS1,LCA5L,DNAAF1,PKHD1,CFAP53,LPAR1,ONECUT1,ZMYND10,CFAP69,CFAP46,CFAP61,SPATA6,PLA2G3,CFAP65,DZIP1,SPEF1,DNHD1,DRC7,CFAP43,GORAB,CFAP70,DNAAF8,MAPK15,CFAP126,HYDIN,CCDC38,TMEM231,IFT70B,STK36,FOXJ1,CCDC146,CDKL5,RPGR,JHY,LRGUK,ABCC4,WDR11,TCTN2,PLK4,EHD3,CENPJ,VANGL2,TEKT2,WDR35,POC1B,FSIP2,ASAP1,SSX2IP,TMEM67,KLC3,PTPDC1,TBC1D22B,MAK,ONECUT2,CCDC40,RFX2,DAW1,RABGAP1,WDPCP,DNAAF5,TTBK2,C2CD3,PTPN23,TBC1D16,TTC17,CFAP161,DNAH5,DNAJB13,LIMK2,TBC1D1,MCIDAS,ATXN10,PFN4,TTC8,TBC1D10A,NPHP3,DNAAF11,ARMC2,TBC1D8,ODAD2,TBC1D2B,ODF2,DNALI1,TSGA10IP,TMEM250,ODAD4,SEPTIN2,DYNC2H1,MKKS,DNAH7,CYLD,EVI5L,GSK3B,SPAG1,RPGRIP1L,CCDC28B,BBS5,ENKD1,CELSR2,BBS2"
"GOBP_MORPHOGENESIS_OF_AN_EPITHELIUM",0.00018510403828986,0.234650219205446,0.518848077743792,0.727598589225947,1.36607607715075,504,"KRT17,SERPINB5,WNT4,DLL1,KRT16,TP63,SOX11,FOXE1,SETDB2,BCL2,HOXB7,SEMA3E,TBX2,KRT6A,HESX1,SFRP1,LMO4,WNT10A,SOX18,KIF26B,HS3ST3B1,WNT7A,CSMD1,NGFR,PDPN,FST,AGT,GLI2,GCM1,TFAP2A,TBX18,SOSTDC1,FOXC2,DNAAF1,PKHD1,HOXB13,TNF,FRAS1,TBX20,IRX1,RSPO3,PTCH1,FIGNL2,WNT3A,COL5A1,MEGF8,SMO,EPHA7,PLET1,FAT1,ASB2,WNT5B,NPNT,GORAB,MMP2,RGMA,TULP3,EPHA4,BMP7,LHX2,SKI,BRSK2,JHY,NTN1,NDRG4,FZD6,SEMA3C,ZDHHC7,KLHL3,SLIT2,MED12,VANGL2,SIX4,NKD1,CTNNB1,GNA13,ITGB5,EPB41L5,MSX2,ITGAV,EZR,SH3BP1,FGFR2,PERP,GATA3,HNF1B,WNT2B,SOX10,ADM,SULF1,JAG1,TRIM28,CELSR1,TGFB1I1,FOXH1,CCDC40,RARG,WDPCP,RBM15,OPA1,FGF1,PODXL,C2CD3,GREM1,NRARP,TMED2"
"GOBP_PATTERN_SPECIFICATION_PROCESS",0.000247255892366321,0.268661188191177,0.49849310876659,0.724813120127219,1.36140236994,473,"DLL1,CFAP52,TP63,NEUROD1,STC1,DNAI2,CRIPTO,LRP4,SETDB2,HOXB7,TBX2,TDRD5,BMPR1B,RFX3,SFRP1,BARX1,DNAI1,HOXC9,SOX18,HOXC11,BASP1,WNT7A,HOXA3,DNAAF3,FST,GLI2,SATB2,GSC,PBX3,TBX18,SOSTDC1,DMRTA2,FOXC2,DNAAF1,HEY2,CFAP53,TBX20,IRX1,PTCH1,ZBTB16,WNT3A,MEGF8,HOXD8,SMO,TLL1,EOMES,ROBO2,ZEB1,LMX1B,ASB2,TBX1,IRX4,TULP3,BMP7,DLL3,MEIS3,LHX2,WIF1,HOXD9,PITX2,FOXJ1,SKI,HOXC13,NDRG4,HES2,NTF4,SEMA3C,HOXA4,HOXA10,BHLHE41,FOXC1,MED12,VANGL2,NKD1,CTNNB1,NOMO3,MESP2,EPB41L5,MSX2,FGFR2,ACD,FUT6,PLXNA2,HNF1B,WNT2B,TSHZ1,FOXH1,LFNG,HOXB9,CCDC40,DAW1,RARG,HOXC10,DNAH11,FGF1,C2CD3,GREM1,NRARP,TMED2,DNAH5,HOXB3,HIPK1,BCOR,LRP5,TTC8,ETS2,WNT3,NPHP3,DNAAF11,NOMO1,BICC1,ODAD2,HOXA5,RNF2,PRKDC,NLE1,FOXN4,ODAD4,DYNC2H1,MKKS,PGAP1,TGFBR1,SMAD4,ALX3,DSCAML1,PLD6,RPGRIP1L,BBS5,SEMA3F"
"GOBP_EMBRYONIC_MORPHOGENESIS",0.000309759802581048,0.294504132303932,0.49849310876659,0.705083057638061,1.32714041480151,619,"EPHB2,MFAP5,WNT4,DLL1,GJB5,TP63,NEUROD1,SOX11,LRP4,FOXE1,SETDB2,HOXB7,TBX2,HESX1,SFRP1,LMO4,HOXC9,SOX18,HOXC11,APOA1,WNT7A,HOXA3,GLI2,GCM1,SATB2,GSC,TFAP2A,TBX18,TENM4,USH1G,FOXC2,DNAAF1,FRAS1,TBX20,IRX1,RSPO3,PTCH1,MYO3B,ZBTB16,WNT3A,COL6A1,COL5A1,MEGF8,SMO,EOMES,EXT2,COL11A1,ZEB1,MYO7A,CHRNA10,GJB6,ASB2,WNT5B,MMP2,RGMA,TBX1,TULP3,IRX5,BMP7,TMEM231,FBN2,LHX2,SOX2,HOXD9,SKI,SOX7,TBX15,NTN1,NDRG4,ZBTB17,FZD6,CHRNA9,EYA2,CHD7,TWSG1,HOXA4,HOXA10,FOXC1,MED12,VANGL2,ITGB2,DUSP4,TMIE,SIX4,CTNNB1,MESP2,LMBR1,ITGB5,EPB41L5,MSX2,ITGAV,KCNQ4,FGFR2,ACD,GATA3,HNF1B,WNT2B,HYAL1,WHRN,POU5F1,ARMC5,ADM,SULF1,LAMB1,TSHZ1,ATP6V1B1,TRIM28,CELSR1,TGFB1I1,FOXH1,HOXB9,CCDC40,NDST1,MYO15A,ITGA4,RARG,WDPCP,HOXC10,OPA1,C2CD3,MFAP2,GREM1,TMED2,BCL2L11,HOXB3,HIPK1,MAB21L2,NANOG,MAP2K1,CDK20,ITGB1,LRP5,RARA,ETS2,DLX5,TGIF2"
"GOBP_NAD_TRANSPORT",0.000578446476963755,0.327413638863959,0.477270815362862,-0.997733553619316,-1.31703187345598,6,"P2RX7"
"GOBP_NEUROGENESIS",0.000645701365101155,0.327413638863959,0.477270815362862,0.634085926209114,1.19898539629987,1745,"HDGFL3,EPHB2,WNT4,CDK6,DLL1,CLMN,CDHR1,PCDHAC2,NEUROD1,ADRA2B,CRTAC1,MYB,P2RY1,GFRA3,SOX11,LRP4,BCL11B,CDH11,GFRA1,SEMA6A,POSTN,ARTN,PCSK1,BCL2,PLEKHG4B,MME,SEMA3E,TBX2,NTF3,ANAPC2,BMPR1B,ASCL2,EPHA5,DNER,PROM1,KEL,CRPPA,SFRP1,LMO4,MARK1,IGSF9,MAP1A,WNT10A,CFAP418,CRB1,FSTL4,FZD10,CDKN2C,WNT7A,ATOH7,MFRP,CHL1,DRD2,NGFR,ARHGAP4,SNPH,GPER1,GAS7,ABCC8,SERPINE2,PREX1,TREM2,GLI2,CNR1,GCM1,RP1,SATB2,PRKN,PTPRZ1,CNTF,PBX3,AXL,SLC6A4,ADGRL3,TENM4,DMRTA2,FYN,ABCA2,USH1G,DBN1,GRM7,SLC1A1,CIT,DIO3,NTNG1,CRMP1,PENK,BBS1,STMND1,S1PR5,DRAXIN,LHX4,HEY2,SEMA6D,RNF157,SH3GL2,TNF,TBX20,LPAR1,TCF4,IRX1,EDN2,PTCH1,MCOLN3,NLGN1,SOX12,ARHGAP33,FIGNL2,LPAR3,EFHD1,DTX1,LTA,WNT3A,COL6A1,BMERB1,CEP85L,MEGF8,PLAG1,PRDM12,SEPTIN14,ETV5,SCN1B,STX1B,DRD1,MYOT,PITX3,PLA2G3,NFASC,CNTNAP2,MTMR2,SMO,EOMES,EPHA7,UNC5A,NYAP2,ROBO2,F2,ADCYAP1,ZEB1,LMX1B,MYO7A,IGSF10,FEZ1,ACE,PRPH2,XK,NTRK2,WNT5B,TBCE,MMP2,RACGAP1,RGMA,IGF1R,L1CAM,IRX4,CSPG4,TULP3,ARHGEF10,SCYL3,IRX5,DMD,ADCY10,EPHA4,MYT1L,IL33,NEGR1,BMP7,DLL3,APCDD1,SYT1,MAP4K4,SLITRK4,ADRA2C,LHX2,PTPRO,SOX2,HOXD9,PITX2,DUOXA1,TIAM1,MAP2,MINAR1,SKI,LGI4,METRN,RAC3,GFI1,MOBP,CDKL5,TRPV4,CTNND2,BRSK2,MYOC,SEMA5A,NTN1,NDRG4,DCT,S100B,LRRC7,HES2,NTF4,TLR2,AFG3L2,CYFIP2,APBB2,SEMA3C,CHD7,FOXO6,NEPRO,SEMA3A,APP,TMC1,SPP1,CDNF,SERPINF1,PEX5,TNFRSF21,PRKCQ,MAP6,BHLHE41,SLIT2,SLC25A46,FOXO3,MED12,OMG,LNX2,VANGL2,WDR47,CLU,SORL1,LEPR,EFNA5,NMNAT2,KIAA0319,SIX4,CAMSAP1,SOX5,TNFRSF1B,NKD1,CTNNB1,BMAL1,ALKBH1,TAOK1,HMG20A,SEMA6C,PAQR3,FGFR2,ASAP1,PLXNA2,BTBD1,NIBAN2,PRKCH,RAP1GAP,GHRL,GATA3,FZD9,WNT2B,APLP1,PALLD,WHRN,CAMK2B,PARD3,SOX10,ADM,UNC5B,RPS6KA5,SDK1,FZD4,KIRREL3,CEBPB,ELL3,LAMB1,PRUNE1,JAG1,LGR6,NCS1,FA2H,SUN2,SHANK1,SHOC2,TSPAN2,CELSR1,TCF12,ARSB,ONECUT2,EPHB3,SLC4A7,SS18L1,NAB1,NKX2-8,ROBO3,RNF6,SLC11A2,SCYL1,ITGA4,BEND6,HS6ST1,KAT2B,WDPCP,FRY,HOXC10,RNF10,ACSL3,IQGAP1,PTPRD,STAT3,ITGA6,RHO,CX3CL1,KATNB1,EFNB2,HOXB3,HIPK1,MAP1S,EPB41L3,NEO1,EPHB1,YWHAZ,MAP2K1,TRIO,CUL4B,ITGB1,ATXN10,TTC8,BTBD3,KLF15,NLGN3,RARA,NEDD4L,NPTN,GPR157,DLX5,SRSF1,TGIF2,EFNB3,TSKU,ARHGEF2,OGDH,CHRNA3,HLTF,ASPM,PTPRS,WNT3,LZTS1"
