"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_POSITIVE_REGULATION_OF_IMMUNE_RESPONSE",5.51258416632922e-05,0.308871030747795,0.557332238758646,0.631516014743389,1.41854077415267,780,"IGHA1,HLA-B,HLA-DOA,IDO1,RBM47,CD177,VSIG4,FCER2,C1QC,GPR31,PLA2G4A,IGHA2,HLA-A,CR2,DHX58,BTNL9,CD86,KMT5C,CD36,NECTIN2,NCR3LG1,S100A9,PTAFR,TLR10,UNC93B1,IL12B,C1QB,MARK4,NAGLU,NOD2,MNDA,FCGR1A,IRAK3,IGLC3,JAK2,TNFSF13B,HCK,SHB,TRIM32,RNF31,TAB1,CD74,LILRB4,TRIM3,EIF2B4,TEC,P2RX7,CD79A,CD19,ICOSLG,CD40,ZP3,TYRO3,HLX,EREG,PLA2G6,RNF135,CLCF1,RAB11FIP2,TICAM1,PAXIP1,IRGM,NLRP6,S100A14,HLA-C,CFD,CD22,LRRC14,TLR6,CADM1,BTNL3,TMIGD2,SPHK2,CEACAM1,CPTP,TGFB2,IGHM,IL1R1,BTK,SLC19A1,AURKB,ZDHHC3,KCNN4,C2,THY1,ZC3H12A,PLCG1,GSDME,C1QA,PDPK1,NR1H3,ERMAP,INAVA,SRC,RARA,DGKZ,PYDC1,LRRC19,EIF2AK4,CLU,CD276,IGHD,UBR2,IKBKB,RNF185,HLA-DRB1,CD274,SOCS5,VAV3,IL23R,SARM1,NAIP,CTLA4,LRCH4,AKT1,IRF7,C3,KLRC2,IL23A,MS4A1,POLR3F,NFKBIL1,ABHD17A,DAB2IP,BLNK,IL21,RC3H1,HLA-DMB,OAS3,IL18R1,SLAMF1,HLA-F,SIRT2,STAP1,HLA-DQA1,PRKCQ,MEF2C,TRIM62,SLAMF6,PTPN6,LGALS9,TRIM31,CYBA,SH2B2,TAP2,TKFC,BLK,BTRC,ARID5A,ZDHHC4,SLC15A2,ABL1,IKBKG,TOMM70,FCGR2B,IL18RAP,CHUK,KLRC4-KLRK1,HCFC2,TRAF6,ZDHHC18,ATAT1,POLR3G,NR1D1,TNFRSF21,ZAP70,IL10,CFP,CLNK,MAP2K6,TRIM11,ALPK1,IL15,TIFA,C17orf99,IRAK2,ZCCHC3,STING1,LAT,DUSP22,BAG6,IFI35,PUM1,DDX60,GDI1,MAP3K7,LTA,LAPTM5,HLA-DRB5,TRAT1,TRIM5,CD3E,TRAF2,ANKRD17,WDFY1,MAVS,IRF1,TNIP2,CMTM3"
"GOBP_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS",8.11963803227642e-05,0.308871030747795,0.538434096309916,0.593982897755945,1.35526387505011,1117,"IGHA1,HLA-B,HLA-DOA,IDO1,RBM47,CD177,VSIG4,FCER2,C1QC,GPR31,PLA2G4A,PGF,IGHA2,HLA-A,CR2,DHX58,BTNL9,CD86,ZBTB7B,KMT5C,CD36,NECTIN2,NCR3LG1,S100A9,EGR3,CCR1,PTAFR,TLR10,UNC93B1,IL12B,C1QB,MARK4,NAGLU,NOD2,MNDA,KIT,FCGR1A,IRAK3,IGLC3,JAK2,TNFSF13B,TNFSF11,THBS4,HCK,SEMA7A,SHB,TRIM32,EBI3,CLEC4D,RNF31,TAB1,CD74,LILRB4,GPAM,TRIM3,EIF2B4,TEC,P2RX7,CD79A,CD19,DNAJA3,ICOSLG,CD40,ZP3,LIF,TYRO3,HLX,EREG,SLC9B2,PLA2G6,PPARGC1B,RNF135,CLCF1,SOCS1,GATA2,CEBPA,RAB11FIP2,TICAM1,PAXIP1,IRGM,NLRP6,S100A14,ARG1,HLA-C,CFD,ZNF580,ACTL6B,CD22,LRRC14,TLR6,BCL6,CADM1,BTNL3,TMIGD2,SPHK2,CEACAM1,CPTP,SIRPA,SMARCD3,TGFB2,IGHM,IL1R1,BTK,NCK2,SLC19A1,FOXJ1,AURKB,ZDHHC3,WNT10B,KCNN4,C2,THY1,ZC3H12A,CD24,CSF1,PLCG1,TRPV4,GSDME,C1QA,PDPK1,NR1H3,ERMAP,INAVA,SRC,CDKN1A,RARA,MOSPD2,DGKZ,PYDC1,CD40LG,XG,MAPK3,LRRC19,EIF2AK4,CLU,CD276,IGHD,UBR2,IKBKB,GAB2,RNF185,HLA-DRB1,CD274,SOCS5,VAV3,TNFRSF18,IL23R,SARM1,CCR6,EFNB2,IRF5,NAIP,CTLA4,LRCH4,AKT1,IRF7,CORO1A,C3,KLRC2,TMEM64,IL23A,MS4A1,POLR3F,RASAL3,NFKBIL1,RAC2,ABHD17A,VEGFB,DAB2IP,BLNK,IL21,RC3H1,HLA-DMB,OAS3,CD83,AQP3,CCDC88B,GPSM3,IL18R1,SLAMF1,HLA-F,SIRT2,STAP1,ACTB,CCL2,VSIR,IL6R,HLA-DQA1,EEIG1,PLA2G7,MZB1,PRKCQ,MEF2C,TRIM62,SLAMF6,PTPN6,LGALS9,TRIM31,CYBA,PHF10,SH2B2,MTOR,PIK3R6,TAP2,TKFC,BLK,BTRC,ARID5A,ZDHHC4,CTNNBIP1,ZBTB16,NOTCH2,SLC15A2,EFNB1,ABL1,IKBKG,TOMM70,FCGR2B,IL18RAP,TNFSF14,CHUK,PLPP6,KLRC4-KLRK1,HCFC2,TRAF6,ZDHHC18,CSF1R,ATAT1,POLR3G,SLC7A5,NR1D1,HK1,TNFRSF21,ZAP70,IL10,CFP,CLNK,MAP2K6,TRIM11,ALPK1,CD99,AP3D1,CD27,IL15,TIFA,C17orf99,TMEM102,VEGFA,IRAK2,ZCCHC3,STING1,LAT,DUSP22,BAG6,IFI35,PUM1,DDX60,GDI1,MAP3K7,HSF1,THBS1,LTA,LAPTM5,HLA-DRB5,TRAT1,IL15RA,TRIM5,CD3E,IL2RG,TRAF2,ANKRD17,WDFY1,MAVS,IRF1,VAMP3,TNIP2,CMTM3,CARD11,HCLS1,KLHL25,ECSIT"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE",0.000339397830981249,0.513772899854821,0.49849310876659,0.625838487409021,1.4027369686972,753,"IGLV3-19,IGLV3-25,IGHV3-15,IGHV4-59,IGHV3-64,IGLV2-11,IGLV3-10,IGLC2,IGHV3-20,IGHA1,IGKV2-30,IGHV3-43,IGLV8-61,HLA-B,KDM5D,IGKJ1,HLA-DOA,FCGR2A,TRBV24-1,TRAV26-2,TRAV38-1,PARP3,FCER2,C1QC,TRAV41,PLA2G4A,IGHA2,SEMA4A,HLA-A,IGLV2-8,CR2,CD86,ZBTB7B,SIGLEC10,TRBV10-2,JUNB,KMT5C,NECTIN2,NCR3LG1,TRGV1,GAPT,TRBV6-8,ALOX15,UNC93B1,IL12B,IGHV3-64D,C1QB,TRBV6-5,NOD2,IL20RB,FCGR1A,IGLC3,JAK2,EMP2,CSF2RB,TNFSF13B,TRAV8-4,TNFRSF13B,IGHV1-24,EBI3,CLEC4D,IGHV3-11,IGLV9-49,CD74,LILRB4,IGHV1-18,TEC,IGLV7-43,IGLV3-21,P2RX7,CD79A,CD19,ICOSLG,IGHV1-69D,CD40,ZP3,JCHAIN,HLX,SOCS3,IGHV4-31,TNFRSF17,CLCF1,IGHV3-49,TRBV11-1,PAXIP1,TRAF3IP2,IGKV1-39,ARG1,NOTCH1,IGLV7-46,LAMP3,TRBV5-3,HLA-C,IGLV2-18,IGHV4-28,BCL6,CADM1,CEACAM1,SIT1,IGLL5,TFE3,TRBV25-1,CTSH,APLF,CD7,IGHM,IL1R1,BTK,TRBV12-4,FOXJ1,C2,TRAV22,IGLV3-1,ZC3H12A,IGHV3-21,C1QA,IGLV2-14,RIPK3,MCOLN1,ERAP2,CD40LG,HMHB1,LIG4,IGLV3-16,IGKV4-1,EIF2AK4,CLU,TRGV4,IGHD,BACH2,HLA-DRB1,CD274,SOCS5,IL23R,CCR6,IGHV2-5,BCL3"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS",0.000465034921277623,0.513772899854821,0.49849310876659,0.672423321887464,1.44970733946492,380,"IGHV3-15,IGHV4-59,IGHV3-64,IGLC2,IGHV3-20,IGHA1,IGHV3-43,HLA-B,KDM5D,FCGR2A,PARP3,FCER2,C1QC,PLA2G4A,IGHA2,SEMA4A,HLA-A,CR2,ZBTB7B,JUNB,KMT5C,NECTIN2,NCR3LG1,GAPT,UNC93B1,IL12B,IGHV3-64D,C1QB,NOD2,IL20RB,FCGR1A,IGLC3,JAK2,EMP2,CSF2RB,TNFSF13B,IGHV1-24,EBI3,IGHV3-11,CD74,LILRB4,IGHV1-18,P2RX7,CD19,IGHV1-69D,CD40,ZP3,HLX,SOCS3,IGHV4-31,CLCF1,IGHV3-49,PAXIP1,TRAF3IP2,ARG1,NOTCH1,HLA-C,IGHV4-28,BCL6,CADM1,CEACAM1,IGLL5,CTSH,APLF,IGHM,IL1R1,BTK,FOXJ1,C2,ZC3H12A,IGHV3-21,C1QA,RIPK3,CD40LG,LIG4,CLU,IGHD,BACH2,HLA-DRB1,CD274,SOCS5,IL23R,CCR6,IGHV2-5,BCL3"
"GOBP_B_CELL_ACTIVATION",0.000482583408873005,0.513772899854821,0.49849310876659,0.716484281474697,1.51081555204496,278,"DLL1,ADGRG3,PARP3,CR2,CD86,CD180,KMT5C,GAPT,NTRK1,NOD2,MNDA,KIT,FLT3,TNFSF13B,TNFRSF13B,POU2AF1,SHB,CD74,CD79A,CD19,ICOSLG,FCRL1,CD40,PAX5,FZD9,CLCF1,TICAM1,PAXIP1,SYVN1,TRAF3IP2,CD22,SKAP2,BCL6,LYL1,PIK3R3,APLF,BTK,TCF3,FOXJ1,SLAMF8,CDKN1A,CD40LG,LIG4,VAV3,CCR6,BCL3,CTLA4,NHEJ1,MS4A1,BLNK,IL21,RC3H1,ZBTB7A,SANBR,MZB1,MEF2C,PTPN6,TPD52,PKN1,RABL3,NOTCH2,ABL1,CXCR5,FCGR2B"
"GOBP_CYTOPLASMIC_TRANSLATION",0.00033987147779162,0.513772899854821,0.49849310876659,-0.726376030025373,-1.60872770793537,163,"RPL10A,RPL21,RPL31,RPS23,RPS6,RPS27,RPS21,RPL41,RPL23,RPL37,RPS14,RPS11,RPLP1,RPL7,RPS20,RPL15,RPL35A,RPL30,UNK,RPS24,RPL23A,RPL34,RPL38,RPS25,RPS27A,RPS19,RPL27A,RBM24,RPL32,RPS28,RPL27,RPS3A,RPS8,RPS4X,PABPC1,RPL22,RPL37A,RPLP2,RPLP0P6,RPL22L1,RPL26,RPS18,EIF2B3,RPL24,RPS16,RPL39,RPS13,RPS29"
"GOBP_LYMPHOCYTE_ACTIVATION",0.000540244899952493,0.513772899854821,0.477270815362862,0.60911874066842,1.37188905190219,804,"DLL1,HLA-DOA,IDO1,ADGRG3,VSIG4,PARP3,SEMA4A,HLA-A,CR2,CD86,ZBTB7B,CD180,JUNB,KMT5C,CEBPB,EGR3,GAPT,IL12B,NTRK1,NOD2,MNDA,IL20RB,KIT,WNT1,JAK2,EMP2,FLT3,TNFSF13B,TNFSF11,TNFRSF13B,POU2AF1,SHB,EBI3,CLEC4D,CD74,LILRB4,GPAM,P2RX7,CD79A,CD19,DNAJA3,ICOSLG,FCRL1,CD40,PAX5,ZP3,TYRO3,HLX,SOCS3,KAT2A,FZD9,LEPR,CLCF1,SOCS1,TICAM1,SH3RF1,PAXIP1,SYVN1,SLC4A2,TRAF3IP2,ARG1,FKBP1B,ACTL6B,CD22,SKAP2,BCL6,LYL1,CADM1,TMIGD2,CEACAM1,SIT1,PDE5A,PIK3R3,SIRPA,SMARCD3,DROSHA,PLA2G2D,APLF,CD7,BTK,NCK2,TCF3,FOXJ1,NRARP,WNT10B,THY1,ZC3H12A,CD24,SLAMF8,PDPK1,SRC,CDKN1A,RARA,RIPK3,SCRIB,FKBP1A,CD40LG,LIG4,EIF2AK4,CD276,HLA-DRB1,CD274,SOCS5,VAV3,IL23R,CD151,CCR6,BCL3,EFNB2,MAPK8IP1,CTLA4,SCGB1A1,AKT1,CORO1A,NHEJ1,KLRC2,IL23A,MS4A1,RASAL3,RAC2,BLNK,IL21,JAG2,RC3H1,SMAD3,HLA-DMB,CD83,CCDC88B,IL18R1,SLAMF1,HLA-F,ACTB,CCL2,VSIR,ZBTB7A,IL6R,HLA-DQA1,KIF13B,SANBR,MZB1,PRKCQ,MEF2C,TNFSF8,SLAMF6,PTPN6,LGALS9,PHF10,TPD52,MTOR,PIK3R6,LRRC32,EOMES,PKN1,RABL3,ZBTB16,NOTCH2,EFNB1,GLMN,ABL1,CXCR5,RUNX2,FCGR2B,PREX1,TNFSF14"
"GOBP_REGULATION_OF_IMMUNE_RESPONSE",0.00037840831049806,0.513772899854821,0.49849310876659,0.59258927971627,1.34880115762561,970,"IGHA1,HLA-B,HLA-DOA,IDO1,RBM47,FCGR2A,CD177,VSIG4,PARP3,FCER2,C1QC,GPR31,PLA2G4A,IGHA2,HLA-A,CR2,DHX58,BTNL9,KIR3DL2,CD86,ZBTB7B,JUNB,KMT5C,CD36,NECTIN2,NCR3LG1,S100A9,PTAFR,ALOX15,TLR10,UNC93B1,IL12B,C1QB,MARK4,NAGLU,NOD2,MNDA,IL20RB,KIT,FCGR1A,IRAK3,IGLC3,JAK2,SMCR8,TNFSF13B,HCK,CD200R1,SHB,TRIM32,CLEC4D,RNF31,TAB1,CD74,LILRB4,TRIM3,EIF2B4,TEC,P2RX7,CD79A,CD19,ICOSLG,CD40,ZP3,TYRO3,HLX,EREG,PLA2G6,RNF135,CLCF1,RAB11FIP2,TICAM1,PAXIP1,IRGM,NLRP6,S100A14,GATA6,ARG1,HLA-C,NCF1,CFD,CD22,LRRC14,TLR6,BCL6,CADM1,BTNL3,TMIGD2,SPHK2,CEACAM1,CPTP,PLA2G2D,CTSH,APLF,TGFB2,IGHM,IL1R1,BTK,KIR2DL3,SLC19A1,FOXJ1,AURKB,ZDHHC3,PPARG,KCNN4,C2,MAPK10,MAP2K7,BCR,THY1,ZC3H12A,CD24,PLCG1,SLAMF8,GSDME,C1QA,PDPK1,NR1H3,ERMAP,INAVA,SRC,RARA,RIPK3,DGKZ,FKBP1A,PYDC1,MAP2K4,SMIM30,LRRC19,EIF2AK4,CLU,CD276,A1BG,IGHD,UBR2,IKBKB,RNF185,HLA-DRB1,CD274,SOCS5,VAV3,IL23R,SARM1,NAIP,FURIN,CTLA4,LRCH4,AKT1,YTHDF3,IRF7,MAPK9,GPX1,C3,KLRC2,IL23A,MS4A1,POLR3F,NFKBIL1,ABHD17A,DAB2IP,BLNK,IL21,FAM3A,RC3H1,SMAD3,HLA-DMB,OAS3,IL18R1,SLAMF1,HLA-F,SIRT2,STAP1,VSIR,HLA-DQA1,PRKCQ,MEF2C,TRIM62,SLAMF6,WDR41,PTPN6,LGALS9,TRIM31,CYBA,SH2B2,PIK3R6,TAP2,TKFC,BLK,BTRC,PKN1,ARID5A,ZDHHC4,SLC15A2,PLK2,ABL1,IKBKG,MUL1,TOMM70,FCGR2B,IL18RAP,CHUK,KLRC4-KLRK1,HCFC2,TRAF6,ZDHHC18,ATAT1,POLR3G,NR1H2,NR1D1,TNFRSF21,TRAFD1,ZAP70,IL10,CFP,CLNK,MAP2K6,TRIM11,ALPK1,IL15,TIFA,C17orf99,IRAK2,ZCCHC3,STING1,LAT,DUSP22,CD33,BAG6,IFI35,PUM1,DDX60,GDI1,MAP3K7,CDC37,LTA,LAPTM5,HLA-DRB5,TRAT1,TRIM5,PIM1,CD3E,TRAF2,ANKRD17,WDFY1,MAVS,IRF1,TNIP2,TRIM27,CMTM3"
"GOBP_B_CELL_PROLIFERATION",0.000679294267442411,0.574230087411318,0.477270815362862,0.816693261254517,1.55605182380668,104,"CR2,CD180,GAPT,MNDA,TNFSF13B,TNFRSF13B,SHB,CD74,CD79A,CD19,CD40,CLCF1,TICAM1,CD22,BCL6,BTK,CDKN1A,CD40LG,VAV3,CTLA4,MS4A1,IL21,RC3H1,MZB1,MEF2C,PKN1,ABL1,FCGR2B,TNFRSF21,IL10"
"GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE",0.000771088605590878,0.58664421113354,0.477270815362862,0.689779107581303,1.46566049257623,311,"DHX58,CD36,S100A9,TLR10,UNC93B1,MARK4,NAGLU,NOD2,MNDA,IRAK3,HCK,TRIM32,TAB1,TRIM3,TYRO3,RNF135,RAB11FIP2,TICAM1,IRGM,NLRP6,S100A14,LRRC14,TLR6,CPTP,BTK,SLC19A1,AURKB,ZDHHC3,PDPK1,NR1H3,INAVA,SRC,PYDC1,LRRC19,IKBKB,CD274,SARM1,NAIP,LRCH4,AKT1,IRF7,KLRC2,NFKBIL1,ABHD17A,DAB2IP,OAS3,SIRT2,LGALS9,TRIM31,CYBA,TKFC,SLC15A2,TOMM70,CHUK,KLRC4-KLRK1,HCFC2,TRAF6,ZDHHC18,ATAT1,NR1D1,MAP2K6,TRIM11,ALPK1,TIFA,IRAK2,ZCCHC3,STING1,IFI35,PUM1,DDX60,GDI1,MAP3K7,TRIM5,ANKRD17,WDFY1,MAVS,IRF1,TNIP2,ECSIT,SFPQ,RNF125,NINJ1,OTUD4,SCARA3,PYDC2,NEK7,RNF115,MAPK8,PRKDC,ZNRF1,PARP1,RELA,RIPK2,SQSTM1,FLOT1,MYD88,TNFAIP3,ARRB2,FOSL1,NLRC3,APPL2,FLOT2,GPS2"
