"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_ACTIVATION_OF_IMMUNE_RESPONSE",1.75252200984414e-06,0.0133279298848647,0.643551836150722,-0.631600307169235,-1.52674424723384,581,"IGHG2,IGKC,CCR7,PDE4B,FGR,MNDA,LAPTM5,PTPN22,IGLC3,IL1B,LTF,CD79B,BLNK,C6,S100A9,PYHIN1,FYB1,CD38,FOSL1,IGHG1,C1QB,NFATC2,RNF125,S100A8,TRBC1,FYB2,BANK1,CD19,PRKCH,IRAK2,ITK,IGHM,TYRO3,C1QC,NCR3LG1,PRKD2,CD28,HSPA8,MS4A1,GCSAM,IGHG3,NCR3,ARRB2,CD8A,PTPRC,TRBC2,HSP90AA1,C3AR1,SKAP1,SH2D1A,SMPDL3B,BTNL9,LAT2,HMSD,ESR1,RABGEF1,MATR3,RNF31,FCN3,FCHO1,FCRL3,NFKB1,TLR2,NCKAP1L,CD160,TICAM1,LCK,RGCC,LIMK1,NFKBIA,PRKD1,FCGR2B,CSNK1A1,IRF4,CARD11,CD79A,TYROBP,S100A14,NR4A3,TLR5,TRIM32,ERMAP,SH2B2"
"GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY",3.59149510600064e-05,0.0546266405622697,0.557332238758646,-0.747550446334482,-1.65793224506592,209,"IGHG2,IGKC,CCR7,PDE4B,MNDA,LAPTM5,PTPN22,IGLC3,CD79B,BLNK,FYB1,CD38,IGHG1,NFATC2,TRBC1,FYB2,BANK1,CD19,PRKCH,ITK,IGHM,PRKD2,CD28,MS4A1,GCSAM,IGHG3,CD8A,PTPRC,TRBC2,SKAP1,SH2D1A,BTNL9,LAT2,RNF31,FCHO1,FCRL3,NFKB1,NCKAP1L,CD160,LCK,NFKBIA,FCGR2B,CARD11,CD79A,ERMAP,SH2B2"
"GOBP_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY",3.32700102685555e-05,0.0546266405622697,0.557332238758646,-0.662450042462323,-1.55213641720557,366,"IGHG2,IGKC,CCR7,PDE4B,FGR,MNDA,LAPTM5,PTPN22,IGLC3,LTF,CD79B,BLNK,FYB1,CD38,IGHG1,PIGR,NFATC2,TRBC1,FYB2,BANK1,CD19,PRKCH,IRAK2,ITK,IGHM,PRKD2,CD28,MS4A1,GCSAM,IGHG3,NCR3,CD8A,PTPRC,TRBC2,C3AR1,SKAP1,SH2D1A,BTNL9,LAT2,RABGEF1,RNF31,FCN3,FCHO1,FCRL3,NFKB1,TLR2,NCKAP1L,CD160,TICAM1,LCK,LIMK1,NFKBIA,FCGR2B,CARD11,CD79A,TYROBP,S100A14,NR4A3,TLR5,TRIM32,ERMAP,SH2B2,TLR6"
"GOBP_IMMUNE_RESPONSE_REGULATING_SIGNALING_PATHWAY",1.92359521583273e-05,0.0546266405622697,0.575610261071129,-0.60823980507346,-1.46762988516994,567,"IGHG2,IGKC,CCR7,PDE4B,FGR,MNDA,LAPTM5,PTPN22,IGLC3,LTF,CD79B,BLNK,S100A9,IL20RB,FYB1,CD38,FOSL1,IGHG1,PIGR,NFATC2,RNF125,S100A8,TRBC1,FYB2,BANK1,CD19,PRKCH,IRAK2,ITK,IGHM,TYRO3,OSCAR,PRKD2,CD28,HSPA8,MS4A1,GCSAM,IGHG3,NCR3,ARRB2,CD8A,PTPRC,TRBC2,C3AR1,SKAP1,SH2D1A,SMPDL3B,BTNL9,LAT2,ESR1,RABGEF1,RNF31,FCN3,FCHO1,FCRL3,NFKB1,TLR2,NCKAP1L,CD160,TICAM1,LCK,LIMK1,NFKBIA,PRKD1,FCGR2B,CSNK1A1,IRF4,CARD11,CD79A,TYROBP,S100A14,NR4A3,TLR5,TRIM32,ERMAP,SH2B2"
"GOBP_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS",3.52749817607641e-05,0.0546266405622697,0.557332238758646,-0.508555675269361,-1.28234615870259,1117,"IGHG2,EVI2B,IGKC,CCR7,CLCF1,SLC7A5,PDE4B,FGR,MNDA,RIPOR2,LAPTM5,PTPN22,IGLC3,IL1B,LTF,TAFA3,CD79B,BLNK,PRLR,HLA-DOB,CXCL13,C6,S100A9,PYHIN1,GPAM,FYB1,CD38,IL1RL1,FOSL1,ITGB2,IGHG1,RAET1G,C1QB,LIF,NFATC2,RNF125,S100A8,EDN1,TRIM6,TRIB1,TRBC1,FYB2,HLA-DQA2,BANK1,MZB1,CD19,PRKCH,IRAK2,LRRK2,HLA-DOA,SASH3,ITK,IGHM,TYRO3,C1QC,NCR3LG1,DCSTAMP,PRKD2,XG,CCDC88B,CD28,MADCAM1,HSPA8,MS4A1,GCSAM,RHOH,CD101,SERPINE1,IGHG3,PDGFD,DPP4,NCR3,ARRB2,HSPH1,CD6,DAPK2,CD8A,IGF1,PTPRC,TRBC2,HSP90AA1,HMGB2,C3AR1,SKAP1,SH2D1A,SMPDL3B,ABL2,SHLD3,BTNL9,LAT2,SIRPG,CORO1A,HMSD,MIR130A,ESR1,TNFRSF11A,RABGEF1,IRF5,MATR3,RNF31,FCN3,FCHO1,PLVAP,FCRL3,CAMK4,SLAMF1,NFKB1,TLR2,NCKAP1L,CD160,TICAM1,TBX21,LCK,AIF1,ULBP3,MTOR,RUNX3,RGCC,SOX12,LIMK1,NFKBIA,CD70,PRKD1,FCGR2B,CSNK1A1,RBM47,IRF4,CARD11,SLC11A1,CD79A,EPHB2,TYROBP,EGR3,S100A14,TNFSF9,NR4A3,TLR5,TMEM64,TRIM32,ERMAP,SH2B2,ACTL6B,TLR6,MAP3K8,SPI1,TBK1,THBS4,BDKRB1,NOS2,RSAD2,KLHL6,TSLP,NFKBIZ,CD244,GRAMD4,FZD5,PIK3AP1,ICOS,CBLB,DUSP10,ANXA1,MIR30B,HSPD1,RAC2,IL2RG,IKBKE,C1QA,EFNB3,PNP,CCR2,TRAF3IP3,ZBTB1,HLA-DQB2"
"GOBP_ADAPTIVE_IMMUNE_RESPONSE",5.27190859896444e-05,0.0668214414918743,0.557332238758646,-0.553995603701645,-1.3634769165285,753,"IGKV3-20,IGHG2,IGHV3-30,IGKC,CLCF1,MCOLN2,IGLV7-46,IGHV1-3,IGLC3,IL1B,CD79B,HLA-DOB,CXCL13,IGKV2-28,C6,IL20RB,IL1RL1,IGKV3-15,IGHG1,CRACR2A,RAET1G,C1QB,RNF125,IL13RA2,IGLV2-11,BATF,TRBC1,IGHV3-23,IGLV1-40,HLA-DQA2,CD19,HLA-DOA,SASH3,ITK,IGHM,C1QC,PDCD1,NCR3LG1,PRKD2,CD28,RIPK3,HSPA8,IGLV3-1,IGHG3,GZMM,TRBV5-1,CD6,CD8A,PTPRC,TRBC2,IGLV7-43,SKAP1,SH2D1A,PRF1,SHLD3,ADGRE1,LAT2,TNFRSF11A,CAMK4,SLAMF1,TRGV8,TNFRSF13B,NCKAP1L,CD160,IGHV1-69,TBX21,ULBP3,IGHV3-20,MTOR,IGLV1-44,SLAMF7,CD70,APLF,FCGR2B,IRF4,IGHV1-18,SLC11A1,CD79A,EPHB2,TRPM4,TRBV24-1,IL17RA,TRBV12-3,CD84,IGHV3-53,IGHV4-59,IGHV4-31,RSAD2,KLHL6,NFKBIZ,CD244,LILRB3,FZD5,IGLV6-57,SMAD7,DUSP10,ANXA1,HSPD1"
"GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY",0.000183595041084927,0.199462898207267,0.518848077743792,-0.86780918130034,-1.67971066626019,78,"IGHG2,IGKC,MNDA,PTPN22,IGLC3,CD79B,BLNK,CD38,IGHG1,NFATC2,BANK1,CD19,PRKCH,ITK,IGHM,MS4A1,GCSAM,IGHG3,PTPRC,LAT2,FCRL3,NFKB1,NCKAP1L,LCK,NFKBIA,FCGR2B,CD79A,SH2B2"
"GOBP_REGULATION_OF_IMMUNE_RESPONSE",0.00021545644676838,0.204818284709191,0.518848077743792,-0.513195785512552,-1.25984121333825,970,"IGHG2,IGKC,CCR7,CLCF1,PDE4B,FGR,MNDA,LAPTM5,PTPN22,IGLC3,IL1B,LTF,CD79B,BLNK,HLA-DOB,CXCL13,C6,S100A9,PYHIN1,IL20RB,PLA2G2D,FYB1,CD38,IL1RL1,FOSL1,ITGB2,IGHG1,RAET1G,C1QB,PIGR,NFATC2,RNF125,S100A8,BATF,TRIM6,TRBC1,FYB2,HLA-DQA2,BANK1,CD19,PRKCH,IRAK2,HLA-DOA,SASH3,ITK,IGHM,TYRO3,OSCAR,C1QC,PDCD1,NCR3LG1,PRKD2,EVPL,CD28,RIPK3,HSPA8,MS4A1,GCSAM,LRP8,IGHG3,NCR3,ARRB2,CD8A,PTPRC,TRBC2,HSP90AA1,HMGB2,C3AR1,KLRB1,SKAP1,SH2D1A,SFN,SMPDL3B,SHLD3,BTNL9,LAT2,HMSD,ESR1,RABGEF1,MATR3,RNF31,FCN3,FCHO1,FCRL3,SLAMF1,NFKB1,TLR2,NCKAP1L,CD160,FGL2,TICAM1,TBX21,LCK,ULBP3,RGCC,LIMK1,NFKBIA,APLF,PRKD1,FCGR2B,SERPINB9,CSNK1A1,RBM47,IRF4,CARD11,SLC11A1,CD79A,EPHB2,TYROBP,LYAR,S100A14,NR4A3,TLR5,TRIM32,ERMAP,SH2B2,TRPM4"
"GOBP_POSITIVE_REGULATION_OF_IMMUNE_RESPONSE",0.000365080305932825,0.308492858513237,0.49849310876659,-0.529720390452972,-1.28632434363987,780,"IGHG2,IGKC,CCR7,CLCF1,PDE4B,FGR,MNDA,LAPTM5,PTPN22,IGLC3,IL1B,LTF,CD79B,BLNK,HLA-DOB,C6,S100A9,PYHIN1,FYB1,CD38,FOSL1,ITGB2,IGHG1,RAET1G,C1QB,NFATC2,RNF125,S100A8,TRIM6,TRBC1,FYB2,HLA-DQA2,BANK1,CD19,PRKCH,IRAK2,HLA-DOA,SASH3,ITK,IGHM,TYRO3,C1QC,NCR3LG1,PRKD2,CD28,HSPA8,MS4A1,GCSAM,IGHG3,NCR3,ARRB2,CD8A,PTPRC,TRBC2,HSP90AA1,HMGB2,C3AR1,SKAP1,SH2D1A,SMPDL3B,SHLD3,BTNL9,LAT2,HMSD,ESR1,RABGEF1,MATR3,RNF31,FCN3,FCHO1,FCRL3,SLAMF1,NFKB1,TLR2,NCKAP1L,CD160,TICAM1,TBX21,LCK,ULBP3,RGCC,LIMK1,NFKBIA,PRKD1,FCGR2B,CSNK1A1,RBM47,IRF4,CARD11,SLC11A1,CD79A,TYROBP,S100A14,NR4A3,TLR5,TRIM32,ERMAP,SH2B2"
"GOBP_POSITIVE_REGULATION_OF_CELLULAR_PH_REDUCTION",0.000466050183993474,0.354431164927037,0.49849310876659,0.998835832452111,1.25880713019954,5,"CA2,AVPR1A"
